Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Iceland,ISL,2022,88.96,13,92.70,1,100.00,84.21,93.35,80.54,89.53,96.40,96.95,96.09,79.79,92.31,84.29,92.20,76.19,87.54,85.05,85.33,97.11,92.76,99.88,89.25,93.26,91.33
Iceland,ISL,2021,88.96,13,92.70,1,100.00,84.21,93.35,80.54,89.53,96.40,96.95,96.09,79.79,92.31,84.29,92.20,76.19,87.54,85.05,85.33,97.11,92.76,99.88,89.25,93.26,91.33
Iceland,ISL,2020,89.58,12,92.58,1,100.00,89.47,93.35,80.54,90.84,97.04,96.69,96.70,85.60,94.01,81.95,92.37,73.77,87.48,83.89,84.96,97.11,92.76,99.88,89.30,93.26,90.80
Iceland,ISL,2019,90.32,12,92.75,1,100.00,89.47,92.54,80.96,90.74,97.06,96.84,96.09,85.60,93.89,82.00,97.58,78.18,87.48,86.31,86.47,97.29,92.76,99.88,89.30,92.98,90.54
Iceland,ISL,2018,89.66,13,92.46,1,100.00,89.47,92.54,77.84,89.96,98.17,96.84,97.32,82.07,93.60,83.00,92.87,78.18,87.62,85.42,86.43,96.73,92.76,99.89,89.30,92.12,90.01
Iceland,ISL,2017,88.94,17,92.16,1,100.00,84.21,92.40,77.11,88.43,97.13,96.84,97.22,82.07,93.32,82.80,91.69,78.18,87.62,85.08,86.05,96.35,92.76,100.00,89.30,90.75,89.88
Iceland,ISL,2016,87.76,18,90.44,4,100.00,73.68,92.54,74.61,85.21,97.08,95.84,96.09,82.07,92.77,83.39,91.96,78.18,87.62,85.29,85.74,95.50,90.19,99.92,81.57,90.26,89.88
Iceland,ISL,2015,87.60,18,90.41,4,100.00,73.68,92.67,72.22,84.64,97.05,95.84,96.60,82.07,92.89,84.41,90.88,78.18,87.62,85.27,84.88,95.99,91.12,99.84,81.57,90.14,89.36
Iceland,ISL,2014,87.11,19,89.80,5,100.00,73.68,90.09,71.80,83.89,97.05,95.84,96.19,82.07,92.79,83.10,89.64,78.18,87.62,84.64,84.29,96.73,88.79,99.69,81.57,88.08,89.49
Iceland,ISL,2013,86.35,20,91.01,1,100.00,68.42,88.87,67.43,81.18,97.08,95.84,96.19,82.07,92.80,84.00,90.45,78.18,87.62,85.06,84.19,95.23,94.39,99.43,90.45,84.37,89.03
Iceland,ISL,2012,86.69,18,89.80,3,100.00,68.42,89.28,69.09,81.70,98.09,97.08,97.12,82.07,93.59,83.69,89.60,78.18,87.62,84.77,83.56,96.83,91.12,99.23,90.45,78.53,88.90
Iceland,ISL,2011,86.63,19,89.02,5,100.00,68.42,89.42,66.91,81.19,98.38,97.08,97.12,82.07,93.66,85.28,89.58,78.18,87.14,85.05,83.46,95.79,91.12,99.13,90.45,74.25,88.96
Iceland,ISL,2010,86.26,19,88.55,6,100.00,68.42,90.09,65.45,80.99,98.38,97.08,97.12,82.07,93.66,85.34,85.09,78.18,87.87,84.12,83.19,94.93,92.52,99.04,90.45,71.12,88.57
Iceland,ISL,2009,87.15,19,87.87,6,100.00,73.68,89.28,67.12,82.52,98.40,97.08,97.53,81.14,93.54,86.96,88.50,78.18,87.87,85.38,83.68,94.65,86.68,99.00,93.22,69.60,88.24
Iceland,ISL,2008,86.98,20,87.15,8,100.00,63.16,90.23,68.99,80.59,98.45,97.08,97.43,81.35,93.58,92.30,88.99,78.18,87.64,86.78,85.18,94.39,79.44,98.97,93.22,69.16,89.68
Iceland,ISL,2007,87.85,14,87.78,6,100.00,63.16,91.59,74.61,82.34,98.04,97.53,97.12,81.35,93.51,90.47,94.47,78.18,87.64,87.69,85.12,94.10,84.81,98.90,93.22,67.78,90.54
Iceland,ISL,2006,86.96,17,87.11,7,100.00,52.63,91.18,75.13,79.74,97.71,97.53,97.12,81.35,93.43,91.23,93.83,78.18,87.64,87.72,84.11,93.55,83.18,98.87,93.22,67.32,89.55
Iceland,ISL,2005,88.93,12,87.29,7,100.00,73.68,91.99,74.82,85.12,97.71,97.53,97.12,81.35,93.43,93.50,93.64,78.18,87.64,88.24,83.43,94.19,85.98,98.81,93.22,66.09,89.29
Iceland,ISL,2004,89.10,12,87.02,7,100.00,73.68,89.96,81.17,86.20,97.71,97.53,97.63,81.35,93.56,92.83,93.89,78.18,85.32,87.55,82.65,93.25,88.32,98.71,93.22,64.63,88.37
Iceland,ISL,2003,89.70,11,87.13,6,100.00,73.68,91.18,85.33,87.55,97.73,97.53,97.63,81.35,93.56,93.39,95.11,78.18,85.32,88.00,81.45,93.18,91.12,98.55,93.22,65.18,87.19
Iceland,ISL,2002,89.61,11,86.43,7,100.00,73.68,90.23,84.29,87.05,97.76,97.53,97.63,81.35,93.57,92.17,97.20,78.18,85.32,88.22,81.19,92.32,91.12,98.41,93.22,62.05,86.73
Iceland,ISL,2001,89.44,13,86.15,7,100.00,73.68,89.96,83.45,86.77,97.76,97.53,97.63,81.35,93.57,92.07,96.29,78.18,85.32,87.96,81.25,92.67,91.12,98.37,93.22,59.71,86.73
Iceland,ISL,2000,89.45,12,85.67,7,100.00,73.68,90.37,83.25,86.82,97.76,97.53,97.63,81.35,93.57,92.07,96.29,78.18,85.32,87.96,80.78,90.74,91.12,98.31,93.22,58.56,86.99
Iceland,ISL,1999,88.79,13,85.43,7,100.00,73.68,90.64,81.37,86.42,97.73,97.53,97.63,81.35,93.56,87.81,92.27,78.18,87.32,86.40,80.15,90.17,91.12,98.17,93.22,56.84,88.30
Iceland,ISL,1998,88.33,13,85.29,7,94.44,73.68,90.64,81.37,85.03,97.71,97.53,97.63,81.35,93.56,87.81,92.27,78.18,87.32,86.40,79.66,90.64,91.12,98.05,93.22,56.19,88.17
Iceland,ISL,1997,88.08,14,84.60,7,94.44,73.68,90.64,81.37,85.03,97.71,97.53,97.63,81.35,93.56,85.91,91.22,78.18,87.32,85.66,78.57,89.30,91.12,97.94,93.22,53.98,88.04
Iceland,ISL,1996,88.08,13,84.10,8,94.44,73.68,90.64,81.37,85.03,97.73,97.53,97.63,81.35,93.56,85.91,91.22,78.18,87.32,85.66,77.71,89.10,91.12,97.86,93.22,51.81,87.91
Iceland,ISL,1995,88.02,12,83.65,8,94.44,73.68,90.64,81.37,85.03,97.73,97.53,96.81,81.35,93.36,85.91,91.22,78.18,87.32,85.66,77.00,87.62,91.12,97.77,93.22,51.00,87.78
