Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Israel,ISR,2022,77.50,38,81.99,28,75.00,84.21,60.92,79.19,74.83,94.36,83.92,87.23,94.92,90.11,70.05,42.90,73.93,83.31,67.55,80.81,96.42,63.55,92.25,83.05,75.57,82.26
Israel,ISR,2021,77.06,42,81.99,28,75.00,78.95,60.92,79.19,73.51,94.36,83.92,87.23,94.92,90.11,70.05,42.90,73.93,83.31,67.55,80.81,96.42,63.55,92.25,83.05,75.57,82.26
Israel,ISR,2020,76.77,43,82.37,26,75.00,78.95,60.92,79.19,73.51,94.33,83.92,85.48,94.92,89.66,64.60,47.17,73.93,82.83,67.13,79.68,96.42,63.55,92.25,87.76,75.57,81.34
Israel,ISR,2019,77.59,40,82.42,27,75.00,78.95,60.38,87.72,75.51,93.08,82.03,84.24,94.92,88.57,69.72,48.33,73.93,82.83,68.70,80.39,96.62,63.55,92.25,87.76,75.57,80.81
Israel,ISR,2018,77.17,42,81.62,29,75.00,78.95,60.38,88.03,75.59,94.39,83.12,79.51,95.65,88.16,68.28,45.93,73.93,82.83,67.74,80.06,96.62,63.55,92.28,81.11,75.36,82.33
Israel,ISR,2017,77.62,41,80.95,29,75.00,78.95,61.47,88.35,75.94,94.59,83.87,80.74,95.65,88.71,70.58,46.41,73.93,81.88,68.20,79.71,96.15,64.49,92.35,76.91,74.98,82.06
Israel,ISR,2016,79.30,36,80.44,29,75.00,89.47,59.70,88.03,78.05,94.59,83.87,83.63,95.34,89.36,74.26,48.31,77.09,82.31,70.49,79.28,95.88,62.62,92.05,76.91,74.08,82.26
Israel,ISR,2015,78.20,39,79.93,29,75.00,84.21,59.02,87.30,76.38,94.64,84.31,83.63,95.34,89.48,71.95,42.22,77.09,83.67,68.73,78.85,95.21,60.98,91.43,76.91,73.92,82.19
Israel,ISR,2014,78.11,41,79.90,29,75.00,84.21,55.22,89.07,75.88,94.79,84.31,83.93,96.79,89.96,69.23,43.34,77.09,84.31,68.49,78.80,95.40,60.75,91.29,76.91,73.66,82.52
Israel,ISR,2013,77.79,41,79.45,29,75.00,84.21,54.82,85.74,74.94,94.87,84.31,83.93,96.79,89.97,70.13,42.09,77.09,84.53,68.46,78.42,95.22,59.81,90.89,76.91,72.89,82.00
Israel,ISR,2012,78.23,40,79.13,29,75.00,84.21,56.31,84.60,75.03,95.20,83.56,85.48,97.10,90.33,70.35,42.55,79.20,85.22,69.33,77.91,94.57,56.54,90.53,80.85,72.01,81.47
Israel,ISR,2011,78.13,40,79.11,28,75.00,84.21,58.21,85.12,75.63,95.20,83.56,84.86,97.10,90.18,69.84,40.07,79.20,85.17,68.57,77.75,94.48,57.01,90.22,80.85,71.61,81.87
Israel,ISR,2010,78.52,39,78.34,30,75.00,89.47,57.39,88.14,77.50,95.20,83.56,84.86,97.10,90.18,69.81,37.24,79.20,85.22,67.87,77.11,94.38,54.44,90.21,80.85,70.80,80.62
Israel,ISR,2009,77.59,41,77.82,30,75.00,84.21,54.27,89.49,75.74,95.44,83.70,85.79,97.10,90.50,69.24,31.49,81.00,84.38,66.53,76.44,94.01,54.21,90.03,80.85,69.67,79.57
Israel,ISR,2008,77.96,39,78.08,28,75.00,84.21,52.51,88.45,75.04,95.46,83.70,85.79,97.10,90.51,70.72,37.60,81.00,83.96,68.32,76.67,93.16,56.54,89.69,80.85,68.98,80.68
Israel,ISR,2007,77.40,40,78.02,28,75.00,73.68,55.22,89.59,73.38,95.46,83.70,85.79,97.10,90.51,69.27,39.04,81.00,83.96,68.32,76.37,92.33,57.71,89.36,80.85,69.64,79.89
Israel,ISR,2006,77.25,38,77.09,29,69.44,73.68,57.39,88.87,72.35,95.93,83.70,85.79,97.10,90.63,71.25,38.90,81.00,83.96,68.77,75.63,92.42,56.54,89.40,80.85,65.69,79.11
Israel,ISR,2005,77.11,39,76.18,30,69.44,73.68,58.48,89.59,72.80,96.01,83.70,85.79,97.10,90.65,67.07,39.13,81.00,84.30,67.88,74.93,91.67,54.91,89.11,80.85,63.26,78.52
Israel,ISR,2004,77.32,38,75.91,30,69.44,73.68,55.90,93.13,73.04,96.01,83.70,85.79,97.10,90.65,70.18,37.61,81.00,84.30,68.27,74.52,91.66,56.78,88.86,80.85,60.56,78.12
Israel,ISR,2003,77.14,37,75.75,27,69.44,73.68,55.36,94.59,73.27,96.01,83.70,85.79,97.10,90.65,71.10,33.64,81.00,84.30,67.51,73.97,90.73,58.64,88.31,80.85,60.77,77.00
Israel,ISR,2002,79.28,33,76.07,26,69.44,94.74,58.75,94.59,79.38,95.93,83.70,85.79,97.10,90.63,71.26,34.79,81.00,84.30,67.84,74.09,90.36,61.21,88.03,80.85,61.00,76.94
Israel,ISR,2001,79.51,32,75.89,26,69.44,94.74,61.06,88.55,78.45,95.95,83.70,85.58,97.10,90.58,69.44,43.30,81.00,84.30,69.51,74.49,90.28,62.85,87.69,80.85,57.93,77.14
Israel,ISR,2000,79.69,31,75.99,25,69.44,94.74,61.74,87.72,78.41,95.87,83.70,87.95,97.10,91.16,69.44,43.30,81.00,84.30,69.51,74.89,89.43,64.72,87.09,80.85,56.98,77.99
Israel,ISR,1999,77.75,34,76.16,23,69.44,94.74,60.92,68.68,73.45,95.85,80.93,87.95,97.10,90.46,70.82,41.66,81.00,83.89,69.34,73.83,88.88,64.72,86.52,80.85,56.88,81.47
Israel,ISR,1998,77.75,34,75.52,24,69.44,94.74,60.92,68.68,73.45,95.82,80.93,87.95,97.10,90.45,70.82,41.66,81.00,83.89,69.34,73.66,87.93,64.72,85.86,80.85,54.57,81.08
Israel,ISR,1997,77.67,33,75.01,24,69.44,94.74,60.92,68.68,73.45,95.82,80.93,87.95,97.10,90.45,70.43,41.08,81.00,83.89,69.10,73.33,87.65,64.72,85.39,80.85,52.30,80.81
Israel,ISR,1996,77.09,35,74.54,24,62.50,94.74,60.92,68.68,71.71,95.80,80.93,87.95,97.10,90.44,70.43,41.08,81.00,83.89,69.10,73.09,87.85,64.72,84.80,80.85,50.05,80.42
Israel,ISR,1995,77.14,34,74.03,24,62.50,94.74,60.92,68.68,71.71,95.80,80.93,87.95,97.10,90.44,70.43,41.08,81.00,84.56,69.27,72.51,86.63,64.72,84.10,80.85,49.27,80.16
