Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Italy,ITA,2022,83.12,25,80.25,32,100.00,84.21,66.21,86.78,84.30,95.79,87.78,96.29,96.17,94.01,56.93,76.10,68.21,82.92,71.04,80.96,95.76,71.50,85.01,88.76,61.34,78.45
Italy,ITA,2021,83.12,26,80.25,32,100.00,84.21,66.21,86.78,84.30,95.79,87.78,96.29,96.17,94.01,56.93,76.10,68.21,82.92,71.04,80.96,95.76,71.50,85.01,88.76,61.34,78.45
Italy,ITA,2020,83.04,26,79.98,32,100.00,84.21,66.21,86.78,84.30,95.79,89.54,96.50,96.17,94.50,57.18,73.07,68.21,82.76,70.30,79.68,95.76,71.50,85.01,88.81,61.34,77.79
Italy,ITA,2019,83.85,27,80.34,32,100.00,89.47,65.67,90.43,86.39,95.71,92.65,97.53,96.89,95.69,54.91,72.58,68.21,82.12,69.45,81.30,97.91,71.50,85.01,88.81,60.84,77.00
Italy,ITA,2018,83.72,29,80.12,31,100.00,89.47,65.81,90.63,86.48,96.70,91.40,97.53,96.58,95.55,54.29,71.32,68.21,82.74,69.14,81.01,97.63,71.50,85.45,88.81,60.14,76.28
Italy,ITA,2017,83.87,27,79.70,31,100.00,89.47,64.99,91.26,86.43,96.73,91.85,97.94,96.58,95.77,54.72,70.60,68.21,84.03,69.39,80.81,96.88,69.86,86.04,88.81,59.32,76.22
Italy,ITA,2016,83.54,30,79.76,31,100.00,89.47,64.18,90.11,85.94,96.78,90.12,97.94,96.58,95.35,54.18,71.87,68.21,83.01,69.32,80.48,97.44,71.50,85.48,88.81,58.41,76.22
Italy,ITA,2015,83.38,29,79.23,32,100.00,89.47,64.04,90.11,85.91,96.78,90.12,97.22,96.58,95.17,52.98,72.00,68.21,83.01,69.05,80.22,96.13,71.03,84.21,88.81,58.12,76.08
Italy,ITA,2014,83.58,28,79.70,31,100.00,89.47,65.40,90.53,86.35,96.78,90.12,97.22,96.58,95.17,51.95,73.67,68.21,83.01,69.21,80.06,97.15,72.66,84.28,88.81,57.91,77.00
Italy,ITA,2013,82.50,28,79.40,30,94.44,84.21,65.26,84.60,82.13,96.76,90.12,98.35,96.58,95.45,53.30,74.42,68.21,83.75,69.92,80.23,96.41,72.20,83.83,88.81,57.62,76.74
Italy,ITA,2012,82.38,29,79.22,27,94.44,78.95,66.62,84.50,81.13,96.63,92.91,98.35,96.27,96.04,53.58,74.68,68.21,83.40,69.97,80.77,95.56,71.50,83.24,88.81,58.05,76.61
Italy,ITA,2011,82.07,30,79.45,27,94.44,78.95,66.35,85.22,81.24,95.85,92.50,97.94,96.27,95.64,54.58,74.54,68.21,80.01,69.33,81.36,95.47,71.73,83.07,88.81,58.16,77.53
Italy,ITA,2010,81.87,29,79.11,27,94.44,78.95,66.49,85.85,81.43,95.46,92.50,97.43,94.09,94.87,55.05,73.99,68.21,80.01,69.31,81.27,95.19,72.66,82.97,88.81,56.89,76.02
Italy,ITA,2009,80.90,32,79.06,26,94.44,73.68,65.40,85.74,79.82,95.04,92.50,97.73,94.09,94.84,53.52,71.42,68.21,79.05,68.05,81.02,94.44,74.77,82.49,88.81,56.32,75.56
Italy,ITA,2008,81.15,30,79.37,26,94.44,73.68,64.86,85.64,79.66,95.95,91.89,97.73,94.09,94.92,52.82,75.48,68.21,79.04,68.89,82.08,94.16,74.77,82.17,88.81,55.74,77.86
Italy,ITA,2007,81.99,28,79.47,26,94.44,73.68,67.30,86.16,80.40,96.43,92.55,98.46,96.58,96.00,52.77,73.44,68.21,83.85,69.57,82.37,94.06,76.87,81.88,88.81,54.78,77.53
Italy,ITA,2006,82.15,29,78.68,25,94.44,73.68,68.25,86.58,80.74,95.26,92.55,98.25,96.58,95.66,56.13,75.14,68.21,80.76,70.06,82.20,93.78,75.00,81.53,88.81,53.69,75.76
Italy,ITA,2005,82.09,27,78.15,25,94.44,73.68,71.10,87.41,81.66,94.30,92.55,98.04,93.89,94.69,57.34,74.30,68.21,79.81,69.91,81.93,92.85,74.77,81.09,88.81,52.44,75.16
Italy,ITA,2004,81.80,27,77.72,25,94.44,73.68,68.11,92.92,82.29,94.30,92.55,97.32,93.89,94.51,57.59,69.84,68.21,78.74,68.60,81.87,92.84,73.60,80.51,88.81,51.31,75.10
Italy,ITA,2003,82.24,27,76.82,25,94.44,73.68,66.62,93.76,82.13,94.30,92.55,97.32,93.89,94.51,60.19,73.13,68.21,78.74,70.07,81.73,91.35,72.20,79.02,88.81,50.24,74.38
Italy,ITA,2002,83.35,25,76.41,25,94.44,73.68,71.78,93.96,83.47,94.30,92.55,97.32,93.89,94.51,60.73,81.37,68.21,77.95,72.06,81.79,91.81,71.26,78.71,88.81,48.93,73.59
Italy,ITA,2001,83.48,23,76.06,25,87.50,73.68,74.90,94.48,82.64,95.10,92.55,96.91,93.89,94.61,62.43,82.95,68.21,79.12,73.18,81.77,91.62,71.26,78.34,88.81,47.66,72.93
