Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Jamaica,JAM,2022,74.23,46,65.19,92,63.89,84.21,57.67,60.35,66.53,94.65,84.86,95.88,86.22,90.40,50.93,68.92,57.88,85.34,65.77,53.48,81.28,47.43,86.83,78.10,42.96,66.23
Jamaica,JAM,2021,74.23,47,65.19,92,63.89,84.21,57.67,60.35,66.53,94.65,84.86,95.88,86.22,90.40,50.93,68.92,57.88,85.34,65.77,53.48,81.28,47.43,86.83,78.10,42.96,66.23
Jamaica,JAM,2020,74.49,48,66.33,85,63.89,84.21,57.67,60.35,66.53,95.82,87.22,95.88,86.22,91.29,52.53,69.61,57.88,82.55,65.65,52.74,81.28,47.43,86.83,88.38,42.96,64.65
Jamaica,JAM,2019,75.12,48,65.11,93,63.89,84.21,55.90,68.99,68.25,95.92,88.26,95.57,86.22,91.49,52.41,72.44,56.88,80.77,65.62,54.72,81.07,47.43,86.83,78.75,42.96,63.99
Jamaica,JAM,2018,75.38,47,66.67,83,63.89,84.21,56.72,73.47,69.57,95.31,88.26,96.29,84.35,91.05,51.18,73.16,56.88,80.81,65.51,54.64,80.87,47.43,86.97,88.34,42.28,66.16
Jamaica,JAM,2017,75.51,46,66.41,83,63.89,84.21,55.90,76.38,70.10,95.31,88.26,96.29,86.01,91.47,50.82,70.65,56.88,81.48,64.96,54.39,80.69,47.43,87.00,88.34,41.61,65.44
Jamaica,JAM,2016,75.29,47,66.30,82,63.89,84.21,55.90,76.48,70.12,95.13,87.99,96.09,86.01,91.30,50.18,70.62,56.88,80.06,64.44,54.30,80.51,47.43,86.84,88.34,40.96,65.70
Jamaica,JAM,2015,74.74,47,66.16,81,56.94,89.47,57.94,76.80,70.29,94.87,87.99,96.09,86.01,91.24,47.43,66.35,56.88,80.06,62.68,54.15,80.37,47.43,86.65,88.34,40.31,65.90
Jamaica,JAM,2014,73.87,49,66.06,83,56.94,89.47,54.14,73.67,68.56,94.87,87.99,96.09,86.01,91.24,45.40,64.89,56.88,80.06,61.81,54.09,80.27,47.43,86.99,88.34,39.68,65.64
Jamaica,JAM,2013,74.20,48,66.07,79,56.94,89.47,53.19,76.48,69.02,94.87,87.99,96.09,86.01,91.24,44.34,68.08,56.88,80.06,62.34,54.06,80.21,47.43,88.36,88.34,39.05,65.05
Jamaica,JAM,2012,73.90,48,64.85,84,56.94,89.47,52.24,76.27,68.73,93.94,88.27,94.85,86.01,90.77,44.25,66.83,56.88,80.84,62.20,54.08,80.19,47.43,88.58,80.20,38.43,65.05
Jamaica,JAM,2011,73.79,51,64.65,83,56.94,89.47,53.19,75.86,68.87,93.59,88.27,94.85,84.87,90.40,47.94,63.12,56.88,80.44,62.10,54.29,80.21,47.43,87.57,80.20,37.83,65.05
Jamaica,JAM,2010,73.04,52,64.47,77,56.94,89.47,52.78,75.86,68.76,93.59,88.27,94.85,84.87,90.40,47.10,55.70,56.88,80.16,59.96,54.08,80.26,47.43,88.52,80.20,37.24,63.53
Jamaica,JAM,2009,72.57,52,64.09,79,56.94,84.21,52.37,76.80,67.58,93.59,87.72,94.85,84.04,90.05,46.24,57.03,56.88,80.16,60.08,54.44,80.32,47.43,86.80,80.20,36.66,62.75
Jamaica,JAM,2008,73.05,50,64.68,74,56.94,84.21,52.51,81.06,68.68,93.59,87.72,94.85,84.04,90.05,46.49,58.17,56.88,80.16,60.43,55.33,80.38,47.43,87.43,80.20,36.08,65.90
Jamaica,JAM,2007,73.27,48,64.65,67,56.94,84.21,53.19,82.21,69.14,93.23,87.72,94.85,84.04,89.96,46.56,59.21,56.88,80.16,60.70,55.57,80.43,47.43,88.60,80.20,35.50,64.85
Jamaica,JAM,2006,73.24,48,64.71,65,51.39,94.74,51.29,83.45,70.22,93.05,87.72,94.85,81.76,89.35,45.70,57.91,56.88,80.16,60.16,55.40,80.45,47.43,89.92,80.20,34.93,64.65
Jamaica,JAM,2005,72.83,48,64.39,63,51.39,94.74,51.83,82.52,70.12,92.80,87.72,94.44,81.76,89.18,41.38,58.34,56.88,80.16,59.19,54.98,80.46,47.43,89.91,80.20,34.37,63.40
Jamaica,JAM,2004,72.31,48,64.16,64,51.39,94.74,47.63,82.31,69.02,92.15,87.72,94.44,79.07,88.34,43.86,57.39,56.88,80.16,59.57,54.92,80.46,47.43,89.13,80.20,33.62,63.34
Jamaica,JAM,2003,71.75,51,62.31,70,51.39,94.74,46.40,79.60,68.03,92.15,87.72,94.44,79.07,88.34,41.89,56.61,56.88,80.16,58.88,54.78,80.45,40.89,88.53,80.20,29.64,61.70
Jamaica,JAM,2002,71.47,53,62.45,65,51.39,94.74,45.86,81.48,68.37,89.71,87.72,94.44,74.72,86.64,40.38,60.18,56.88,80.16,59.40,54.25,80.45,40.89,87.96,80.20,31.48,61.96
Jamaica,JAM,2001,71.33,50,63.57,60,51.39,73.68,48.58,83.14,64.20,88.99,87.72,94.44,74.72,86.47,48.09,68.17,56.88,80.16,63.33,54.01,80.45,50.70,87.04,80.20,30.65,61.96
Jamaica,JAM,2000,71.42,50,63.18,60,51.39,73.68,48.71,84.08,64.47,88.99,87.72,94.44,74.72,86.47,48.09,68.17,56.88,80.16,63.33,53.91,80.45,50.70,87.01,80.20,28.17,61.83
Jamaica,JAM,1999,68.41,54,63.95,58,51.39,73.68,46.27,75.44,61.70,88.99,87.72,93.72,59.69,82.53,50.91,66.08,46.81,80.16,60.99,53.90,80.47,50.70,86.64,80.20,28.99,66.75
Jamaica,JAM,1998,68.41,54,65.13,57,51.39,73.68,46.27,75.44,61.70,88.99,87.72,93.72,59.69,82.53,50.91,66.08,46.81,80.16,60.99,53.87,80.49,59.35,86.56,80.20,28.67,66.75
Jamaica,JAM,1997,68.26,54,65.02,55,51.39,73.68,46.27,75.44,61.70,86.98,87.72,93.72,59.69,82.03,50.60,66.62,46.81,80.16,61.05,54.47,80.51,59.35,85.81,80.20,28.34,66.49
Jamaica,JAM,1996,68.21,53,64.88,55,51.39,73.68,46.27,75.44,61.70,86.93,87.72,93.20,59.69,81.88,50.60,66.62,46.81,80.16,61.05,54.86,80.50,59.35,85.24,80.20,28.02,65.97
Jamaica,JAM,1995,68.19,53,64.62,52,51.39,73.68,46.27,75.44,61.70,86.93,87.72,93.00,59.69,81.83,50.60,66.62,46.81,80.16,61.05,55.05,80.44,59.35,84.29,80.20,27.69,65.31
