Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Jordan,JOR,2022,59.58,95,69.37,65,38.89,73.68,38.81,74.71,56.52,54.84,69.43,52.52,71.40,62.05,49.93,58.81,58.08,73.83,60.16,55.07,81.41,75.00,92.06,55.78,38.86,87.39
Jordan,JOR,2021,59.58,95,69.37,65,38.89,73.68,38.81,74.71,56.52,54.84,69.43,52.52,71.40,62.05,49.93,58.81,58.08,73.83,60.16,55.07,81.41,75.00,92.06,55.78,38.86,87.39
Jordan,JOR,2020,57.52,100,69.30,65,31.94,73.68,38.81,74.71,54.79,54.93,67.73,53.35,66.01,60.50,49.04,58.83,53.27,67.95,57.27,54.79,81.41,75.00,92.06,55.73,38.86,87.25
Jordan,JOR,2019,57.14,103,69.89,64,12.50,73.68,36.23,83.45,51.47,54.90,69.86,56.85,66.01,61.91,49.38,59.09,53.27,70.48,58.05,55.26,81.17,75.00,92.06,60.51,38.36,86.86
Jordan,JOR,2018,57.09,103,69.88,62,12.50,73.68,34.87,83.35,51.10,54.84,68.46,58.19,68.81,62.57,50.12,56.52,53.27,70.48,57.60,55.15,80.94,75.00,92.17,60.51,37.65,87.78
Jordan,JOR,2017,56.21,107,70.07,62,12.50,73.68,35.01,82.31,50.88,54.64,67.86,58.50,62.90,60.97,51.03,55.25,53.27,67.61,56.79,55.13,80.73,75.00,92.24,63.22,36.30,87.84
Jordan,JOR,2016,55.67,106,70.12,60,12.50,73.68,35.69,82.73,51.15,49.96,67.48,57.47,64.97,59.97,51.83,54.42,53.27,64.07,55.90,55.19,80.53,75.00,92.19,63.22,36.68,88.04
Jordan,JOR,2015,55.58,107,70.21,59,12.50,73.68,35.28,83.04,51.13,52.93,69.41,58.50,63.63,61.12,51.64,52.13,54.89,59.36,54.50,55.39,80.33,75.00,92.23,63.22,37.06,88.24
Jordan,JOR,2014,55.48,108,70.30,59,12.50,73.68,33.65,84.60,51.11,52.93,69.41,57.67,63.63,60.91,50.03,53.46,54.89,59.36,54.43,55.63,80.13,75.00,92.24,63.22,37.41,88.44
Jordan,JOR,2013,55.26,109,70.30,57,12.50,73.68,34.60,85.64,51.61,53.09,69.53,57.88,62.07,60.64,47.78,52.12,54.89,59.36,53.54,55.86,79.91,75.00,92.28,63.22,37.76,88.11
