Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Japan,JPN,2022,84.44,24,86.98,15,79.17,63.16,82.50,80.96,76.44,95.63,90.88,94.64,90.26,92.86,79.30,85.19,84.27,87.29,84.01,80.45,100.00,76.87,89.73,93.10,71.74,96.98
Japan,JPN,2021,84.44,24,86.98,15,79.17,63.16,82.50,80.96,76.44,95.63,90.88,94.64,90.26,92.86,79.30,85.19,84.27,87.29,84.01,80.45,100.00,76.87,89.73,93.10,71.74,96.98
Japan,JPN,2020,85.56,20,86.88,15,79.17,73.68,82.50,80.96,79.08,95.66,90.88,94.64,90.26,92.86,80.36,85.44,84.27,88.91,84.75,80.08,100.00,76.87,89.73,93.13,71.74,96.58
Japan,JPN,2019,86.52,20,86.92,15,79.17,73.68,81.95,86.58,80.35,95.66,93.72,93.92,94.20,94.37,79.95,85.28,84.27,89.88,84.85,80.86,99.52,76.87,89.73,93.13,71.74,96.58
Japan,JPN,2018,86.58,19,86.85,15,79.17,73.68,81.82,86.16,80.21,95.66,93.72,94.44,94.20,94.50,80.36,85.63,84.27,89.88,85.04,80.87,99.24,76.87,90.00,93.13,71.48,96.39
Japan,JPN,2017,86.64,20,86.86,15,79.17,73.68,81.00,87.41,80.32,95.43,93.72,93.10,94.20,94.11,80.90,86.91,84.27,89.88,85.49,80.75,99.04,76.87,90.37,93.13,71.52,96.39
Japan,JPN,2016,86.62,20,86.79,15,79.17,73.68,81.41,87.10,80.34,95.35,93.97,93.10,94.20,94.16,83.00,84.29,84.27,89.88,85.36,80.43,98.82,76.87,90.46,93.13,71.44,96.39
Japan,JPN,2015,86.82,20,86.64,14,79.17,73.68,82.50,86.58,80.48,95.35,93.97,93.10,94.20,94.16,83.18,85.96,84.27,89.88,85.82,80.29,98.47,76.87,90.63,93.13,71.00,96.06
Japan,JPN,2014,86.70,21,86.58,15,79.17,73.68,82.50,85.02,80.09,95.45,94.39,93.00,94.20,94.26,84.86,84.00,84.27,89.88,85.76,79.99,98.08,76.87,90.90,93.13,70.48,96.58
Japan,JPN,2013,85.52,21,86.39,13,79.17,63.16,81.41,83.45,76.80,95.45,94.39,93.00,94.20,94.26,82.38,85.03,84.27,90.37,85.51,79.91,97.60,76.87,91.37,93.13,69.23,96.65
Japan,JPN,2012,85.09,22,86.58,11,79.17,63.16,80.33,80.02,75.67,96.21,94.39,95.37,94.20,95.04,79.96,83.60,84.27,90.37,84.55,79.53,97.16,78.74,91.99,93.13,67.98,97.50
Japan,JPN,2011,84.93,24,86.28,12,79.17,63.16,79.78,77.52,74.91,96.21,94.39,95.78,94.20,95.14,79.82,84.54,84.27,90.37,84.75,79.25,96.22,78.74,92.45,93.13,66.74,97.44
Japan,JPN,2010,84.64,24,86.16,11,73.61,63.16,80.73,80.33,74.46,96.21,94.39,95.78,94.20,95.14,80.38,82.20,84.27,90.37,84.31,79.22,96.69,78.74,92.79,93.13,65.51,97.04
Japan,JPN,2009,84.54,23,85.03,15,73.61,63.16,80.73,80.12,74.41,96.21,94.39,95.78,94.20,95.14,77.54,84.16,84.27,90.37,84.09,78.50,96.86,72.43,92.89,93.13,64.99,96.45
Japan,JPN,2008,84.31,23,85.03,14,73.61,63.16,82.09,78.46,74.33,96.21,94.39,95.37,94.20,95.04,77.03,82.51,84.27,90.37,83.55,79.55,96.21,72.43,92.83,93.13,64.46,96.58
Japan,JPN,2007,84.66,22,84.90,13,73.61,63.16,83.99,79.81,75.14,96.21,94.39,95.16,94.20,94.99,75.85,84.85,84.27,90.37,83.84,79.78,96.06,72.43,92.81,93.13,63.95,96.12
Japan,JPN,2006,85.87,19,84.72,13,73.61,73.68,83.72,78.98,77.50,96.21,94.39,95.16,94.20,94.99,78.37,87.44,84.27,90.37,85.11,79.54,95.72,72.43,92.77,93.13,63.43,95.99
Japan,JPN,2005,83.85,24,84.50,13,73.61,52.63,83.18,82.83,73.06,96.16,94.39,95.16,94.20,94.98,74.03,85.36,84.27,90.37,83.51,79.30,94.98,72.43,92.67,93.13,62.92,96.06
Japan,JPN,2004,84.33,22,84.43,12,73.61,52.63,80.60,90.84,74.42,96.13,94.39,95.16,94.20,94.97,74.51,85.21,84.27,90.37,83.59,78.98,95.17,72.43,92.81,93.13,62.40,96.06
Japan,JPN,2003,84.43,22,84.14,13,73.61,52.63,83.18,91.78,75.30,96.16,94.39,95.16,94.20,94.98,72.26,85.19,84.27,90.37,83.02,78.60,94.67,72.43,92.78,93.13,61.89,95.47
Japan,JPN,2002,83.87,22,83.93,13,73.61,52.63,80.05,89.28,73.89,96.16,94.39,95.16,94.20,94.98,68.16,88.20,84.27,90.37,82.75,78.36,94.30,72.43,92.81,93.13,61.39,95.07
Japan,JPN,2001,84.30,22,83.87,12,73.61,52.63,79.78,89.59,73.90,96.16,94.39,95.16,94.20,94.98,72.79,88.64,84.27,90.37,84.02,78.40,94.03,72.43,92.73,93.13,60.88,95.47
Japan,JPN,2000,84.78,22,83.77,11,73.61,52.63,84.80,90.32,75.34,96.16,94.39,95.16,94.20,94.98,72.79,88.64,84.27,90.37,84.02,78.37,93.39,72.43,92.62,93.13,60.38,96.06
Japan,JPN,1999,83.57,22,83.41,11,73.61,52.63,84.67,79.29,72.55,96.16,94.39,95.16,93.06,94.69,69.63,89.65,84.27,90.37,83.48,77.91,92.45,72.43,92.51,93.13,59.87,95.53
Japan,JPN,1998,83.57,22,83.34,9,73.61,52.63,84.67,79.29,72.55,96.16,94.39,95.16,93.06,94.69,69.63,89.65,84.27,90.37,83.48,78.00,92.32,72.43,92.69,93.13,59.39,95.40
Japan,JPN,1997,83.46,23,83.31,10,73.61,52.63,84.67,79.29,72.55,96.16,94.39,95.16,93.06,94.69,69.98,87.92,84.27,90.37,83.14,78.28,92.18,72.43,92.88,93.13,58.98,95.27
Japan,JPN,1996,83.46,23,83.15,10,73.61,52.63,84.67,79.29,72.55,96.13,94.39,95.16,93.06,94.68,69.98,87.92,84.27,90.37,83.14,78.15,91.76,72.43,92.85,93.13,58.56,95.14
Japan,JPN,1995,82.99,22,82.79,11,68.06,52.63,84.67,79.29,71.16,96.13,94.39,95.16,93.06,94.68,69.98,87.92,84.27,90.37,83.14,77.63,90.52,72.43,92.63,93.13,58.15,95.01
