Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Kazakhstan,KAZ,2022,50.15,121,72.70,54,73.61,52.63,54.14,67.85,62.06,64.88,57.86,35.12,19.59,44.36,44.97,59.24,40.23,31.64,44.02,72.37,75.28,88.79,78.02,58.14,68.60,67.67
Kazakhstan,KAZ,2021,50.15,121,72.70,54,73.61,52.63,54.14,67.85,62.06,64.88,57.86,35.12,19.59,44.36,44.97,59.24,40.23,31.64,44.02,72.37,75.28,88.79,78.02,58.14,68.60,67.67
Kazakhstan,KAZ,2020,49.66,124,72.34,55,73.61,52.63,54.14,67.85,62.06,63.16,58.15,34.71,15.85,42.97,44.37,59.21,40.46,31.79,43.96,71.90,75.28,88.79,78.02,58.09,68.60,65.70
Kazakhstan,KAZ,2019,49.93,123,72.90,54,73.61,52.63,53.60,74.92,63.69,63.59,55.70,31.72,15.85,41.72,45.11,60.98,40.46,30.93,44.37,72.59,78.66,88.79,78.02,58.09,67.93,66.23
Kazakhstan,KAZ,2018,48.98,122,71.89,58,73.61,52.63,53.46,68.78,62.12,63.56,53.80,30.18,15.85,40.85,41.60,63.48,40.46,30.30,43.96,72.03,78.60,88.79,77.56,54.89,66.42,64.98
Kazakhstan,KAZ,2017,48.43,125,70.96,58,73.61,42.11,52.51,70.34,59.64,63.56,56.60,31.41,15.85,41.86,37.39,64.98,41.57,31.26,43.80,71.54,78.23,89.49,77.12,50.82,65.06,64.45
Kazakhstan,KAZ,2016,48.13,125,70.53,58,73.61,42.11,52.37,64.93,58.26,64.60,58.33,33.37,15.85,43.04,36.69,64.56,41.05,30.01,43.08,71.06,77.22,90.19,76.54,50.82,63.71,64.19
Kazakhstan,KAZ,2015,47.88,124,70.37,57,73.61,42.11,54.68,63.37,58.44,63.64,57.08,33.57,15.85,42.54,36.19,63.68,41.10,29.67,42.66,71.12,76.40,91.12,75.97,49.98,62.87,65.11
Kazakhstan,KAZ,2014,47.69,125,70.33,58,73.61,42.11,52.51,60.46,57.17,62.62,57.47,34.60,15.85,42.64,36.83,65.12,41.10,29.97,43.25,71.17,75.41,90.65,75.51,50.63,62.18,66.75
Kazakhstan,KAZ,2013,44.87,135,69.80,58,73.61,31.58,51.29,54.63,52.78,62.62,57.36,34.50,15.85,42.58,30.02,56.24,41.10,29.68,39.26,70.69,73.88,90.42,74.54,50.63,61.23,67.21
