Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Kenya,KEN,2022,64.78,76,60.91,110,77.78,57.89,45.59,65.45,61.68,81.06,65.28,81.05,87.56,78.74,35.49,42.33,59.67,78.15,53.91,41.03,67.11,58.41,81.75,86.74,24.58,66.75
Kenya,KEN,2021,64.78,76,60.91,110,77.78,57.89,45.59,65.45,61.68,81.06,65.28,81.05,87.56,78.74,35.49,42.33,59.67,78.15,53.91,41.03,67.11,58.41,81.75,86.74,24.58,66.75
Kenya,KEN,2020,63.43,85,60.54,113,77.78,57.89,45.59,65.45,61.68,79.86,58.58,78.89,88.39,76.43,33.12,44.10,59.67,71.81,52.17,40.12,67.11,58.41,81.75,86.74,24.58,65.05
Kenya,KEN,2019,63.01,87,59.53,118,77.78,57.89,45.18,69.09,62.49,79.09,58.52,76.73,90.05,76.10,33.52,42.09,55.83,70.35,50.45,40.57,66.56,58.41,81.75,80.71,24.58,64.13
Kenya,KEN,2018,62.73,88,60.06,114,77.78,57.89,46.00,69.61,62.82,79.22,58.52,76.73,87.05,75.38,32.58,40.42,55.83,71.18,50.00,40.09,65.89,58.41,81.29,80.71,24.14,69.91
Kenya,KEN,2017,63.13,87,59.82,114,77.78,57.89,47.63,70.55,63.46,80.23,53.28,80.12,87.05,75.17,32.48,41.47,55.83,73.31,50.77,39.51,65.09,58.41,80.79,81.73,23.71,69.51
Kenya,KEN,2016,63.94,80,59.46,116,77.78,63.16,46.81,70.34,64.52,82.04,59.53,82.90,87.05,77.88,33.10,36.96,57.01,70.60,49.42,39.26,64.12,58.41,80.14,81.73,23.28,69.32
Kenya,KEN,2015,63.14,85,58.88,116,77.78,52.63,45.73,69.93,61.52,82.53,59.87,83.52,87.05,78.24,31.86,39.20,57.01,70.60,49.67,38.95,63.01,58.41,79.36,80.97,22.85,68.59
Kenya,KEN,2014,62.81,86,56.67,123,72.22,52.63,47.90,69.30,60.51,82.53,59.87,83.52,87.05,78.24,32.63,38.43,57.01,70.60,49.67,38.52,61.77,45.09,78.64,80.97,22.67,69.05
Kenya,KEN,2013,62.76,85,56.09,125,72.22,52.63,47.22,70.97,60.76,81.84,59.38,84.65,86.32,78.05,30.30,40.77,57.01,69.76,49.46,38.10,60.44,45.09,77.97,80.97,22.49,67.54
Kenya,KEN,2012,62.85,84,56.00,125,72.22,52.63,46.40,70.55,60.45,77.37,57.50,84.14,93.06,78.02,28.93,37.60,60.94,72.82,50.07,37.90,59.02,45.09,77.27,83.20,22.32,67.21
Kenya,KEN,2011,62.92,83,55.42,126,72.22,52.63,43.96,71.07,59.97,77.45,57.50,84.14,93.06,78.04,30.09,39.19,60.94,72.81,50.76,37.58,57.51,45.09,76.57,83.20,22.14,65.83
Kenya,KEN,2010,62.65,83,54.87,126,72.22,47.37,42.88,72.01,58.62,77.42,57.50,84.14,93.06,78.03,30.65,40.79,60.94,72.81,51.30,37.16,55.85,45.09,76.06,83.20,21.96,64.78
Kenya,KEN,2009,58.28,96,54.14,124,72.22,52.63,39.62,72.63,59.28,76.54,54.36,81.26,85.80,74.49,27.98,35.53,56.78,44.02,41.08,36.26,53.93,45.09,75.70,83.20,21.60,63.21
Kenya,KEN,2008,55.54,105,53.65,124,40.28,52.63,40.71,71.49,51.28,76.36,52.64,80.95,86.11,74.01,28.45,36.18,56.78,43.91,41.33,36.17,51.74,45.09,75.24,83.20,20.76,63.34
Kenya,KEN,2007,55.85,103,53.13,125,40.28,52.63,39.21,70.76,50.72,81.88,48.83,81.05,87.05,74.70,30.46,37.96,56.78,43.28,42.12,36.62,49.32,45.09,74.64,83.20,19.93,63.07
Kenya,KEN,2006,56.36,100,52.41,123,40.28,52.63,38.94,70.14,50.50,81.65,53.32,81.05,87.05,75.77,29.60,41.57,56.78,43.28,42.81,35.93,46.76,45.09,74.23,83.20,19.16,62.48
Kenya,KEN,2005,55.85,102,51.45,123,40.28,52.63,37.18,69.51,49.90,81.65,53.32,81.26,87.05,75.82,28.17,39.07,56.78,43.28,41.82,35.30,44.22,45.09,73.93,83.20,18.39,59.99
Kenya,KEN,2004,55.09,101,51.28,124,40.28,52.63,34.74,66.70,48.59,81.65,53.93,81.26,87.05,75.97,29.72,42.38,47.25,43.49,40.71,34.76,41.88,48.60,73.71,83.20,17.98,58.80
Kenya,KEN,2003,55.48,99,50.57,124,40.28,52.63,36.09,73.67,50.67,81.65,53.93,81.26,87.05,75.97,28.47,38.80,47.25,44.65,39.79,34.35,39.89,48.60,73.54,83.20,16.49,57.88
Kenya,KEN,2002,52.57,108,50.21,123,40.28,52.63,31.61,71.90,49.11,74.65,48.55,69.41,81.97,68.65,27.80,40.34,47.25,44.41,39.95,34.32,38.39,48.60,73.52,83.20,15.05,58.41
Kenya,KEN,2001,52.20,111,49.79,124,40.28,52.63,32.29,74.40,49.90,72.78,43.62,69.41,79.38,66.30,27.59,42.76,45.48,45.78,40.40,34.71,37.45,48.60,73.46,80.03,15.15,59.13
Kenya,KEN,2000,52.27,110,49.61,122,40.28,52.63,32.29,75.34,50.14,72.68,43.62,69.41,79.38,66.27,27.59,42.76,45.48,45.78,40.40,34.53,37.11,48.60,72.90,80.03,14.57,59.53
Kenya,KEN,1999,49.32,117,51.09,118,40.28,52.63,38.81,63.58,48.82,71.72,34.25,64.47,72.02,60.61,28.67,46.01,40.58,38.88,38.54,34.92,37.37,48.60,72.88,80.03,14.17,69.65
Kenya,KEN,1998,49.32,116,51.09,116,40.28,52.63,38.81,63.58,48.82,71.72,34.25,64.47,72.02,60.61,28.67,46.01,40.58,38.88,38.54,35.00,38.10,48.60,72.35,80.03,13.76,69.78
Kenya,KEN,1997,49.41,115,51.07,115,40.28,52.63,38.81,63.58,48.82,69.08,33.42,64.47,72.02,59.75,28.44,51.10,40.58,38.57,39.67,34.92,39.15,48.60,71.97,80.03,13.21,69.65
Kenya,KEN,1996,49.42,116,51.18,115,40.28,52.63,38.81,63.58,48.82,69.73,33.58,64.47,71.30,59.77,28.44,51.10,40.58,38.57,39.67,35.35,40.45,48.60,71.51,80.03,12.66,69.65
Kenya,KEN,1995,49.42,116,51.21,113,40.28,52.63,38.81,63.58,48.82,69.73,33.58,64.47,71.30,59.77,28.44,51.10,40.58,38.57,39.67,35.15,41.90,48.60,70.77,80.03,12.13,69.91
