Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Kyrgyzstan,KGZ,2022,56.85,102,68.11,74,62.50,63.16,43.96,70.55,60.04,74.23,67.39,69.10,63.11,68.46,26.72,55.77,43.53,42.24,42.06,41.95,76.08,85.98,78.68,72.27,52.71,69.12
Kyrgyzstan,KGZ,2021,56.85,102,68.11,74,62.50,63.16,43.96,70.55,60.04,74.23,67.39,69.10,63.11,68.46,26.72,55.77,43.53,42.24,42.06,41.95,76.08,85.98,78.68,72.27,52.71,69.12
Kyrgyzstan,KGZ,2020,58.02,98,68.47,71,62.50,63.16,43.96,70.55,60.04,74.18,63.33,66.74,68.39,68.16,29.00,55.11,50.23,49.08,45.85,41.62,76.08,85.98,78.68,73.50,52.71,70.70
Kyrgyzstan,KGZ,2019,61.73,90,68.59,70,62.50,63.16,44.50,74.09,61.06,76.87,67.88,72.30,88.70,76.44,29.29,59.50,50.23,51.76,47.70,43.54,75.71,84.35,78.68,75.36,52.07,70.43
Kyrgyzstan,KGZ,2018,62.34,90,68.12,72,62.50,63.16,43.42,74.82,60.97,77.08,72.40,80.95,85.91,79.08,30.13,53.48,54.96,49.34,46.98,43.11,75.33,89.02,78.51,72.55,51.76,66.56
Kyrgyzstan,KGZ,2017,60.38,92,67.88,72,62.50,63.16,43.83,77.21,61.67,78.09,61.54,74.15,79.59,73.34,27.71,56.79,54.96,45.06,46.13,42.80,74.96,89.95,77.70,72.03,51.76,65.97
Kyrgyzstan,KGZ,2016,60.05,94,67.05,78,62.50,63.16,43.83,76.90,61.60,78.61,62.66,73.94,79.79,73.75,25.44,51.30,54.96,47.51,44.80,42.32,74.50,91.12,76.91,67.24,51.96,65.31
Kyrgyzstan,KGZ,2015,59.06,97,66.46,77,62.50,63.16,43.01,75.65,61.08,78.07,60.57,75.59,81.87,74.03,24.56,46.53,52.01,45.14,42.06,41.92,73.94,85.98,75.00,72.46,51.68,64.26
Kyrgyzstan,KGZ,2014,59.07,97,67.12,71,62.50,63.16,41.93,75.96,60.89,76.44,63.48,74.67,81.87,74.11,25.17,48.10,46.45,49.11,42.21,41.61,73.47,91.12,74.61,72.64,51.56,64.85
Kyrgyzstan,KGZ,2013,57.69,101,66.08,78,62.50,52.63,43.15,66.91,56.30,76.44,64.03,76.52,81.87,74.71,27.09,45.93,46.45,48.77,42.06,41.26,73.10,86.45,73.64,72.64,50.95,64.52
