Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Cambodia,KHM,2022,39.15,147,56.34,127,70.83,52.63,28.09,72.22,55.94,57.70,40.20,18.64,7.67,31.05,29.24,61.72,20.09,10.83,30.47,39.76,72.82,69.63,63.21,73.14,20.01,55.85
Cambodia,KHM,2021,39.15,147,56.34,128,70.83,52.63,28.09,72.22,55.94,57.70,40.20,18.64,7.67,31.05,29.24,61.72,20.09,10.83,30.47,39.76,72.82,69.63,63.21,73.14,20.01,55.85
Cambodia,KHM,2020,39.49,146,54.36,135,70.83,52.63,28.09,72.22,55.94,57.34,44.63,19.88,4.46,31.57,28.72,59.66,23.29,12.13,30.95,39.47,72.82,69.63,63.21,65.20,20.01,50.20
Cambodia,KHM,2019,41.08,145,54.15,137,70.83,63.16,28.09,80.33,60.60,57.44,47.46,20.29,1.97,31.79,26.26,62.58,21.74,12.86,30.86,40.29,72.39,69.63,63.21,65.20,20.01,48.36
Cambodia,KHM,2018,41.95,144,54.92,133,70.83,63.16,27.95,80.54,60.62,60.78,43.65,21.11,7.56,33.28,26.07,66.48,23.56,11.72,31.96,39.32,71.92,69.63,63.06,67.17,19.28,54.07
Cambodia,KHM,2017,42.15,141,54.11,138,70.83,63.16,27.00,80.12,60.28,63.48,42.82,22.45,9.33,34.52,25.48,66.24,23.56,11.28,31.64,38.29,71.39,69.63,62.90,64.92,18.79,52.83
Cambodia,KHM,2016,44.62,139,54.25,135,70.83,63.16,27.00,79.92,60.23,65.20,43.79,34.19,17.20,40.10,25.26,68.67,26.76,13.46,33.54,37.35,70.81,69.63,62.35,69.55,18.30,51.77
Cambodia,KHM,2015,45.53,132,53.98,137,70.83,63.16,27.41,77.52,59.73,66.26,49.04,41.92,17.20,43.60,26.93,65.65,25.95,14.51,33.26,36.42,70.18,69.63,61.79,69.55,17.64,52.63
Cambodia,KHM,2014,45.70,132,53.62,138,70.83,63.16,29.85,78.56,60.60,66.26,48.64,41.71,17.20,43.45,26.81,64.86,25.95,14.51,33.03,35.50,69.50,69.63,61.26,69.55,17.08,52.83
Cambodia,KHM,2013,45.13,134,52.30,141,70.83,63.16,29.44,74.40,59.46,65.88,50.32,43.25,16.68,44.03,25.54,61.63,25.95,14.51,31.91,34.55,68.78,69.63,60.76,64.18,16.53,51.71
Cambodia,KHM,2012,46.61,130,51.86,141,70.83,63.16,32.02,74.51,60.13,66.77,53.18,48.09,12.02,45.01,26.29,62.30,35.46,14.74,34.70,33.57,68.02,69.63,60.09,64.18,15.98,51.58
Cambodia,KHM,2011,46.35,130,51.32,142,70.83,63.16,34.87,73.99,60.71,66.85,53.01,49.64,12.02,45.38,23.76,58.23,35.17,14.74,32.97,32.59,67.20,69.63,59.58,64.18,15.45,50.59
Cambodia,KHM,2010,46.11,131,50.75,143,70.83,63.16,34.06,76.69,61.18,66.85,53.01,49.64,12.02,45.38,22.90,54.25,35.17,14.74,31.76,31.64,66.30,69.63,59.00,64.18,14.92,49.61
Cambodia,KHM,2009,45.25,135,50.28,140,70.83,52.63,34.06,76.69,58.55,66.82,51.94,51.39,12.02,45.54,23.70,53.05,35.17,14.70,31.65,30.88,65.28,69.63,58.50,64.18,14.34,49.15
Cambodia,KHM,2008,45.07,135,49.78,140,63.89,52.63,34.06,76.69,56.82,66.92,51.94,51.91,12.02,45.70,22.58,58.34,35.17,14.70,32.70,31.13,64.12,69.63,57.54,64.18,13.77,48.09
Cambodia,KHM,2007,45.22,134,49.94,134,63.89,52.63,34.06,76.69,56.82,67.02,51.94,51.91,13.06,45.98,24.53,57.03,35.17,14.70,32.86,30.23,62.82,69.63,56.45,64.18,13.30,52.96
Cambodia,KHM,2006,45.10,132,48.97,138,63.89,52.63,34.06,76.69,56.82,67.02,51.94,52.11,13.06,46.03,22.56,57.39,35.17,14.70,32.46,28.75,61.39,69.63,55.20,64.18,12.64,50.99
Cambodia,KHM,2005,45.04,130,47.83,140,63.89,52.63,34.06,76.69,56.82,67.02,51.94,52.11,13.06,46.03,22.77,56.42,35.17,14.70,32.26,27.18,59.82,69.63,53.56,64.18,11.99,48.42
Cambodia,KHM,2004,45.54,130,46.55,143,63.89,52.63,34.06,76.69,56.82,67.48,54.92,52.11,13.06,46.89,25.68,56.14,35.17,14.70,32.92,25.22,58.14,69.63,51.89,64.18,11.56,45.27
Cambodia,KHM,2003,45.32,132,45.34,144,63.89,52.63,34.06,76.69,56.82,69.13,54.92,52.11,13.06,47.30,26.35,51.19,35.17,14.70,31.85,23.74,56.37,69.63,50.11,64.18,10.99,42.38
Cambodia,KHM,2002,45.31,128,44.39,144,63.89,52.63,34.06,76.69,56.82,68.77,55.49,52.11,13.06,47.36,27.42,49.77,35.17,14.70,31.76,22.58,54.59,69.63,48.17,64.18,10.31,41.26
Cambodia,KHM,2001,45.21,132,43.86,144,63.89,52.63,34.06,76.69,56.82,68.77,55.49,52.63,13.06,47.49,26.77,48.68,35.17,14.70,31.33,21.76,52.82,69.63,46.45,64.18,8.84,43.36
Cambodia,KHM,2000,45.03,131,42.97,149,63.89,52.63,34.06,76.69,56.82,68.77,52.94,53.04,13.06,46.95,26.77,48.68,35.17,14.70,31.33,20.72,51.13,69.63,44.40,64.18,7.97,42.77
Cambodia,KHM,1999,43.99,133,41.90,153,63.89,52.63,34.06,76.69,56.82,69.05,49.90,53.14,13.06,46.29,26.77,38.78,35.17,14.70,28.85,19.41,49.59,69.63,41.89,64.18,7.76,40.87
Cambodia,KHM,1998,44.15,130,40.98,152,63.89,52.63,34.06,76.69,56.82,71.32,49.90,54.17,13.06,47.11,26.77,38.78,35.17,13.42,28.53,17.69,48.20,69.63,39.54,64.18,7.55,40.08
