Name,ISO3,Index Year,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil Liberties,Political Rights,Legislative Constraints on the Executive,Political Freedom,Bureaucracy,Corruption,Security,Clarity of the Law,Judicial Independence and Effectiveness,Legal Freedom,Freedom score,Freedom rank,Income,Health,Inequality,Environment,Minority Rights,Education,Productivity,Crime,Prosperity score,Prosperity rank
South Korea,KOR,2022,73.6111111111111,63.1578947368421,68.1139755766621,74.5057232049948,69.8471761574025,98.9219710632397,93.9984702919873,93.0998970133883,95.9585492227979,95.4947218978533,79.0864458353389,61.1649167000068,77.8071941252779,77.0320106210355,85.492054691019,76.1165243945356,80.4861408165972,,81.871693219762,97.7812405114345,80.3738317757009,86.0929395559136,94.7068302962687,72.9075150738242,34.060943338104,98.9265536723164,80.8401934304155,
South Korea,KOR,2021,73.6111111111111,63.1578947368421,68.1139755766621,74.5057232049948,69.8471761574025,98.9219710632397,93.9984702919873,93.0998970133883,95.9585492227979,95.4947218978533,79.0864458353389,61.1649167000068,77.8071941252779,77.0320106210355,85.492054691019,76.1165243945356,80.4861408165972,,81.871693219762,97.7812405114345,80.3738317757009,86.0929395559136,94.7068302962687,72.9075150738242,34.060943338104,98.9265536723164,80.8401934304155,
South Korea,KOR,2020,73.6111111111111,73.6842105263158,68.1139755766621,74.5057232049948,72.478755104771,98.9474715766746,93.9984702919873,93.0998970133883,97.0984455958549,95.7860711194763,79.1059638832994,60.3586052412226,75.858896725015,69.1104882726065,86.7085770415438,74.2285062327374,80.8311108189949,,81.129512781067,97.7812405114345,80.3738317757009,86.0929395559136,94.644849386389,72.9075150738242,34.060943338104,98.9265536723164,80.7396732618437,
South Korea,KOR,2019,73.6111111111111,73.6842105263158,67.4355495251018,83.1425598335068,74.4683577490089,98.9984726035444,94.5902973844663,92.6879505664263,98.0310880829015,96.0769521593346,78.3397093756791,60.5616130887943,75.5524049016583,69.1104882726065,86.3497375408638,73.9827906359204,81.509366848088,,81.3085431412047,97.4079572162717,80.3738317757009,86.0929395559136,94.644849386389,72.9075150738242,34.060943338104,98.9265536723164,80.7153916449655,
South Korea,KOR,2018,73.6111111111111,73.6842105263158,67.1641791044776,83.1425598335068,74.4005151438528,98.504452842754,94.5902973844663,95.2626158599382,97.720207253886,96.5193933352611,74.3597828470485,57.5431702260605,77.2909301064831,68.6826965629148,85.416243738412,72.6585646961838,81.1928243917659,,80.9713498406076,96.2881073307831,80.3738317757009,86.9972435023315,94.644849386389,72.1935879745183,34.4646689785979,98.8700564971751,80.6004619107629,
South Korea,KOR,2017,73.6111111111111,68.4210526315789,67.2998643147897,82.9344432882414,73.0666178364303,98.2749482218397,94.4100426072212,95.1596292481977,96.4766839378238,96.0803260037706,72.162819243172,54.6836240363536,72.1998174292571,70.6446378521906,87.8787488282597,71.5139294778466,80.2202911060158,,80.5330460219384,96.2881073307831,80.3738317757009,87.609245281572,94.644849386389,71.5542748192489,35.1371015133875,98.8135593220339,80.6192519313817,
South Korea,KOR,2016,73.6111111111111,73.6842105263158,66.078697421981,82.7263267429761,74.025086450596,92.8312471911237,91.9337636220083,83.4191555097836,93.4715025906735,90.4139172283973,71.9687975254322,54.1083677053675,67.7019317448215,70.4233662782121,76.6240176549474,68.1652961817561,77.5347666202498,,80.0231415241058,95.6325854465948,80.3738317757009,88.2035371787076,94.644849386389,71.0778347932376,35.1611372896407,98.7570621468927,80.4842474426586,
South Korea,KOR,2015,73.6111111111111,73.6842105263158,66.078697421981,80.0208116545265,73.3487076784836,91.9387292209013,91.9337636220083,83.4191555097836,88.9119170984456,89.0508913627847,70.9427114489828,52.2415143338159,67.6522287535476,70.4233662782121,77.0463450053169,67.661233163975,76.6869440684144,,79.5713192346489,95.1637052099878,80.8411214953271,88.3262363768991,94.644849386389,70.9231670369113,34.9639019939007,98.6440677966102,80.3847960663343,
South Korea,KOR,2014,73.6111111111111,73.6842105263158,63.3649932157395,80.9573361082206,72.9044127403467,93.1607781028566,91.9337636220083,82.4922760041194,88.7046632124352,89.0728702353549,71.572087822415,55.5070012969627,66.590374979626,80.4100899837734,77.7263556205342,70.3611819406623,77.4461549721213,,79.1671327492401,94.5992280319368,80.8411214953271,88.6523411709798,94.644849386389,70.5387361831514,33.8251576584919,98.5310734463277,80.0999550152305,
South Korea,KOR,2013,73.6111111111111,73.6842105263158,61.3297150610584,79.2924037460978,71.9793601111458,93.1607781028566,92.49146701266,83.4191555097836,88.7046632124352,89.4440159594339,70.9367294019688,57.0807698191403,70.0325435088681,80.4100899837734,77.6609306456084,71.2242126718718,77.5491962474838,,78.712310152837,93.7570645001668,79.9065420560748,88.9849481293782,94.644849386389,69.9915378387128,33.9542774197755,98.4180790960452,79.7962010724224,
South Korea,KOR,2012,73.6111111111111,73.6842105263158,62.9579375848032,80.0208116545265,72.5685177191892,94.1323002464171,92.3358868319007,86.6117404737383,88.9119170984456,90.4979611626254,72.4041399578983,55.1319303086488,69.8002040036531,83.1243546245758,82.4312967829006,72.5783851355353,78.5482880057833,,78.2329182078576,92.914900968397,79.9065420560748,89.4205232227997,94.644849386389,69.8028247913042,36.2837296425451,98.3050847457627,79.9389216276413,
South Korea,KOR,2011,73.6111111111111,73.6842105263158,64.5861601085482,79.6045785639958,72.8715150774927,94.82081410916,92.3358868319007,86.6117404737383,88.9119170984456,90.6700896283112,74.145025647996,54.8448875541019,72.7439448347784,83.1243546245758,82.907163689084,73.5530752701072,79.0315599919704,,77.8998486972737,92.4460207317901,78.9719626168224,89.9616011037822,94.644849386389,69.7815296565624,37.4143203684792,98.135593220339,79.9069657226797,
South Korea,KOR,2010,73.6111111111111,73.6842105263158,63.7720488466757,79.3964620187305,72.6159581257083,94.82081410916,92.3358868319007,86.6117404737383,88.9119170984456,90.6700896283112,73.9323855117608,53.5498407096474,70.990568650589,83.1243546245758,82.907163689084,72.9008626371314,78.7289701303836,,77.386228455515,91.6038572000203,78.9719626168224,90.1704165475689,94.644849386389,69.1101107398748,38.2478476761418,97.9661016949153,79.7626717896559,
South Korea,KOR,2009,73.6111111111111,73.6842105263158,64.314789687924,78.9802289281998,72.6475850633877,94.82081410916,92.3358868319007,86.4057672502574,88.9119170984456,90.6185963224409,71.3717026929968,55.2201512955256,72.6858834912308,83.1243546245758,82.7415451203117,73.0287274449281,78.7649696102522,,76.2897458337174,91.3261708463016,78.2710280373832,90.2073808703213,94.644849386389,64.2380307678775,37.2801517266231,97.7966101694915,78.7567459547631,
South Korea,KOR,2008,68.0555555555556,73.6842105263158,65.5359565807327,76.8990634755463,71.0436965345376,94.9993177032045,92.3358868319007,87.0236869207003,88.9119170984456,90.8177021385628,70.7458136060644,53.530834435704,72.9154974205564,83.1243546245758,82.7415451203117,72.6116090414425,78.1576692381809,,76.2402126049385,90.4840073145318,78.2710280373832,90.0931260486367,94.644849386389,64.6323280394529,37.7439316947446,97.6271186440678,78.717075221268,
South Korea,KOR,2007,68.0555555555556,73.6842105263158,70.1492537313433,77.5234131113424,72.3531082311392,98.0974456810085,93.6239042847366,94.3357363542739,94.4041450777201,95.1153078494348,75.0408243539474,56.819358460438,75.8570865130008,83.1243546245758,86.7993544518855,75.5281956807695,80.9988705871145,,75.8421371121045,89.7419929595129,79.6728971962617,89.9053083976231,94.644849386389,64.8787635606893,38.6258742927564,97.4576271186441,78.8461812529976,
South Korea,KOR,2006,68.0555555555556,73.6842105263158,71.9131614654003,76.0665972944849,72.4298812104391,98.0974456810085,93.6239042847366,94.8506694129762,94.4041450777201,95.2440411141104,70.5073995745828,50.6690685202568,72.973945546071,83.1243546245758,86.921148572278,72.8391833675529,80.1710352307008,,74.9173227063345,88.8998294277431,79.6728971962617,89.7095624607567,94.644849386389,64.5788496600608,37.8737204511846,97.3446327683616,78.4552080071365,
