Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Kuwait,KWT,2022,59.06,97,73.31,50,13.89,57.89,45.45,70.34,46.90,78.14,63.83,42.02,85.91,67.47,46.25,70.45,60.23,74.26,62.80,82.17,83.15,,89.16,62.97,39.24,83.18
Kuwait,KWT,2021,59.06,97,73.31,50,13.89,57.89,45.45,70.34,46.90,78.14,63.83,42.02,85.91,67.47,46.25,70.45,60.23,74.26,62.80,82.17,83.15,,89.16,62.97,39.24,83.18
Kuwait,KWT,2020,58.86,95,72.89,53,13.89,57.89,45.45,70.34,46.90,80.54,64.11,35.53,80.73,65.22,44.56,69.47,66.15,77.61,64.45,82.17,83.15,,89.16,61.36,39.24,82.26
Kuwait,KWT,2019,59.77,99,72.88,55,13.89,57.89,44.91,75.86,48.14,81.65,64.11,35.74,83.73,66.31,45.61,68.29,66.15,79.39,64.86,84.11,82.97,,89.16,59.01,39.24,82.79
Kuwait,KWT,2018,59.26,100,73.39,48,13.89,57.89,44.91,75.86,48.14,81.65,63.70,33.78,84.77,65.97,42.73,66.45,66.15,79.39,63.68,84.51,82.80,,89.34,59.01,38.22,86.47
Kuwait,KWT,2017,58.84,100,73.21,48,13.89,57.89,44.78,73.78,47.58,82.25,63.10,35.32,84.77,66.36,41.35,63.46,66.15,79.39,62.59,84.43,82.63,,89.49,58.66,37.69,86.33
Kuwait,KWT,2016,58.46,99,73.28,47,13.89,57.89,44.50,74.51,47.70,80.00,63.99,33.78,84.04,65.45,42.20,63.39,64.30,78.99,62.22,85.75,82.47,,89.62,58.66,36.97,86.20
Kuwait,KWT,2015,58.18,100,73.19,47,13.89,57.89,44.23,73.36,47.34,81.28,63.99,33.78,82.28,65.33,44.04,60.07,64.30,78.99,61.85,85.79,82.30,,89.82,58.66,36.26,86.33
Kuwait,KWT,2014,58.58,98,73.16,48,13.89,57.89,42.61,74.30,47.17,80.89,63.99,33.68,82.28,65.21,42.68,67.41,64.30,78.99,63.34,86.38,82.09,,89.99,58.66,34.14,87.71
Kuwait,KWT,2013,59.11,95,73.10,48,13.89,57.89,43.01,78.56,48.34,80.43,63.99,34.19,82.28,65.22,44.05,67.75,64.30,78.99,63.77,87.11,81.84,,89.71,58.66,32.97,88.30
Kuwait,KWT,2012,59.49,96,73.62,45,13.89,57.89,44.50,79.29,48.90,80.10,63.99,34.50,83.94,65.63,44.01,68.51,64.30,78.99,63.96,87.83,81.55,,89.43,58.66,35.75,88.50
Kuwait,KWT,2011,60.37,92,73.29,46,13.89,57.89,44.91,80.75,49.36,82.75,63.21,35.02,83.94,66.23,48.12,70.69,64.30,78.99,65.53,87.68,81.21,,89.57,58.66,34.50,88.11
Kuwait,KWT,2010,60.58,90,72.58,47,6.94,57.89,45.45,81.89,48.05,82.86,63.21,35.02,83.94,66.26,52.11,73.54,64.30,79.78,67.43,87.05,80.86,,88.73,58.66,33.26,86.93
Kuwait,KWT,2009,59.90,91,72.18,47,6.94,52.63,42.61,80.65,45.71,83.59,63.21,36.46,83.94,66.80,52.53,71.55,64.30,80.39,67.19,88.54,80.49,,86.83,58.66,32.04,86.53
Kuwait,KWT,2008,59.96,90,72.42,47,6.94,52.63,42.33,79.81,45.43,83.36,63.21,36.46,83.94,66.74,51.59,74.55,64.30,80.39,67.71,90.95,80.14,,85.73,58.66,30.82,88.24
Kuwait,KWT,2007,60.40,86,72.34,46,6.94,52.63,43.69,80.85,46.03,83.05,63.21,36.66,83.94,66.72,52.15,76.96,64.30,80.39,68.45,91.57,79.83,,87.27,58.66,29.62,87.06
Kuwait,KWT,2006,60.36,85,72.03,45,6.94,52.63,44.50,80.54,46.16,83.20,63.21,37.18,83.94,66.88,54.75,72.75,64.30,80.39,68.05,91.49,79.55,,87.04,58.66,29.06,86.40
Kuwait,KWT,2005,58.27,94,71.79,42,6.94,31.58,43.96,81.48,40.99,82.75,62.56,37.28,83.94,66.63,54.47,69.53,64.30,80.50,67.20,90.99,79.32,,87.23,58.66,28.79,85.74
Kuwait,KWT,2004,57.63,94,71.44,42,6.94,31.58,41.52,83.77,40.95,70.16,62.56,38.21,83.94,63.72,56.70,71.38,64.30,80.50,68.22,89.73,79.14,,87.64,58.66,28.72,84.76
Kuwait,KWT,2003,57.85,94,71.09,42,6.94,31.58,41.66,87.30,41.87,70.29,62.56,38.21,83.94,63.75,56.51,70.35,64.30,80.50,67.91,88.29,78.98,,87.97,58.66,28.39,84.23
Kuwait,KWT,2002,57.26,94,70.42,42,6.94,31.58,41.66,87.20,41.84,70.39,62.56,37.69,83.94,63.65,58.93,61.42,64.30,80.50,66.29,85.62,78.84,,87.89,58.66,27.86,83.64
Kuwait,KWT,2001,56.54,95,70.45,42,6.94,31.58,41.66,86.99,41.79,51.01,62.56,36.66,83.94,58.54,52.47,79.62,64.30,80.78,69.29,85.37,78.71,,89.02,58.66,27.32,83.64
Kuwait,KWT,2000,58.16,91,70.47,41,6.94,31.58,41.66,86.99,41.79,70.39,62.56,36.66,83.94,63.39,52.47,79.62,64.30,80.78,69.29,85.84,78.59,,87.74,58.66,28.00,83.97
Kuwait,KWT,1999,58.03,89,70.89,38,6.94,31.58,42.33,88.14,42.25,70.60,64.89,36.66,83.94,64.02,52.60,73.61,64.30,80.78,67.82,85.86,78.46,,87.58,58.66,28.22,86.60
Kuwait,KWT,1998,58.05,88,71.26,34,6.94,31.58,42.33,88.14,42.25,70.83,64.89,36.66,83.94,64.08,52.60,73.61,64.30,80.78,67.82,87.33,78.33,,89.04,58.66,27.75,86.47
Kuwait,KWT,1997,57.62,88,71.13,34,6.94,31.58,42.33,88.14,42.25,70.83,64.89,36.15,83.94,63.95,53.68,67.85,64.30,80.78,66.65,87.91,78.19,,88.64,58.66,27.29,86.07
Kuwait,KWT,1996,57.63,88,71.32,34,6.94,31.58,42.33,88.14,42.25,70.42,64.89,36.66,83.94,63.98,53.68,67.85,64.30,80.78,66.65,88.37,78.04,,90.08,58.66,26.57,86.20
Kuwait,KWT,1995,57.62,89,70.72,34,6.94,31.58,42.33,88.14,42.25,70.29,64.89,36.66,83.94,63.95,53.68,67.85,64.30,80.78,66.65,88.50,77.88,,89.57,58.66,23.00,86.73
