Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Laos,LAO,2022,42.75,141,56.10,128,87.50,36.84,43.83,66.81,58.74,43.42,21.65,3.91,28.70,24.42,28.81,79.10,34.12,38.38,45.10,50.87,69.40,63.08,62.35,54.54,18.63,73.85
Laos,LAO,2021,42.75,140,56.10,129,87.50,36.84,43.83,66.81,58.74,43.42,21.65,3.91,28.70,24.42,28.81,79.10,34.12,38.38,45.10,50.87,69.40,63.08,62.35,54.54,18.63,73.85
Laos,LAO,2020,41.16,143,56.06,130,87.50,36.84,43.83,66.81,58.74,41.39,22.30,4.63,15.75,21.02,27.20,78.14,34.12,35.47,43.73,50.67,69.40,63.08,62.35,55.61,18.63,72.67
Laos,LAO,2019,42.93,142,56.77,128,87.50,36.84,42.47,75.44,60.56,41.52,22.82,4.02,34.72,25.77,26.95,74.85,32.28,35.81,42.47,50.85,68.84,63.08,62.35,60.42,19.29,72.54
Laos,LAO,2018,41.11,145,55.11,130,87.50,36.84,43.01,75.75,60.78,41.47,22.07,3.40,15.96,20.72,29.01,72.66,27.75,37.94,41.84,50.16,68.26,63.08,62.31,50.15,19.26,72.54
Laos,LAO,2017,41.31,143,56.45,127,87.50,36.84,42.74,75.55,60.66,41.47,21.68,2.78,15.96,20.47,32.47,72.42,25.84,40.45,42.80,49.35,67.64,69.63,62.13,50.15,19.59,76.68
Laos,LAO,2016,39.88,146,56.15,127,87.50,36.84,47.08,67.95,59.84,28.52,19.31,3.40,15.44,16.67,32.13,75.17,25.84,39.39,43.13,48.43,66.98,69.63,61.51,50.15,19.56,76.81
Laos,LAO,2015,39.34,147,55.64,129,87.50,31.58,47.63,67.33,58.51,28.04,19.31,3.40,15.44,16.55,31.40,75.35,25.84,39.30,42.97,47.49,66.27,69.63,60.72,50.15,19.33,75.89
Laos,LAO,2014,39.77,149,55.17,130,76.39,36.84,56.72,67.53,59.37,28.04,19.31,4.22,15.44,16.75,33.08,74.49,25.84,39.30,43.18,46.49,65.52,69.63,59.98,50.15,18.74,75.69
Laos,LAO,2013,38.24,151,54.34,129,76.39,31.58,56.72,67.53,58.05,28.04,19.31,4.22,15.44,16.75,28.80,65.76,25.84,39.30,39.93,45.44,64.73,69.63,58.83,49.86,17.89,73.98
Laos,LAO,2012,37.36,157,53.55,132,76.39,26.32,56.72,67.53,56.74,28.04,17.43,3.50,15.44,16.10,26.71,65.08,25.84,39.37,39.25,44.32,63.89,69.63,57.55,48.79,17.03,73.65
Laos,LAO,2011,37.03,157,53.00,131,76.39,26.32,56.72,67.53,56.74,28.04,17.43,3.40,15.44,16.08,24.84,63.22,25.84,39.21,38.28,43.20,63.01,71.03,56.07,48.79,16.42,72.47
Laos,LAO,2010,36.66,158,52.11,132,76.39,26.32,56.72,67.53,56.74,28.34,17.43,3.40,15.44,16.15,24.50,58.68,25.84,39.37,37.10,42.09,62.09,71.03,54.26,48.79,15.43,71.09
Laos,LAO,2009,37.07,157,51.20,132,76.39,31.58,56.72,67.53,58.05,28.14,17.00,2.68,15.44,15.82,22.92,61.19,25.84,39.37,37.33,40.91,61.14,71.03,52.33,48.79,14.84,69.38
Laos,LAO,2008,37.46,155,50.74,132,76.39,31.58,56.72,67.53,58.05,28.14,17.00,2.68,15.44,15.82,24.13,64.74,25.84,39.37,38.52,39.90,60.16,71.03,50.34,48.79,14.14,70.83
Laos,LAO,2007,35.27,157,49.93,135,55.56,31.58,56.72,67.53,52.85,28.14,17.00,2.16,15.44,15.69,23.10,60.82,25.84,39.37,37.28,38.85,59.15,71.03,48.89,48.54,13.63,69.38
Laos,LAO,2006,35.30,160,50.00,131,55.56,31.58,56.72,67.53,52.85,28.27,16.97,2.16,15.44,15.71,21.63,62.67,25.84,39.28,37.36,37.84,58.13,77.57,46.49,48.54,13.12,68.33
Laos,LAO,2005,34.45,159,49.05,132,55.56,31.58,56.72,67.53,52.85,28.55,16.74,2.16,15.44,15.72,19.52,54.44,25.84,39.36,34.79,36.64,57.09,77.57,44.09,48.54,12.77,66.62
Laos,LAO,2004,34.57,158,48.26,133,55.56,31.58,56.72,67.53,52.85,28.55,16.74,2.16,15.44,15.72,23.35,52.02,25.84,39.36,35.14,35.68,56.04,77.57,41.69,48.54,12.23,66.03
Laos,LAO,2003,33.81,159,47.37,135,55.56,31.58,56.72,67.53,52.85,28.55,16.74,2.16,15.44,15.72,26.75,39.44,25.84,39.36,32.85,34.85,54.99,77.57,38.97,48.54,11.79,64.85
Laos,LAO,2002,34.26,158,46.20,139,55.56,10.53,56.72,67.53,47.58,28.42,16.74,2.16,15.44,15.69,30.51,62.30,25.84,39.36,39.50,34.06,53.94,77.57,36.33,45.79,11.11,64.59
Laos,LAO,2001,33.57,156,44.77,142,55.56,10.53,56.72,67.53,47.58,27.81,15.65,2.16,15.44,15.27,32.40,52.69,26.95,39.36,37.85,33.30,52.88,72.20,33.60,45.79,10.54,65.11
Laos,LAO,2000,33.59,156,44.12,142,55.56,10.53,56.72,67.53,47.58,27.81,15.93,2.16,15.44,15.34,32.40,52.69,26.95,39.36,37.85,32.58,51.82,72.20,31.18,45.79,10.33,64.91
Laos,LAO,1999,34.23,155,43.58,146,55.56,10.53,56.72,67.53,47.58,27.81,15.51,1.85,15.44,15.15,32.99,60.51,26.95,39.36,39.95,31.86,50.74,72.20,28.36,45.79,10.14,65.97
