Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Lebanon,LBN,2022,48.00,123,68.72,70,47.22,52.63,34.06,36.11,42.50,80.05,66.37,73.33,57.93,69.42,19.78,34.15,35.68,38.65,32.07,54.64,89.53,79.44,78.07,76.74,34.29,68.33
Lebanon,LBN,2021,48.87,122,68.72,70,47.22,63.16,34.06,36.11,45.14,80.05,66.37,73.33,57.93,69.42,19.78,34.15,35.68,38.65,32.07,54.64,89.53,79.44,78.07,76.74,34.29,68.33
Lebanon,LBN,2020,50.09,121,68.89,66,47.22,63.16,34.06,36.11,45.14,79.41,72.27,74.97,61.97,72.16,21.63,31.63,37.56,41.12,32.98,56.49,89.53,79.44,78.07,77.03,34.29,67.41
Lebanon,LBN,2019,52.69,117,69.43,67,47.22,63.16,35.28,61.50,51.79,80.92,70.51,69.41,64.87,71.43,25.86,30.53,40.67,42.32,34.85,61.81,89.39,79.44,78.07,74.92,34.29,68.07
Lebanon,LBN,2018,54.65,111,69.40,66,47.22,68.42,35.55,70.76,55.49,82.10,72.52,69.62,64.25,72.12,27.71,31.41,42.87,43.36,36.34,63.10,89.29,79.44,77.96,74.92,34.07,67.02
Lebanon,LBN,2017,55.26,110,70.40,60,47.22,68.42,35.41,70.34,55.35,83.34,72.16,71.78,61.87,72.29,31.16,31.44,45.94,44.09,38.16,63.54,89.21,79.44,77.81,80.74,33.85,68.20
Lebanon,LBN,2016,55.07,107,69.22,63,47.22,63.16,35.69,70.45,54.13,83.40,76.26,75.59,59.38,73.66,31.39,31.61,40.45,46.20,37.41,63.66,89.15,79.44,77.13,74.50,32.27,68.40
Lebanon,LBN,2015,54.21,115,69.26,61,47.22,63.16,36.23,70.86,54.37,84.26,70.67,74.25,56.68,71.46,33.22,29.92,40.45,43.66,36.81,63.88,89.09,79.44,76.46,74.50,32.99,68.46
Lebanon,LBN,2014,54.41,112,70.60,57,47.22,63.16,33.38,72.22,53.99,84.05,72.28,75.80,56.68,72.20,32.56,30.01,40.45,45.13,37.04,64.56,89.02,79.44,76.46,82.21,33.77,68.73
Lebanon,LBN,2013,54.53,112,71.02,54,47.22,63.16,31.75,76.27,54.60,84.05,70.51,75.80,56.68,71.76,33.39,30.17,40.45,44.93,37.23,65.15,88.93,79.44,76.37,82.21,35.86,69.19
Lebanon,LBN,2012,54.49,110,71.05,53,47.22,63.16,33.38,75.34,54.77,83.41,71.09,78.06,56.68,72.31,34.76,30.68,40.45,39.61,36.38,65.65,88.79,79.44,75.50,82.21,36.38,69.38
Lebanon,LBN,2011,54.62,110,70.40,53,47.22,63.16,35.01,74.82,55.05,83.41,71.69,78.68,56.68,72.62,35.38,32.84,40.45,36.11,36.19,66.32,88.60,79.44,74.20,76.43,38.44,69.38
Lebanon,LBN,2010,53.81,108,70.32,54,47.22,57.89,34.74,75.55,53.85,82.68,71.55,76.93,56.68,71.96,35.20,31.49,40.45,35.38,35.63,67.05,88.32,79.44,73.77,76.43,37.97,69.25
Lebanon,LBN,2009,51.69,115,70.08,55,47.22,31.58,34.74,75.55,47.27,81.45,72.06,78.58,56.79,72.22,33.12,32.77,40.77,35.67,35.58,66.19,87.95,79.44,74.13,76.43,38.00,68.40
Lebanon,LBN,2008,50.51,118,69.65,56,47.22,31.58,34.74,75.55,47.27,80.38,68.45,76.62,56.79,70.56,33.99,26.40,39.50,34.89,33.70,64.61,87.49,79.44,75.08,76.43,37.28,67.21
Lebanon,LBN,2007,49.97,119,69.27,54,47.22,31.58,34.74,75.55,47.27,80.23,68.08,76.21,56.79,70.33,34.06,21.49,39.50,34.21,32.31,63.04,86.92,79.44,76.29,76.51,36.72,65.97
Lebanon,LBN,2006,50.30,116,68.54,54,47.22,31.58,34.74,75.55,47.27,80.23,68.09,74.15,56.79,69.81,34.03,27.87,39.50,33.89,33.82,61.46,86.27,79.44,77.42,76.51,33.94,64.72
Lebanon,LBN,2005,50.63,118,68.70,52,47.22,31.58,34.74,75.55,47.27,78.46,66.37,61.79,56.27,65.72,39.81,44.15,39.50,32.09,38.89,61.42,85.53,79.44,78.19,76.51,34.72,65.11
Lebanon,LBN,2004,51.44,113,68.73,51,47.22,52.63,34.74,75.55,52.53,76.47,60.83,54.58,53.99,61.47,38.64,49.95,39.50,33.18,40.32,61.44,84.73,79.44,78.78,76.51,34.72,65.51
Lebanon,LBN,2003,51.73,112,68.39,51,47.22,52.63,34.74,75.55,52.53,76.47,60.83,52.94,53.99,61.06,38.62,55.09,39.50,33.18,41.60,61.01,83.86,79.44,79.35,76.51,34.72,63.86
Lebanon,LBN,2002,52.03,110,68.42,48,47.22,52.63,34.74,75.55,52.53,76.47,60.83,52.94,53.99,61.06,40.15,57.21,39.50,33.18,42.51,61.30,82.96,79.44,79.89,76.51,34.72,64.13
