Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Liberia,LBR,2022,62.91,85,53.71,143,72.22,57.89,36.36,64.41,57.72,85.92,86.55,90.94,66.22,82.41,22.44,59.49,44.81,67.67,48.60,19.87,62.31,71.26,76.19,74.63,18.09,53.61
Liberia,LBR,2021,62.91,85,53.71,144,72.22,57.89,36.36,64.41,57.72,85.92,86.55,90.94,66.22,82.41,22.44,59.49,44.81,67.67,48.60,19.87,62.31,71.26,76.19,74.63,18.09,53.61
Liberia,LBR,2020,62.89,87,53.54,145,72.22,57.89,36.36,64.41,57.72,86.10,86.55,90.94,66.22,82.45,22.23,56.96,44.81,69.96,48.49,19.60,62.31,71.26,76.19,74.63,18.09,52.69
Liberia,LBR,2019,61.66,91,53.59,141,72.22,57.89,36.09,59.21,56.35,84.94,83.23,89.19,59.79,79.29,22.68,57.68,50.91,66.05,49.33,20.58,61.72,71.26,76.19,74.63,17.96,52.83
Liberia,LBR,2018,62.65,89,53.40,143,72.22,57.89,35.69,60.15,56.49,85.46,86.58,88.67,59.79,80.13,23.87,60.11,50.91,70.50,51.34,21.46,61.02,71.26,75.84,74.63,17.32,52.30
Liberia,LBR,2017,64.87,79,54.86,131,72.22,52.63,36.09,65.66,56.65,86.06,87.43,91.14,76.58,85.30,25.64,57.65,55.35,71.94,52.65,21.70,60.21,71.26,75.32,82.69,16.69,56.18
Liberia,LBR,2016,62.01,88,54.51,132,59.72,47.37,35.28,65.56,51.98,85.73,82.86,90.11,81.76,85.12,25.57,55.54,48.09,66.54,48.93,21.71,59.29,71.26,74.15,82.69,16.06,56.44
Liberia,LBR,2015,61.33,91,54.87,131,59.72,42.11,37.31,67.95,51.77,85.73,83.64,89.39,81.76,85.13,25.90,47.83,48.09,66.54,47.09,22.45,58.29,76.17,73.11,82.69,15.44,55.91
Liberia,LBR,2014,61.17,90,54.52,132,59.72,42.11,38.40,62.02,50.56,85.73,83.64,89.80,81.76,85.23,24.32,51.93,48.09,66.54,47.72,22.91,57.27,76.17,72.15,82.69,15.01,55.45
Liberia,LBR,2013,59.67,94,52.93,137,59.72,21.05,38.40,62.02,45.30,85.81,83.64,90.42,81.76,85.41,24.74,54.76,48.09,65.59,48.30,23.25,56.27,68.46,70.49,82.69,14.58,54.73
Liberia,LBR,2012,61.40,89,52.09,140,59.72,21.05,38.40,62.02,45.30,87.70,87.27,92.58,82.69,87.56,28.12,54.58,57.34,65.31,51.34,22.23,55.29,68.46,69.51,80.87,14.22,54.07
Liberia,LBR,2011,61.42,89,51.51,141,59.72,21.05,38.40,62.02,45.30,88.05,87.58,92.58,82.69,87.73,26.50,55.74,57.34,65.31,51.22,21.37,54.33,68.46,69.40,80.87,13.86,52.30
Liberia,LBR,2010,61.44,89,50.80,142,59.72,21.05,38.40,62.02,45.30,88.20,87.58,92.58,82.69,87.76,27.52,54.91,57.34,65.31,51.27,20.52,53.31,68.46,68.52,80.60,13.50,50.66
Liberia,LBR,2009,61.63,83,50.21,141,59.72,31.58,38.40,62.02,47.93,88.33,88.08,92.48,82.69,87.90,27.78,43.12,54.39,70.93,49.05,20.10,52.14,68.46,67.19,80.60,13.24,49.74
Liberia,LBR,2008,61.07,85,49.77,141,59.72,31.58,38.40,62.02,47.93,88.33,88.08,93.00,82.69,88.03,25.33,38.41,54.39,70.93,47.26,19.89,50.75,68.46,66.12,80.60,12.97,49.61
Liberia,LBR,2007,61.49,81,49.54,139,59.72,31.58,38.40,62.02,47.93,88.33,88.08,93.00,82.69,88.03,29.51,39.19,54.39,70.93,48.50,19.39,49.14,68.46,64.85,80.60,12.71,51.64
Liberia,LBR,2006,60.92,82,48.86,139,59.72,31.58,38.40,62.02,47.93,88.33,88.08,93.00,82.69,88.03,26.25,37.53,54.39,69.07,46.81,18.45,47.34,68.46,62.79,80.60,12.71,51.64
Liberia,LBR,2005,56.05,101,47.97,139,59.72,31.58,38.40,62.02,47.93,47.57,82.93,89.08,85.28,76.22,18.66,36.90,51.20,69.28,44.01,17.67,45.46,68.46,60.75,80.60,12.49,50.39
Liberia,LBR,2004,54.37,104,47.40,137,59.72,31.58,38.40,62.02,47.93,42.88,79.76,79.40,86.11,72.04,17.24,36.75,51.20,67.41,43.15,17.21,43.65,68.46,58.57,80.76,12.68,50.46
Liberia,LBR,2003,38.65,151,46.03,142,59.72,31.58,38.40,62.02,47.93,45.82,29.22,45.21,59.27,44.88,19.22,20.67,25.93,26.76,23.15,17.08,42.03,68.46,55.58,76.42,12.65,50.00
Liberia,LBR,2002,40.41,146,46.54,137,59.72,31.58,38.40,62.02,47.93,74.81,26.23,40.58,59.27,50.22,19.50,20.06,25.93,26.76,23.06,23.86,40.67,68.46,52.77,76.42,12.61,50.99
Liberia,LBR,2001,40.69,144,45.84,139,59.72,31.58,38.40,62.02,47.93,74.81,28.27,40.58,59.27,50.73,16.09,24.85,25.93,26.76,23.41,23.62,39.57,68.46,49.97,76.42,12.57,50.26
Liberia,LBR,2000,40.67,145,45.09,140,59.72,31.58,38.40,62.02,47.93,74.81,28.27,40.37,59.27,50.68,16.09,24.85,25.93,26.76,23.41,23.76,38.63,68.46,46.42,76.42,12.52,49.41
Liberia,LBR,1999,40.68,141,44.68,143,59.72,31.58,38.40,62.02,47.93,74.81,28.27,41.71,59.27,51.02,11.72,28.85,25.93,25.90,23.10,23.76,37.70,68.46,42.89,76.42,9.95,53.61
Liberia,LBR,1998,40.84,141,43.95,143,59.72,31.58,38.40,62.02,47.93,74.81,28.62,43.05,59.27,51.44,11.72,28.85,25.93,26.09,23.15,23.76,36.62,68.46,38.53,77.02,9.95,53.35
Liberia,LBR,1997,39.05,141,43.30,143,59.72,31.58,38.40,62.02,47.93,67.72,28.62,43.05,59.27,49.67,12.25,15.00,25.93,25.08,19.57,23.76,35.32,68.46,35.21,77.02,9.95,53.35
Liberia,LBR,1996,37.95,146,42.58,143,59.72,31.58,38.40,62.02,47.93,36.87,54.05,38.00,51.50,45.11,12.25,15.00,23.09,32.93,20.82,23.76,33.83,68.46,31.44,77.02,9.95,53.61
Liberia,LBR,1995,40.33,140,42.08,142,59.72,31.58,38.40,62.02,47.93,36.87,55.16,49.12,51.50,48.16,12.25,15.00,23.09,49.19,24.88,23.76,32.25,68.46,29.11,77.02,9.95,54.01
