Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Libya,LBY,2022,33.53,159,61.18,108,52.78,5.26,24.69,31.95,28.67,69.16,23.82,61.48,65.49,54.99,11.45,16.47,6.46,33.37,16.94,68.72,78.47,,83.23,39.42,34.04,63.21
Libya,LBY,2021,33.53,159,61.18,108,52.78,5.26,24.69,31.95,28.67,69.16,23.82,61.48,65.49,54.99,11.45,16.47,6.46,33.37,16.94,68.72,78.47,,83.23,39.42,34.04,63.21
Libya,LBY,2020,33.70,160,60.18,115,52.78,5.26,24.69,31.95,28.67,69.16,23.18,60.25,68.91,55.38,10.25,14.56,6.46,37.00,17.07,64.03,78.47,,83.23,39.43,34.04,61.89
Libya,LBY,2019,31.85,161,60.84,113,52.78,5.26,24.97,10.41,23.35,69.58,22.80,59.22,71.92,55.88,11.23,12.40,6.46,35.21,16.32,69.20,78.16,,83.23,39.43,34.04,60.97
Libya,LBY,2018,32.58,160,61.24,108,52.78,5.26,25.37,10.61,23.51,69.58,22.62,61.17,71.92,56.32,12.69,14.90,6.46,37.61,17.92,71.61,77.81,,84.08,39.43,33.68,60.84
Libya,LBY,2017,33.77,159,61.03,108,52.78,5.26,25.51,10.61,23.54,68.59,22.26,65.40,75.85,58.03,13.22,16.56,8.53,40.63,19.74,70.50,77.42,,84.82,39.43,33.68,60.32
Libya,LBY,2016,36.82,154,60.44,110,52.78,5.26,20.08,45.68,30.95,70.59,24.85,67.35,71.19,58.50,11.50,18.16,13.10,41.33,21.02,65.67,77.03,,85.33,41.17,32.86,60.58
Libya,LBY,2015,37.31,152,61.02,109,52.78,5.26,20.22,45.68,30.98,70.59,25.29,67.35,71.19,58.61,14.22,19.92,13.10,42.12,22.34,66.15,76.68,,85.75,41.17,33.18,63.21
Libya,LBY,2014,37.39,152,61.49,104,52.78,5.26,29.58,45.06,33.17,69.24,27.08,64.98,64.25,56.39,14.08,16.74,13.10,46.52,22.61,66.46,76.42,,86.07,39.22,33.50,67.28
Libya,LBY,2013,43.15,142,62.96,96,52.78,10.53,29.72,55.67,37.17,86.73,29.64,69.82,71.09,64.32,17.00,27.06,20.61,47.14,27.95,71.30,76.28,,86.38,37.08,33.82,72.93
Libya,LBY,2012,44.73,137,64.85,85,52.78,10.53,29.72,55.67,37.17,80.62,35.27,78.68,75.54,67.53,18.93,32.26,27.22,39.49,29.47,74.97,76.27,,86.48,40.88,34.14,76.35
Libya,LBY,2011,37.32,155,61.14,102,52.78,10.53,29.72,55.67,37.17,35.41,23.88,48.30,89.33,49.23,22.18,38.33,14.32,27.36,25.55,63.82,76.37,,86.19,40.87,34.96,64.65
Libya,LBY,2010,25.95,165,64.69,75,27.78,10.53,29.72,55.67,30.92,24.91,20.43,3.40,19.59,17.08,21.47,64.96,20.46,12.49,29.84,76.58,76.54,,86.26,37.78,35.79,75.16
Libya,LBY,2009,29.03,165,64.09,78,27.78,31.58,29.72,55.67,36.19,24.91,20.43,3.40,19.59,17.08,22.09,81.24,20.46,11.52,33.83,75.88,76.69,,86.05,37.78,35.61,72.54
Libya,LBY,2008,29.17,165,65.84,65,27.78,31.58,29.72,55.67,36.19,24.91,20.43,3.40,19.59,17.08,24.29,80.77,20.46,11.52,34.26,76.91,76.78,,86.81,37.78,35.39,81.34
Libya,LBY,2007,28.95,164,64.97,66,27.78,31.58,29.72,55.67,36.19,24.91,20.79,3.40,19.59,17.17,22.47,79.52,20.46,11.52,33.49,77.19,76.74,,87.13,37.78,35.14,75.82
Libya,LBY,2006,28.34,164,64.49,67,27.78,31.58,29.72,55.67,36.19,24.91,20.23,3.40,19.59,17.03,23.54,71.64,20.46,11.52,31.79,76.37,76.57,,88.54,37.78,34.85,72.80
Libya,LBY,2005,26.87,166,63.92,65,27.78,10.53,29.72,55.67,30.92,24.91,20.23,3.40,19.59,17.03,25.21,73.47,20.46,11.52,32.66,75.51,76.27,,88.73,37.78,34.54,70.70
Libya,LBY,2004,26.92,166,62.84,71,27.78,10.53,29.72,55.67,30.92,24.91,20.23,3.40,19.59,17.03,27.70,71.59,20.46,11.52,32.82,73.76,75.88,,88.64,37.78,34.20,66.75
Libya,LBY,2003,26.46,167,62.07,74,27.78,10.53,29.72,55.67,30.92,24.91,20.23,2.99,19.59,16.93,27.37,66.84,20.46,11.52,31.54,73.26,75.46,,87.94,37.78,32.79,65.18
Libya,LBY,2002,26.23,166,60.98,75,27.78,10.53,29.72,55.67,30.92,24.91,20.23,2.99,19.59,16.93,25.67,62.46,20.46,14.80,30.85,71.35,75.04,,87.67,37.78,32.12,61.89
Libya,LBY,2001,25.94,164,61.20,73,27.78,10.53,29.72,55.67,30.92,24.91,20.23,2.99,19.59,16.93,26.23,58.43,20.46,14.80,29.98,71.81,74.66,,87.81,37.78,31.65,63.47
Libya,LBY,2000,25.94,164,61.38,72,27.78,10.53,29.72,55.67,30.92,24.91,20.23,2.99,19.59,16.93,26.23,58.43,20.46,14.80,29.98,72.42,74.31,,87.84,37.78,30.36,65.57
Libya,LBY,1999,25.15,162,61.04,71,27.78,10.53,29.72,55.67,30.92,24.91,20.23,2.99,19.59,16.93,27.08,48.00,20.46,14.80,27.59,72.04,74.00,,87.79,37.78,29.05,65.57
Libya,LBY,1998,25.15,163,60.79,70,27.78,10.53,29.72,55.67,30.92,24.91,20.23,2.99,19.59,16.93,27.08,48.00,20.46,14.80,27.59,72.04,73.70,,87.89,37.78,27.76,65.57
Libya,LBY,1997,24.92,164,60.57,69,27.78,10.53,29.72,55.67,30.92,24.91,20.23,2.99,19.59,16.93,28.00,44.39,20.46,14.80,26.91,72.04,73.38,,88.13,37.78,26.49,65.57
Libya,LBY,1996,24.92,164,60.32,67,27.78,10.53,29.72,55.67,30.92,24.91,20.23,2.99,19.59,16.93,28.00,44.39,20.46,14.80,26.91,72.04,73.04,,88.22,37.78,25.24,65.57
Libya,LBY,1995,24.92,163,59.97,67,27.78,10.53,29.72,55.67,30.92,24.91,20.23,2.99,19.59,16.93,28.00,44.39,20.46,14.80,26.91,72.04,72.66,,87.73,37.78,24.02,65.57
