Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
St. Lucia,LCA,2022,46.35,132,60.40,114,76.39,0.00,,0.00,25.46,,,,,,52.79,81.68,,,67.24,59.56,84.56,34.11,,61.98,,61.76
St. Lucia,LCA,2021,46.35,132,60.40,114,76.39,0.00,,0.00,25.46,,,,,,52.79,81.68,,,67.24,59.56,84.56,34.11,,61.98,,61.76
St. Lucia,LCA,2020,47.39,130,60.18,116,76.39,0.00,,0.00,25.46,,,,,,56.69,81.92,,,69.31,58.49,84.56,34.11,,61.98,,61.76
St. Lucia,LCA,2019,47.69,130,60.97,112,76.39,0.00,,0.00,25.46,,,,,,56.94,82.88,,,69.91,62.67,84.30,34.11,,61.98,,61.76
St. Lucia,LCA,2018,48.10,125,60.93,111,76.39,0.00,,0.00,25.46,,,,,,56.69,84.78,,,70.73,62.77,84.03,34.11,,61.98,,61.76
St. Lucia,LCA,2017,48.30,127,60.74,109,76.39,0.00,,0.00,25.46,,,,,,57.84,84.43,,,71.13,62.35,83.75,34.11,,61.98,,61.50
St. Lucia,LCA,2016,47.92,126,60.31,111,76.39,0.00,,0.00,25.46,,,,,,55.73,85.02,,,70.38,61.82,83.46,34.11,,61.98,,60.18
St. Lucia,LCA,2015,46.68,128,64.08,93,76.39,0.00,,0.00,25.46,,,,,,54.13,81.68,,,67.90,61.26,83.17,54.21,,61.98,,59.79
St. Lucia,LCA,2014,46.21,129,63.96,92,76.39,0.00,,0.00,25.46,,,,,,53.00,80.92,,,66.96,61.59,82.87,54.21,,61.98,,59.13
St. Lucia,LCA,2013,49.99,124,63.96,93,76.39,0.00,,0.00,25.46,,,,,,67.35,81.67,,,74.51,61.36,82.59,54.21,,61.98,,59.66
St. Lucia,LCA,2012,50.01,122,63.91,92,76.39,0.00,,0.00,25.46,,,,,,66.63,82.49,,,74.56,62.03,82.31,54.21,,61.98,,59.00
St. Lucia,LCA,2011,51.00,120,63.80,89,76.39,0.00,,0.00,25.46,,,,,,71.49,81.58,,,76.54,62.18,82.04,54.21,,61.98,,58.61
St. Lucia,LCA,2010,50.39,120,63.59,87,76.39,0.00,,0.00,25.46,,,,,,70.26,80.39,,,75.33,61.37,81.78,54.21,,61.98,,58.61
St. Lucia,LCA,2009,50.25,119,63.36,84,76.39,0.00,,0.00,25.46,,,,,,71.80,78.28,,,75.04,61.27,81.52,54.21,,61.98,,57.82
St. Lucia,LCA,2008,49.59,120,63.32,81,76.39,0.00,,0.00,25.46,,,,,,70.08,77.37,,,73.72,62.02,81.25,54.21,,61.98,,57.16
St. Lucia,LCA,2007,47.81,123,63.02,82,69.44,0.00,,0.00,23.15,,,,,,68.06,76.90,,,72.48,61.41,80.98,54.21,,61.98,,56.50
St. Lucia,LCA,2006,49.15,120,63.08,75,69.44,0.00,,0.00,23.15,,,,,,68.50,81.81,,,75.16,61.35,80.70,54.21,,61.98,,57.16
St. Lucia,LCA,2005,50.77,117,62.66,72,69.44,0.00,,0.00,23.15,,,,,,72.15,84.64,,,78.40,60.48,80.41,54.21,,61.98,,56.24
St. Lucia,LCA,2004,47.34,123,62.63,73,69.44,0.00,,0.00,23.15,,,,,,54.01,89.06,,,71.54,60.73,80.12,54.21,,61.98,,56.11
St. Lucia,LCA,2003,47.10,124,62.27,71,69.44,0.00,,0.00,23.15,,,,,,54.01,88.08,,,71.05,59.61,79.83,54.21,,61.98,,55.72
St. Lucia,LCA,2002,43.01,140,62.08,68,69.44,0.00,,0.00,23.15,,,,,,54.01,71.74,,,62.88,58.99,79.53,54.21,,61.98,,55.72
St. Lucia,LCA,2001,47.37,122,61.90,68,69.44,0.00,,0.00,23.15,,,,,,54.01,89.17,,,71.59,59.05,79.23,54.21,,61.98,,55.06
St. Lucia,LCA,2000,46.44,125,61.79,69,63.89,0.00,,0.00,21.30,,,,,,54.01,89.17,,,71.59,59.84,78.92,54.21,,61.98,,54.01
St. Lucia,LCA,1999,45.49,126,61.76,65,63.89,0.00,,0.00,21.30,,,,,,54.01,85.36,,,69.69,60.03,78.59,54.21,,61.98,,54.01
St. Lucia,LCA,1998,42.02,134,61.59,65,63.89,0.00,,0.00,21.30,,,,,,54.01,71.48,,,62.75,59.79,78.24,54.21,,61.98,,53.75
St. Lucia,LCA,1997,45.49,125,61.14,64,63.89,0.00,,0.00,21.30,,,,,,54.01,85.36,,,69.69,58.94,77.87,54.21,,61.98,,52.69
St. Lucia,LCA,1996,45.49,126,60.77,64,63.89,0.00,,0.00,21.30,,,,,,54.01,85.36,,,69.69,59.32,77.47,54.21,,61.98,,50.85
St. Lucia,LCA,1995,45.49,125,60.34,65,63.89,0.00,,0.00,21.30,,,,,,54.01,85.36,,,69.69,59.04,77.06,54.21,,61.98,,49.41
