Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Sri Lanka,LKA,2022,54.62,108,68.09,75,51.39,42.11,45.59,56.61,48.92,87.95,61.35,61.89,30.98,60.54,42.35,57.96,41.16,76.15,54.40,59.66,86.05,61.92,78.34,68.18,53.79,68.73
Sri Lanka,LKA,2021,54.62,109,68.09,75,51.39,42.11,45.59,56.61,48.92,87.95,61.35,61.89,30.98,60.54,42.35,57.96,41.16,76.15,54.40,59.66,86.05,61.92,78.34,68.18,53.79,68.73
Sri Lanka,LKA,2020,55.34,108,67.81,75,51.39,42.11,45.59,56.61,48.92,87.33,64.83,70.34,30.67,63.29,43.02,62.67,44.59,64.91,53.80,59.21,86.05,61.92,78.34,68.22,53.79,67.15
Sri Lanka,LKA,2019,61.03,94,67.93,74,51.39,42.11,46.68,56.92,49.27,83.97,81.67,87.85,50.05,75.89,42.83,59.99,47.78,81.07,57.92,59.96,85.75,61.92,78.34,68.96,52.80,67.81
Sri Lanka,LKA,2018,62.23,92,69.53,65,51.39,42.11,46.81,56.92,49.31,86.56,85.61,83.93,53.68,77.45,40.92,61.45,56.28,81.12,59.94,59.66,85.44,61.92,78.40,83.00,52.74,65.57
Sri Lanka,LKA,2017,60.86,90,67.35,78,51.39,36.84,46.81,57.65,48.17,86.56,80.35,83.93,45.91,74.19,40.35,62.95,56.62,80.99,60.23,59.27,85.13,61.92,77.93,70.73,51.66,64.78
Sri Lanka,LKA,2016,61.16,91,67.19,74,51.39,36.84,47.08,58.06,48.34,88.46,81.07,81.98,42.59,73.52,43.67,64.31,54.90,83.62,61.63,58.84,84.82,61.92,77.93,71.09,51.01,64.72
Sri Lanka,LKA,2015,59.44,95,67.10,73,51.39,31.58,47.63,57.54,47.03,87.65,74.71,78.99,41.04,70.60,43.17,66.22,53.87,79.43,60.67,58.25,84.51,63.32,77.85,70.68,50.97,64.13
Sri Lanka,LKA,2014,51.63,119,66.20,79,51.39,42.11,40.71,55.57,47.44,83.30,62.36,54.17,26.01,56.46,43.84,57.70,43.27,59.13,50.98,57.53,84.19,63.32,77.16,66.79,50.92,63.47
Sri Lanka,LKA,2013,51.79,118,65.90,80,51.39,42.11,39.48,68.47,50.36,83.30,61.03,54.58,26.01,56.23,42.87,51.98,43.27,56.93,48.76,56.83,83.87,63.32,76.78,67.22,50.88,62.42
Sri Lanka,LKA,2012,49.83,123,65.58,80,51.39,31.58,41.52,69.72,48.55,79.38,59.14,51.08,26.01,53.90,42.24,49.87,41.16,54.83,47.02,56.37,83.54,63.32,75.48,68.53,49.81,62.02
Sri Lanka,LKA,2011,49.79,123,66.03,72,51.39,31.58,42.20,70.03,48.80,79.38,57.99,50.46,26.01,53.46,41.40,49.72,41.16,56.12,47.10,54.81,83.20,69.39,74.78,69.59,49.53,60.91
Sri Lanka,LKA,2010,47.91,122,65.47,68,51.39,15.79,42.06,70.14,44.84,79.28,57.99,49.54,26.01,53.20,40.21,45.30,41.16,56.12,45.70,53.48,82.87,69.39,74.83,69.59,48.90,59.20
Sri Lanka,LKA,2009,46.74,128,64.48,74,51.39,21.05,41.66,69.93,46.01,76.86,47.21,46.45,27.67,49.55,40.99,37.24,41.51,58.91,44.66,52.21,82.59,69.39,74.73,69.93,48.25,54.27
Sri Lanka,LKA,2008,47.24,126,63.15,84,51.39,31.58,40.30,70.76,48.51,76.86,50.20,46.45,27.67,50.29,43.34,27.98,41.51,58.91,42.93,51.71,82.35,60.98,74.71,69.93,47.36,54.99
Sri Lanka,LKA,2007,47.83,122,63.03,79,51.39,31.58,41.11,72.11,49.05,77.25,50.20,48.30,27.67,50.85,44.62,28.93,41.51,59.27,43.58,50.80,82.12,60.98,75.33,69.93,46.98,55.06
Sri Lanka,LKA,2006,48.50,124,62.83,78,51.39,31.58,41.38,71.49,48.96,77.14,52.47,49.33,27.67,51.65,43.16,35.61,41.51,59.27,44.89,49.75,81.87,60.98,75.25,71.01,46.59,54.34
Sri Lanka,LKA,2005,52.18,110,62.95,70,51.39,52.63,39.89,70.24,53.54,81.47,56.69,55.82,27.67,55.41,39.96,41.06,48.34,61.04,47.60,48.56,81.48,59.81,75.41,74.58,46.20,54.60
Sri Lanka,LKA,2004,53.92,105,62.74,72,51.39,52.63,37.31,65.76,51.77,86.37,57.27,65.81,30.78,60.06,40.61,43.93,54.12,61.04,49.93,47.61,80.82,59.81,76.25,74.58,45.81,54.27
Sri Lanka,LKA,2003,54.40,104,62.35,69,51.39,52.63,37.72,69.72,52.86,87.39,57.27,66.12,30.78,60.39,41.17,47.52,54.12,57.02,49.96,46.81,79.81,59.81,76.19,74.58,45.42,53.81
Sri Lanka,LKA,2002,54.74,99,62.02,69,51.39,52.63,37.31,67.95,52.32,87.39,57.27,66.12,30.78,60.39,43.80,48.65,54.12,59.48,51.51,45.92,78.48,59.81,76.89,74.58,45.04,53.42
Sri Lanka,LKA,2001,52.60,108,63.24,62,51.39,52.63,41.38,68.05,53.36,85.76,57.27,63.23,30.78,59.26,41.24,25.84,54.12,59.48,45.17,45.36,76.89,71.03,76.47,74.58,44.64,53.75
Sri Lanka,LKA,2000,52.44,109,62.89,61,51.39,52.63,40.30,67.64,52.99,85.63,57.27,63.23,30.57,59.18,41.24,25.84,54.12,59.48,45.17,45.77,75.21,71.03,75.37,74.58,44.05,54.20
Sri Lanka,LKA,1999,53.94,100,61.71,67,51.39,52.63,47.63,65.66,54.33,87.70,57.27,65.09,30.57,60.16,41.33,34.37,54.12,59.48,47.33,44.83,73.66,71.03,75.51,74.58,42.69,49.67
