Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Lesotho,LSO,2022,67.09,70,51.21,155,70.83,57.89,49.53,66.49,61.19,86.20,78.82,84.86,75.65,81.38,34.05,59.95,63.56,77.21,58.69,29.72,44.42,48.83,58.34,83.18,25.01,68.99
Lesotho,LSO,2021,67.09,70,51.21,155,70.83,57.89,49.53,66.49,61.19,86.20,78.82,84.86,75.65,81.38,34.05,59.95,63.56,77.21,58.69,29.72,44.42,48.83,58.34,83.18,25.01,68.99
Lesotho,LSO,2020,66.90,69,51.93,153,70.83,57.89,49.53,66.49,61.19,86.69,77.78,85.89,75.75,81.53,35.99,59.28,63.56,73.06,57.97,29.68,44.42,48.83,58.34,89.85,25.01,67.41
Lesotho,LSO,2019,66.00,73,52.12,153,70.83,57.89,48.58,68.37,61.42,86.36,70.94,85.48,79.48,80.57,36.97,55.86,63.56,67.65,56.01,31.24,43.48,48.83,58.34,91.31,25.01,66.62
Lesotho,LSO,2018,64.61,83,50.95,158,70.83,57.89,47.63,68.68,61.26,84.20,72.94,83.32,68.29,77.19,36.64,60.78,61.90,62.26,55.39,30.95,42.31,48.83,57.29,86.84,24.73,65.70
Lesotho,LSO,2017,63.67,86,50.46,158,70.83,52.63,51.56,68.47,60.87,79.89,64.78,80.43,64.35,72.36,37.55,60.61,60.82,72.13,57.78,31.32,40.89,48.83,55.89,81.90,24.44,69.97
Lesotho,LSO,2016,63.76,81,48.51,163,70.83,52.63,51.83,70.55,61.46,84.30,63.38,79.20,64.66,72.89,38.07,59.60,61.90,68.20,56.94,32.04,39.24,33.18,53.92,87.38,23.73,70.11
Lesotho,LSO,2015,64.60,78,47.82,164,70.83,47.37,54.55,70.14,60.72,84.45,67.26,82.29,64.66,74.67,40.12,58.15,62.90,72.44,58.40,31.54,37.33,33.18,51.72,87.38,23.04,70.57
Lesotho,LSO,2014,66.20,72,47.20,164,70.83,52.63,48.58,70.14,60.54,85.69,78.51,83.21,69.02,79.11,43.23,57.65,61.82,73.08,58.95,31.12,35.19,33.18,50.40,87.38,22.77,70.37
Lesotho,LSO,2013,66.42,69,46.63,165,70.83,47.37,46.54,65.87,57.65,85.69,77.73,83.73,69.02,79.04,45.54,71.24,61.82,71.65,62.56,30.95,32.90,33.18,49.51,87.38,22.39,70.11
