Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Lithuania,LTU,2022,84.62,22,79.33,34,100.00,73.68,76.12,86.68,84.12,96.23,91.33,91.97,97.41,94.23,67.59,80.90,61.25,92.24,75.49,79.63,81.92,71.26,84.39,79.34,77.57,81.21
Lithuania,LTU,2021,84.62,22,79.33,34,100.00,73.68,76.12,86.68,84.12,96.23,91.33,91.97,97.41,94.23,67.59,80.90,61.25,92.24,75.49,79.63,81.92,71.26,84.39,79.34,77.57,81.21
Lithuania,LTU,2020,85.72,18,79.94,33,100.00,84.21,76.12,86.68,86.75,97.33,94.91,91.66,96.58,95.12,66.99,83.18,61.25,89.71,75.28,78.75,81.92,71.26,84.39,85.93,77.57,79.76
Lithuania,LTU,2019,85.47,22,80.26,33,100.00,84.21,75.31,90.32,87.46,97.51,96.30,93.00,92.75,94.89,65.60,80.18,61.25,89.17,74.05,78.78,84.45,71.26,84.39,85.93,76.97,80.03
Lithuania,LTU,2018,85.13,22,79.44,33,100.00,84.21,75.31,89.07,87.15,96.78,96.30,93.00,92.12,94.55,63.59,79.40,61.25,90.59,73.71,77.93,83.32,70.33,84.64,85.93,77.72,76.22
Lithuania,LTU,2017,84.02,26,78.68,35,100.00,73.68,73.68,88.24,83.90,97.18,96.30,91.25,95.96,95.17,63.16,80.10,57.69,91.01,72.99,77.05,82.95,66.59,84.95,85.93,77.43,75.89
Lithuania,LTU,2016,85.80,22,77.44,36,100.00,84.21,73.13,87.30,86.16,97.04,96.30,95.06,95.96,96.09,66.04,81.16,62.80,90.62,75.16,76.04,81.44,64.02,82.50,85.93,76.29,75.89
Lithuania,LTU,2015,86.18,22,78.29,33,100.00,84.21,73.41,86.78,86.10,97.53,94.86,95.37,94.51,95.57,66.15,79.78,71.69,89.83,76.86,75.37,80.79,66.36,80.22,94.52,75.16,75.62
Lithuania,LTU,2014,85.50,22,78.04,33,100.00,84.21,72.59,85.02,85.45,97.37,94.86,94.75,94.51,95.37,63.38,79.42,71.69,88.20,75.67,74.84,81.15,65.65,79.21,94.52,74.34,76.54
Lithuania,LTU,2013,85.23,23,78.10,33,100.00,84.21,71.78,80.65,84.16,96.94,94.86,95.67,94.51,95.50,60.29,83.92,71.69,88.20,76.03,74.05,80.03,71.26,76.96,94.52,73.73,76.15
Lithuania,LTU,2012,85.02,23,77.82,32,100.00,84.21,71.64,80.54,84.10,97.24,96.25,96.81,94.51,96.20,59.93,80.31,71.69,87.15,74.77,73.24,79.93,71.73,76.03,94.52,73.89,75.43
Lithuania,LTU,2011,84.98,23,78.42,32,100.00,84.21,72.59,81.89,84.67,97.81,96.25,96.81,94.51,96.34,57.84,77.98,71.69,88.13,73.91,72.32,79.37,77.80,74.98,94.52,74.74,75.16
Lithuania,LTU,2010,84.84,23,77.35,33,100.00,78.95,72.32,82.21,83.37,97.81,96.25,97.12,94.51,96.42,58.85,78.87,71.69,89.49,74.73,70.86,78.82,75.23,74.60,94.52,73.78,73.65
Lithuania,LTU,2009,83.88,25,75.81,36,100.00,73.68,71.64,82.52,81.96,97.45,96.25,96.91,94.51,96.28,56.68,77.18,71.69,88.03,73.40,70.19,78.16,66.82,75.13,94.52,73.16,72.67
Lithuania,LTU,2008,84.17,24,76.27,35,100.00,73.68,72.86,85.43,82.99,96.50,96.25,96.50,94.51,95.94,54.07,79.51,71.69,89.08,73.59,72.88,76.10,70.33,73.37,94.52,72.54,74.18
Lithuania,LTU,2007,84.09,24,75.85,35,94.44,73.68,75.98,86.47,82.65,96.66,94.91,96.50,94.51,95.64,54.94,80.95,71.69,88.34,73.98,72.23,74.40,72.43,72.89,94.52,71.58,72.93
Lithuania,LTU,2006,84.10,23,75.56,36,94.44,73.68,74.76,86.26,82.29,96.66,94.08,96.50,94.51,95.44,56.17,82.03,71.03,89.05,74.57,70.12,74.69,73.36,74.09,94.52,70.71,71.42
Lithuania,LTU,2005,83.85,23,73.78,37,94.44,73.68,73.00,86.58,81.93,96.66,93.94,96.29,95.34,95.56,58.36,80.17,68.90,88.88,74.08,68.54,75.06,71.26,75.28,87.16,68.54,70.63
Lithuania,LTU,2004,83.57,23,72.94,38,94.44,73.68,67.03,88.87,81.01,96.29,93.48,96.29,95.34,95.35,58.37,79.90,70.04,89.06,74.34,66.91,76.38,67.29,77.09,87.16,66.07,69.71
Lithuania,LTU,2003,82.30,26,72.47,38,73.61,73.68,67.98,89.07,76.09,96.86,93.48,94.85,95.34,95.13,58.58,85.66,72.36,86.08,75.67,65.56,76.57,67.29,77.21,87.16,64.61,68.92
Lithuania,LTU,2002,81.28,29,71.60,40,73.61,73.68,60.11,89.80,74.30,96.91,93.48,94.23,95.34,94.99,54.48,82.48,72.36,88.87,74.54,63.60,76.01,67.29,77.49,87.16,61.52,68.13
Lithuania,LTU,2001,79.85,31,70.92,41,68.06,73.68,59.16,90.11,72.75,96.91,93.48,94.23,95.34,94.99,52.27,73.07,72.36,89.52,71.80,62.28,75.82,67.29,77.34,87.16,58.59,68.00
Lithuania,LTU,2000,79.65,32,70.37,42,68.06,73.68,58.21,89.18,72.28,96.73,93.48,94.54,95.44,95.05,52.27,73.07,72.36,88.82,71.63,60.99,76.49,67.29,78.41,87.16,55.44,66.82
Lithuania,LTU,1999,79.06,32,69.83,42,61.11,73.68,58.21,89.18,70.55,97.17,92.93,94.54,95.44,95.02,53.64,73.09,72.36,87.35,71.61,60.21,75.65,67.29,77.64,87.16,52.37,68.46
Lithuania,LTU,1998,79.01,32,69.19,43,61.11,73.68,58.21,89.18,70.55,97.17,92.93,94.23,95.54,94.97,53.64,73.09,72.36,87.00,71.52,60.29,75.00,67.29,76.23,87.16,49.75,68.59
Lithuania,LTU,1997,79.50,31,68.39,44,61.11,73.68,58.21,89.18,70.55,97.48,92.93,94.23,95.54,95.04,57.24,75.01,72.36,87.00,72.90,58.86,74.42,67.29,75.34,87.16,47.11,68.59
Lithuania,LTU,1996,77.74,32,67.26,45,61.11,52.63,58.21,89.18,65.28,97.11,92.93,94.23,95.54,94.95,57.24,75.01,72.36,87.33,72.99,57.29,72.92,67.29,72.94,87.16,44.37,68.86
Lithuania,LTU,1995,77.93,32,66.13,46,61.11,52.63,57.94,91.36,65.76,97.42,92.93,94.23,95.54,95.03,57.24,75.01,72.36,87.33,72.99,56.25,70.87,67.29,70.19,87.16,42.03,69.12
