Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Luxembourg,LUX,2022,91.68,5,87.48,13,100.00,100.00,89.69,81.06,92.69,98.30,91.92,97.32,93.78,95.33,86.04,88.82,85.74,87.46,87.01,99.70,94.64,73.83,95.82,85.78,66.01,96.58
Luxembourg,LUX,2021,91.68,4,87.48,13,100.00,100.00,89.69,81.06,92.69,98.30,91.92,97.32,93.78,95.33,86.04,88.82,85.74,87.46,87.01,99.70,94.64,73.83,95.82,85.78,66.01,96.58
Luxembourg,LUX,2020,91.83,4,87.30,13,100.00,100.00,89.69,81.06,92.69,98.30,90.65,97.32,92.12,94.60,89.30,89.31,85.74,88.46,88.20,98.75,94.64,73.83,95.82,85.73,66.01,96.32
Luxembourg,LUX,2019,92.49,4,87.63,14,100.00,100.00,88.74,85.33,93.52,98.30,96.00,97.32,92.12,95.94,88.83,91.71,85.74,85.78,88.01,99.37,96.31,73.83,95.82,85.73,66.01,96.32
Luxembourg,LUX,2018,92.60,4,87.07,14,100.00,100.00,88.60,86.68,93.82,98.27,96.60,97.53,92.12,96.13,88.98,91.98,85.74,84.74,87.86,99.14,95.67,71.03,96.02,85.73,64.66,97.24
Luxembourg,LUX,2017,92.39,6,87.15,14,100.00,100.00,89.42,86.16,93.89,98.27,96.60,97.53,92.12,96.13,86.87,91.24,85.74,84.74,87.15,99.13,95.30,73.13,96.15,85.73,63.51,97.11
Luxembourg,LUX,2016,92.53,5,88.38,11,100.00,100.00,89.69,84.29,93.49,98.27,96.60,97.53,92.12,96.13,88.21,93.13,85.74,84.74,87.95,99.34,96.40,79.67,95.89,85.73,64.35,97.24
Luxembourg,LUX,2015,92.61,5,87.33,11,100.00,100.00,89.96,84.18,93.54,98.27,96.60,97.53,92.12,96.13,88.59,93.54,85.74,84.74,88.15,98.85,95.66,76.87,95.24,85.73,61.67,97.31
Luxembourg,LUX,2014,92.24,7,88.49,9,100.00,100.00,85.21,86.78,93.00,98.27,96.60,97.53,92.12,96.13,87.57,92.30,85.74,84.74,87.59,98.87,95.55,80.84,94.51,85.73,66.23,97.70
Luxembourg,LUX,2013,91.73,6,87.72,10,100.00,100.00,84.53,82.00,91.63,98.27,96.60,97.53,92.12,96.13,87.84,91.43,85.74,84.74,87.44,98.83,94.74,78.97,93.76,85.73,64.84,97.17
Luxembourg,LUX,2012,91.67,7,86.49,12,100.00,100.00,83.72,81.69,91.35,98.27,96.60,97.53,92.12,96.13,88.24,91.36,85.74,84.74,87.52,98.68,93.98,73.60,92.99,85.73,63.55,96.91
Luxembourg,LUX,2011,91.38,7,87.02,10,94.44,100.00,83.72,82.83,90.25,98.27,96.60,97.53,92.12,96.13,89.49,91.07,85.74,84.74,87.76,98.82,93.23,78.74,92.33,85.73,62.95,97.37
Luxembourg,LUX,2010,91.62,7,87.38,8,94.44,100.00,84.12,83.98,90.64,98.27,96.60,97.53,92.12,96.13,87.92,93.98,85.74,84.74,88.09,99.03,92.56,82.48,91.89,85.73,62.97,96.98
