Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Latvia,LVA,2022,85.68,19,78.85,35,100.00,89.47,73.68,86.99,87.54,96.28,96.01,96.70,76.89,91.47,64.51,78.31,78.23,91.04,78.02,75.91,82.78,73.13,78.40,89.13,75.76,76.87
Latvia,LVA,2021,85.68,18,78.85,35,100.00,89.47,73.68,86.99,87.54,96.28,96.01,96.70,76.89,91.47,64.51,78.31,78.23,91.04,78.02,75.91,82.78,73.13,78.40,89.13,75.76,76.87
Latvia,LVA,2020,84.75,24,78.60,35,100.00,89.47,73.68,86.99,87.54,95.19,96.01,96.91,82.28,92.60,64.21,74.01,67.89,90.35,74.11,74.95,82.78,73.13,78.40,89.09,75.76,76.08
Latvia,LVA,2019,84.83,24,78.62,36,100.00,89.47,72.86,90.63,88.24,95.19,95.17,97.94,82.28,92.65,64.09,73.37,67.89,89.10,73.61,75.52,82.78,73.13,78.40,89.09,75.76,75.69
Latvia,LVA,2018,84.62,24,78.15,37,100.00,89.47,72.86,90.22,88.14,95.52,94.18,96.91,82.28,92.22,61.36,72.64,67.89,92.10,73.50,74.95,81.65,71.73,78.93,89.09,75.49,75.23
Latvia,LVA,2017,83.56,29,77.71,36,100.00,78.95,70.01,90.63,84.90,95.62,94.18,96.09,82.28,92.04,62.32,73.75,67.89,90.98,73.73,74.11,81.36,70.56,79.35,89.09,74.48,75.03
Latvia,LVA,2016,83.95,27,77.63,35,100.00,89.47,68.79,89.91,87.04,95.62,93.56,97.01,82.28,92.12,62.14,74.09,64.02,90.49,72.69,73.36,81.27,73.60,77.85,89.09,72.91,75.36
Latvia,LVA,2015,85.02,26,77.04,36,100.00,89.47,70.42,89.70,87.40,95.93,95.86,97.32,84.35,93.37,63.46,73.38,69.13,91.25,74.30,72.77,81.08,73.83,74.75,89.87,71.84,75.10
Latvia,LVA,2014,85.26,24,76.30,36,100.00,89.47,73.00,91.36,88.46,95.60,95.86,97.32,84.35,93.28,61.50,74.26,69.13,91.25,74.03,71.94,80.42,71.73,72.32,89.87,71.71,76.15
Latvia,LVA,2013,83.86,25,75.54,40,100.00,84.21,72.18,86.99,85.85,95.08,95.75,97.22,82.80,92.71,59.76,76.41,64.38,91.56,73.03,71.43,80.15,70.79,69.38,89.87,71.49,75.62
Latvia,LVA,2012,84.17,25,74.71,41,100.00,84.21,70.42,86.99,85.41,94.98,95.47,96.29,81.76,92.13,58.28,73.58,78.04,90.04,74.98,70.88,79.77,71.50,68.05,88.43,68.88,75.43
Latvia,LVA,2011,83.45,27,73.96,44,100.00,84.21,70.15,87.10,85.36,95.03,95.47,95.98,80.41,91.73,57.32,70.87,75.14,89.67,73.25,69.43,79.39,70.09,66.41,88.43,69.00,74.97
Latvia,LVA,2010,83.47,26,73.67,44,100.00,84.21,70.28,87.41,85.48,93.83,95.28,95.98,80.41,91.38,56.80,75.08,72.93,89.43,73.56,68.65,79.22,71.96,65.15,88.43,68.65,73.65
Latvia,LVA,2009,81.47,31,72.91,44,100.00,73.68,69.47,87.93,82.77,93.50,94.63,96.09,80.73,91.24,55.70,71.44,66.23,88.27,70.41,69.10,78.47,69.63,64.97,86.79,68.36,73.06
Latvia,LVA,2008,80.89,32,72.83,45,100.00,73.68,71.10,87.72,83.13,93.19,94.63,96.09,77.72,90.41,55.02,68.51,64.98,88.07,69.15,71.57,77.24,66.82,63.80,86.79,69.33,74.24
Latvia,LVA,2007,81.72,31,71.62,47,100.00,73.68,74.22,88.14,84.01,93.55,94.35,96.09,77.72,90.43,55.26,75.77,64.98,86.87,70.72,71.97,74.62,66.12,61.38,85.32,68.20,73.72
Latvia,LVA,2006,82.17,28,71.77,47,100.00,73.68,73.13,86.58,83.35,94.64,93.63,96.09,76.99,90.34,57.83,81.37,64.98,87.10,72.82,70.12,74.34,70.56,60.81,85.32,69.28,71.94
Latvia,LVA,2005,82.01,28,70.53,48,100.00,73.68,73.00,87.51,83.55,95.34,93.14,96.09,76.99,90.39,56.66,80.87,63.98,86.82,72.08,67.92,75.25,62.62,62.72,85.32,68.91,70.96
Latvia,LVA,2004,81.64,28,71.03,43,100.00,73.68,67.98,89.91,82.89,95.34,93.14,96.09,80.52,91.27,54.69,76.88,63.98,87.44,70.75,65.89,76.50,68.69,64.01,85.32,67.03,69.78
Latvia,LVA,2003,81.32,30,69.96,45,88.89,73.68,67.03,89.07,79.67,95.34,93.14,96.09,80.52,91.27,55.96,84.67,63.98,87.44,73.01,64.26,75.08,68.69,63.56,85.32,64.27,68.53
Latvia,LVA,2002,78.82,34,69.22,44,61.11,73.68,70.69,88.55,73.51,94.98,93.14,96.09,80.52,91.18,52.14,83.51,63.98,87.44,71.77,62.63,74.51,68.69,63.18,85.32,62.44,67.81
Latvia,LVA,2001,76.35,39,68.52,46,61.11,73.68,59.29,87.83,70.48,95.21,93.14,96.09,76.89,90.33,48.70,72.88,63.98,87.44,68.25,61.18,74.14,68.69,62.67,85.32,59.66,68.00
