Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Morocco,MAR,2022,58.68,98,59.09,116,63.89,68.42,55.63,64.72,63.17,52.63,68.90,56.75,69.12,61.85,41.38,56.37,39.90,66.49,51.04,49.73,85.60,61.45,72.23,47.60,29.06,67.94
Morocco,MAR,2021,58.68,98,59.09,116,63.89,68.42,55.63,64.72,63.17,52.63,68.90,56.75,69.12,61.85,41.38,56.37,39.90,66.49,51.04,49.73,85.60,61.45,72.23,47.60,29.06,67.94
Morocco,MAR,2020,58.44,97,58.84,119,63.89,68.42,55.63,64.72,63.17,52.68,68.90,53.04,69.12,60.93,41.31,57.24,39.90,66.49,51.24,48.66,85.60,61.45,72.23,47.60,29.06,67.28
Morocco,MAR,2019,59.38,100,58.77,119,63.89,68.42,55.22,71.80,64.83,52.78,68.90,54.07,74.61,62.59,41.08,57.51,39.90,64.42,50.73,50.06,85.19,61.45,72.23,47.60,28.65,66.23
Morocco,MAR,2018,59.66,99,58.90,119,63.89,68.42,55.22,71.70,64.81,52.78,70.66,56.33,74.61,63.60,40.59,57.40,39.90,64.42,50.58,49.82,84.77,61.45,72.67,47.60,27.49,68.53
Morocco,MAR,2017,59.38,98,58.66,121,63.89,73.68,52.51,69.41,64.87,52.78,68.87,55.61,74.61,62.97,42.17,56.82,37.79,64.42,50.30,49.49,84.33,61.45,73.27,47.60,26.40,68.07
Morocco,MAR,2016,58.67,97,57.88,121,63.89,73.68,50.34,67.74,63.91,53.09,67.40,60.87,74.61,63.99,43.45,58.06,34.53,56.36,48.10,48.97,83.87,61.45,74.01,43.68,25.08,68.13
Morocco,MAR,2015,59.06,96,57.68,121,63.89,73.68,52.51,67.01,64.27,53.09,68.17,60.87,73.16,63.82,42.89,57.48,39.65,56.36,49.10,49.02,83.41,61.45,74.52,43.68,23.79,67.87
Morocco,MAR,2014,58.42,99,57.37,121,63.89,73.68,48.03,64.93,62.63,53.57,67.71,61.48,73.16,63.98,42.20,55.36,39.65,57.32,48.63,48.47,82.94,61.45,74.48,43.68,22.12,68.46
Morocco,MAR,2013,58.60,96,56.89,121,63.89,73.68,47.63,69.41,63.65,53.54,67.57,62.20,73.16,64.12,41.39,54.41,39.65,56.71,48.04,48.25,82.48,61.45,74.31,43.68,20.50,67.54
Morocco,MAR,2012,58.36,99,56.26,122,63.89,68.42,46.54,69.41,62.06,53.06,68.10,60.87,75.44,64.36,40.02,54.87,43.32,56.35,48.64,47.71,82.00,58.64,75.92,43.68,18.94,66.95
Morocco,MAR,2011,58.24,100,56.02,122,63.89,68.42,46.00,67.74,61.51,52.68,68.10,61.38,75.44,64.40,39.14,56.45,43.32,56.35,48.82,47.43,81.49,58.64,75.94,43.68,17.43,67.54
Morocco,MAR,2010,57.74,98,55.54,124,63.89,63.16,45.86,66.70,59.90,52.49,68.02,57.98,77.10,63.90,42.03,56.64,43.32,55.66,49.41,46.75,80.90,58.64,75.81,43.68,15.97,67.02
Morocco,MAR,2009,56.48,100,55.11,122,63.89,63.16,46.68,64.93,59.66,52.52,67.89,56.13,71.61,62.04,39.93,56.33,37.75,56.98,47.75,46.30,80.19,58.64,75.69,43.68,15.10,66.16
Morocco,MAR,2008,56.25,101,55.04,120,63.89,63.16,47.35,64.41,59.70,52.52,67.89,55.10,74.61,62.53,38.50,52.83,37.75,56.98,46.51,45.78,79.34,58.64,75.64,43.68,14.47,67.74
