Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Moldova,MDA,2022,72.34,53,72.57,55,100.00,57.89,54.95,70.03,70.72,92.80,81.88,91.66,82.80,87.28,37.75,60.23,59.79,78.26,59.01,61.49,76.47,92.99,77.97,82.81,60.03,56.24
Moldova,MDA,2021,72.34,53,72.57,55,100.00,57.89,54.95,70.03,70.72,92.80,81.88,91.66,82.80,87.28,37.75,60.23,59.79,78.26,59.01,61.49,76.47,92.99,77.97,82.81,60.03,56.24
Moldova,MDA,2020,69.01,62,71.85,58,100.00,57.89,54.95,70.03,70.72,86.22,77.24,85.99,77.31,81.69,35.47,57.33,51.66,73.99,54.61,58.81,76.47,92.99,77.97,82.79,60.03,53.88
Moldova,MDA,2019,68.70,61,70.78,60,100.00,57.89,54.82,78.77,72.87,82.83,82.03,86.30,70.36,80.38,35.67,56.43,53.30,66.02,52.85,59.89,76.27,92.99,77.97,74.59,60.16,53.61
Moldova,MDA,2018,65.96,73,70.59,61,86.11,57.89,53.32,76.48,68.45,80.93,82.03,75.80,66.63,76.35,33.96,56.20,53.30,68.85,53.08,58.95,76.10,93.69,78.04,74.59,59.99,52.76
Moldova,MDA,2017,64.94,78,70.31,61,80.56,57.89,47.76,75.75,65.49,82.05,78.53,74.46,67.36,75.60,32.42,57.93,53.30,71.26,53.73,57.88,75.93,93.22,78.17,74.59,59.45,52.96
Moldova,MDA,2016,65.95,75,69.31,61,80.56,57.89,46.68,74.82,64.99,84.16,82.02,75.28,80.62,80.52,29.62,58.25,53.30,68.23,52.35,56.75,75.74,92.29,74.70,74.59,58.38,52.69
Moldova,MDA,2015,66.77,69,68.43,64,80.56,52.63,46.40,74.82,63.60,86.15,82.06,78.78,86.42,83.36,29.87,57.76,54.52,71.25,53.35,55.77,75.48,90.65,71.10,74.59,58.18,53.22
Moldova,MDA,2014,68.09,63,68.60,64,80.56,52.63,46.95,74.92,63.76,88.32,78.39,83.42,88.60,84.68,33.12,61.17,54.52,74.50,55.83,55.68,75.09,91.12,70.86,73.67,58.31,55.45
Moldova,MDA,2013,67.22,65,67.69,67,80.56,36.84,47.08,69.61,58.52,88.37,83.55,84.24,88.60,86.19,34.32,64.41,54.52,74.50,56.94,54.79,74.53,87.15,71.00,73.67,57.67,54.99
Moldova,MDA,2012,68.43,62,67.54,65,80.56,36.84,50.34,68.26,59.00,89.54,84.70,87.95,89.43,87.90,34.23,65.33,60.63,73.31,58.38,53.23,73.81,85.51,69.09,79.35,57.42,54.34
Moldova,MDA,2011,67.75,64,66.29,70,73.61,36.84,51.15,68.37,57.49,90.78,86.25,87.85,87.88,88.19,33.61,63.39,60.63,72.70,57.58,53.33,72.94,82.24,68.16,78.10,55.28,54.01
Moldova,MDA,2010,65.91,72,63.94,84,73.61,31.58,48.58,67.95,55.43,85.94,86.21,87.85,87.88,86.97,32.57,56.67,59.98,72.10,55.33,52.30,72.00,78.74,63.21,76.19,53.55,51.58
Moldova,MDA,2009,59.94,90,61.82,94,73.61,31.58,48.44,68.16,55.45,77.76,73.80,69.21,72.23,73.25,33.26,52.58,53.81,64.85,51.12,51.05,71.08,76.87,63.07,69.64,52.09,48.95
Moldova,MDA,2008,60.08,89,61.29,96,73.61,31.58,51.56,70.34,56.77,77.08,77.40,66.63,66.63,71.94,31.72,58.97,49.74,65.70,51.53,52.14,70.24,72.66,61.89,70.68,50.26,51.12
Moldova,MDA,2007,60.25,87,60.37,96,73.61,31.58,48.85,70.45,56.12,77.08,77.50,66.32,66.63,71.88,30.92,64.09,49.74,66.25,52.75,50.75,69.55,73.36,60.32,70.68,48.44,49.47
Moldova,MDA,2006,59.46,90,59.13,98,73.61,31.58,47.22,68.99,55.35,77.08,77.39,67.04,66.63,72.04,31.46,56.91,49.74,65.88,51.00,50.18,69.03,71.03,59.03,70.68,46.02,47.96
Moldova,MDA,2005,59.45,88,58.11,102,73.61,31.58,47.76,67.85,55.20,77.77,77.39,67.35,66.63,72.29,31.61,56.26,49.74,65.88,50.87,49.29,68.65,68.93,56.69,70.68,43.66,48.88
Moldova,MDA,2004,59.64,87,58.00,102,73.61,31.58,47.76,67.85,55.20,81.77,77.08,67.35,66.63,73.21,26.50,59.95,49.74,65.88,50.52,47.94,68.36,71.96,56.43,70.68,41.93,48.69
Moldova,MDA,2003,61.18,80,56.82,102,66.67,52.63,47.76,67.85,58.73,80.63,77.08,67.35,66.63,72.92,30.14,61.73,49.74,65.88,51.87,46.61,68.09,72.20,53.41,70.68,40.22,46.52
Moldova,MDA,2002,61.10,81,55.73,104,66.67,52.63,47.76,67.85,58.73,80.63,77.08,67.35,66.63,72.92,29.81,61.22,49.74,65.88,51.66,45.41,67.80,70.09,52.39,70.68,38.53,45.20
Moldova,MDA,2001,58.68,91,54.79,105,66.67,52.63,47.76,67.85,58.73,81.59,76.39,67.77,37.82,65.89,34.41,55.72,49.74,65.82,51.42,44.01,67.47,64.95,52.40,70.68,36.88,47.11
Moldova,MDA,2000,61.50,78,54.93,104,66.67,52.63,47.76,67.85,58.73,82.99,74.60,78.99,70.26,76.71,34.41,55.72,37.84,68.25,49.05,42.90,67.13,68.69,50.79,72.95,35.24,46.78
Moldova,MDA,1999,63.56,68,53.30,109,66.67,52.63,47.76,67.85,58.73,83.48,75.48,80.02,76.79,78.94,38.96,72.27,31.89,68.92,53.01,42.49,66.85,54.21,50.37,72.95,33.77,52.43
Moldova,MDA,1998,62.57,71,54.42,103,66.67,52.63,47.76,67.85,58.73,83.78,75.76,80.02,65.28,76.21,38.96,72.27,31.89,68.00,52.78,43.08,66.66,61.45,50.84,72.95,32.35,53.61
Moldova,MDA,1997,60.58,80,55.23,101,66.67,52.63,47.76,67.85,58.73,85.09,75.22,80.12,47.36,71.95,39.82,64.62,31.89,68.00,51.08,44.29,66.60,67.52,47.87,72.95,30.98,56.37
Moldova,MDA,1996,60.58,77,54.29,102,66.67,52.63,47.76,67.85,58.73,85.06,75.22,80.12,47.36,71.94,39.82,64.62,31.89,68.00,51.08,43.93,66.68,67.52,42.63,72.95,29.67,56.64
Moldova,MDA,1995,58.83,87,53.90,101,66.67,31.58,47.76,67.85,53.46,85.09,75.22,80.12,47.36,71.95,39.82,64.62,31.89,68.00,51.08,44.99,66.87,67.52,39.02,72.95,28.41,57.56
