Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Madagascar,MDG,2022,50.31,120,52.26,151,50.00,57.89,19.27,60.87,47.01,79.04,68.17,80.43,28.70,64.09,26.10,51.52,43.21,38.55,39.84,20.81,67.85,54.21,69.45,73.78,17.71,62.02
Madagascar,MDG,2021,50.31,120,52.26,151,50.00,57.89,19.27,60.87,47.01,79.04,68.17,80.43,28.70,64.09,26.10,51.52,43.21,38.55,39.84,20.81,67.85,54.21,69.45,73.78,17.71,62.02
Madagascar,MDG,2020,50.75,119,52.16,152,50.00,57.89,19.27,60.87,47.01,79.07,68.17,81.98,32.02,65.31,25.17,53.67,43.21,37.68,39.93,20.50,67.85,54.21,69.45,73.78,17.71,61.63
Madagascar,MDG,2019,51.92,119,52.29,152,50.00,57.89,18.86,69.61,49.09,78.58,68.84,82.39,38.34,67.04,23.18,57.90,40.36,37.05,39.62,22.31,67.20,54.21,69.45,73.78,17.71,61.37
Madagascar,MDG,2018,52.95,118,52.55,151,50.00,57.89,19.81,69.82,49.38,79.65,69.29,85.38,41.35,68.91,23.40,52.66,40.36,45.85,40.57,22.02,66.53,54.21,68.87,77.72,17.61,60.91
Madagascar,MDG,2017,52.28,119,52.35,149,50.00,57.89,23.88,63.68,48.86,80.22,68.23,85.27,32.64,66.59,22.96,58.29,40.36,43.91,41.38,21.93,65.84,54.21,68.34,77.72,17.66,60.78
Madagascar,MDG,2016,51.84,120,52.21,147,50.00,52.63,20.08,68.89,47.90,80.22,68.23,85.79,29.95,66.05,24.28,58.52,39.17,44.33,41.57,21.72,65.13,54.21,67.59,77.72,17.70,61.43
Madagascar,MDG,2015,51.83,120,51.89,149,50.00,52.63,20.49,70.34,48.37,79.75,68.23,84.76,32.64,66.35,23.84,55.74,39.17,44.33,40.77,21.50,64.40,54.21,66.72,77.72,17.81,60.91
Madagascar,MDG,2014,50.62,121,51.74,148,50.00,57.89,19.27,72.53,49.92,79.31,67.44,82.60,30.26,64.90,23.78,53.11,37.41,33.83,37.03,21.43,63.64,54.21,65.83,77.72,17.41,61.96
Madagascar,MDG,2013,45.29,132,50.05,151,50.00,57.89,17.91,65.76,47.89,46.28,58.45,77.96,28.19,52.72,26.52,51.03,34.15,29.39,35.27,21.32,62.85,54.21,64.94,68.66,17.12,61.24
Madagascar,MDG,2012,41.84,146,48.51,155,50.00,57.89,16.15,63.68,46.93,43.81,53.45,70.03,19.59,46.72,27.90,53.54,25.46,20.63,31.88,21.40,62.05,54.21,63.79,59.68,16.84,61.63
Madagascar,MDG,2011,41.67,146,48.26,153,50.00,57.89,14.93,62.96,46.44,43.81,54.12,70.03,19.59,46.89,30.53,50.11,25.46,20.63,31.68,21.36,61.22,54.67,62.61,59.68,16.38,61.89
Madagascar,MDG,2010,40.95,148,47.89,152,50.00,63.16,15.47,64.52,48.29,43.81,54.12,70.03,8.08,44.01,32.06,44.58,25.46,20.14,30.56,21.57,60.38,54.67,61.78,59.68,16.25,60.91
Madagascar,MDG,2009,44.24,139,48.50,148,50.00,73.68,18.32,64.52,51.63,45.22,52.55,70.44,22.90,47.78,34.67,49.53,22.29,26.76,33.31,21.96,59.55,60.51,60.74,58.63,16.13,61.96
Madagascar,MDG,2008,53.88,109,49.32,144,38.89,73.68,23.47,65.45,50.37,81.46,72.93,81.46,29.53,66.35,36.95,54.89,50.30,37.57,44.93,23.20,58.74,60.51,60.19,64.09,15.21,63.27
Madagascar,MDG,2007,55.00,106,48.45,143,38.89,73.68,23.74,65.45,50.44,81.20,72.16,81.46,29.53,66.09,39.79,66.21,50.30,37.57,48.47,22.55,57.94,60.51,59.89,64.09,14.54,59.66
Madagascar,MDG,2006,54.31,106,48.07,143,38.89,73.68,19.54,63.27,48.84,79.80,72.16,81.46,29.53,65.74,38.18,68.15,50.30,36.76,48.35,22.07,57.14,60.51,58.87,64.09,14.00,59.79
Madagascar,MDG,2005,51.85,112,47.60,142,31.94,52.63,18.72,61.29,41.15,81.39,72.16,80.95,29.53,66.01,42.47,64.02,50.30,36.76,48.39,21.65,56.32,60.51,57.56,64.09,13.74,59.33
Madagascar,MDG,2004,51.99,110,44.90,148,31.94,52.63,16.55,65.14,41.57,81.39,72.04,80.95,29.53,65.98,37.22,69.36,50.30,36.76,48.41,21.34,55.46,42.99,56.37,64.09,13.30,60.78
Madagascar,MDG,2003,52.67,108,44.13,149,31.94,52.63,16.28,66.18,41.76,81.39,69.77,80.95,29.43,65.39,40.31,76.99,50.30,35.88,50.87,20.96,54.53,42.99,54.71,64.09,12.60,59.07
Madagascar,MDG,2002,50.31,117,43.39,150,31.94,52.63,16.96,65.87,41.85,76.64,53.42,77.86,32.75,60.17,43.71,59.83,48.96,43.17,48.92,19.82,53.53,42.99,53.21,64.09,11.91,58.21
Madagascar,MDG,2001,53.21,106,43.34,148,31.94,52.63,20.49,70.45,43.88,82.19,68.84,81.46,38.55,67.76,35.41,67.69,48.96,39.95,48.00,22.76,52.43,42.99,51.92,63.47,11.24,58.54
Madagascar,MDG,2000,52.64,108,45.67,139,31.94,52.63,20.62,63.37,42.14,82.37,69.21,81.46,34.61,66.91,35.41,67.69,51.91,40.50,48.88,22.27,51.23,63.55,49.75,63.47,10.59,58.80
Madagascar,MDG,1999,50.72,116,44.92,140,31.94,31.58,20.62,63.37,36.88,82.37,68.49,81.46,32.95,66.32,35.01,68.38,51.91,40.50,48.95,22.04,49.92,63.55,47.82,63.47,9.96,57.69
Madagascar,MDG,1998,50.69,113,44.13,142,31.94,31.58,20.62,63.37,36.88,82.42,68.49,81.05,32.95,66.23,35.01,68.38,51.91,40.50,48.95,21.78,48.51,61.45,45.77,63.47,9.96,57.95
Madagascar,MDG,1997,51.57,109,43.74,141,31.94,31.58,20.62,63.37,36.88,82.52,68.49,81.98,37.72,67.68,38.19,68.79,51.91,41.71,50.15,21.66,47.04,61.45,44.42,63.47,9.96,58.21
Madagascar,MDG,1996,54.60,98,43.32,140,31.94,31.58,20.62,63.37,36.88,83.88,71.59,86.10,67.77,77.34,38.19,68.79,49.00,42.38,49.59,21.57,45.53,61.45,42.90,63.47,9.96,58.34
Madagascar,MDG,1995,55.66,94,42.98,140,31.94,52.63,20.76,53.80,39.78,84.64,71.92,86.10,67.77,77.61,38.19,68.79,49.00,42.38,49.59,21.75,44.01,61.45,41.50,63.47,9.96,58.74
