Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Mexico,MEX,2022,60.56,92,68.70,71,81.94,78.95,41.93,79.60,70.61,91.27,63.96,73.43,47.67,69.08,32.38,51.50,36.05,48.03,41.99,66.26,82.30,47.66,87.77,77.60,48.07,71.22
Mexico,MEX,2021,60.56,92,68.70,71,81.94,78.95,41.93,79.60,70.61,91.27,63.96,73.43,47.67,69.08,32.38,51.50,36.05,48.03,41.99,66.26,82.30,47.66,87.77,77.60,48.07,71.22
Mexico,MEX,2020,61.42,91,68.48,69,81.94,78.95,41.93,79.60,70.61,90.17,63.99,79.71,45.80,69.92,34.23,47.05,40.01,53.65,43.73,65.60,82.30,47.66,87.77,77.64,48.07,70.30
Mexico,MEX,2019,62.18,88,68.07,72,81.94,78.95,41.52,80.23,70.66,90.75,64.56,84.86,45.08,71.31,33.88,47.45,40.01,56.99,44.58,67.32,82.15,44.63,87.77,77.64,47.31,69.65
Mexico,MEX,2018,64.36,84,68.31,71,81.94,78.95,42.20,79.40,70.62,90.86,65.29,86.30,54.30,74.19,33.70,51.27,48.25,59.84,48.27,67.55,82.04,44.63,88.02,77.64,46.55,71.75
Mexico,MEX,2017,63.83,85,67.74,74,81.94,73.68,42.74,79.19,69.39,88.64,64.36,81.15,57.72,72.97,36.04,48.25,48.25,64.05,49.15,67.36,81.95,42.29,87.97,77.64,45.37,71.62
Mexico,MEX,2016,63.37,84,67.57,71,81.94,73.68,41.52,75.55,68.17,89.52,63.00,80.74,52.02,71.32,38.19,51.66,47.54,65.02,50.60,67.20,81.90,42.29,88.06,77.64,44.09,71.81
Mexico,MEX,2015,63.37,84,67.05,74,81.94,73.68,42.88,78.56,69.27,89.65,63.00,80.74,50.57,70.99,38.67,48.22,47.54,65.02,49.86,66.95,81.87,39.95,87.98,77.64,42.74,72.21
Mexico,MEX,2014,63.35,85,66.93,74,81.94,73.68,43.96,78.77,69.59,89.31,63.16,78.27,54.92,71.42,38.81,47.10,44.17,66.06,49.04,66.59,81.88,39.95,88.01,77.64,41.28,73.13
Mexico,MEX,2013,62.71,86,66.73,73,70.83,73.68,44.50,74.61,65.91,89.00,62.28,78.48,54.92,71.17,43.42,49.93,44.17,66.64,51.04,66.31,81.92,39.95,88.31,77.64,40.54,72.47
Mexico,MEX,2012,63.54,81,66.82,68,70.83,63.16,45.18,73.57,63.19,89.83,61.28,81.67,67.25,75.01,44.57,50.98,46.29,67.90,52.44,66.30,81.99,39.95,88.96,77.64,40.68,72.21
Mexico,MEX,2011,63.99,80,67.04,62,70.83,68.42,46.27,73.36,64.72,90.47,61.05,81.26,67.56,75.09,44.24,50.87,46.29,67.31,52.18,65.90,82.07,43.46,89.25,77.64,38.74,72.21
