Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
North Macedonia,MKD,2022,66.17,72,65.99,86,80.56,68.42,40.84,80.65,67.62,85.24,84.53,82.18,68.08,80.01,42.14,66.92,48.71,45.82,50.90,64.11,83.35,76.64,46.01,77.23,48.89,65.70
North Macedonia,MKD,2021,66.17,72,65.99,86,80.56,68.42,40.84,80.65,67.62,85.24,84.53,82.18,68.08,80.01,42.14,66.92,48.71,45.82,50.90,64.11,83.35,76.64,46.01,77.23,48.89,65.70
North Macedonia,MKD,2020,66.83,70,65.54,90,80.56,68.42,40.84,80.65,67.62,85.94,83.81,83.01,66.22,79.74,42.29,66.58,54.95,48.73,53.14,63.35,83.35,76.64,46.01,77.20,48.89,63.34
North Macedonia,MKD,2019,66.84,71,65.87,87,80.56,68.42,39.89,80.54,67.35,85.08,86.09,83.32,67.88,80.59,41.06,64.48,54.95,49.77,52.56,64.45,85.04,76.64,46.01,77.20,48.05,63.73
North Macedonia,MKD,2018,65.69,76,64.99,92,80.56,68.42,39.48,80.75,67.30,82.51,80.35,83.73,69.22,78.95,43.70,60.17,50.88,48.50,50.81,63.76,85.13,76.64,45.60,73.17,46.80,63.80
North Macedonia,MKD,2017,64.27,82,64.57,94,80.56,63.16,39.76,80.96,66.11,80.44,77.66,80.23,68.08,76.60,43.77,59.24,54.58,42.81,50.10,63.26,83.83,73.83,44.99,76.39,46.24,63.47
North Macedonia,MKD,2016,61.62,90,63.45,95,80.56,63.16,44.50,81.37,67.40,76.82,73.29,65.81,67.88,70.95,43.94,57.28,56.96,27.83,46.50,63.09,82.80,73.13,44.57,72.42,44.97,63.21
North Macedonia,MKD,2015,61.71,90,62.76,98,80.56,63.16,45.86,81.37,67.74,75.68,75.83,66.84,63.73,70.52,44.31,58.58,54.24,30.34,46.87,62.60,82.80,70.56,44.10,72.42,43.71,63.14
North Macedonia,MKD,2014,64.54,80,62.64,99,80.56,63.16,62.28,81.69,71.92,75.83,77.28,68.18,63.73,71.26,46.82,69.58,54.24,31.15,50.45,61.94,82.90,71.50,44.47,72.42,41.69,63.53
North Macedonia,MKD,2013,63.45,78,61.79,102,80.56,63.16,63.09,78.88,71.42,75.05,76.80,67.04,65.39,71.07,44.60,55.97,56.69,34.15,47.85,61.33,82.80,69.16,44.88,71.79,40.83,61.76
North Macedonia,MKD,2012,65.42,74,60.70,105,80.56,63.16,62.28,78.77,71.19,75.64,81.87,68.69,70.36,74.14,44.21,54.42,59.76,45.38,50.94,60.84,81.87,64.72,42.92,73.11,39.96,61.50
North Macedonia,MKD,2011,66.27,72,60.27,105,80.56,63.16,62.28,78.15,71.04,79.27,86.46,71.16,69.84,76.68,43.45,51.88,60.89,48.12,51.09,60.94,82.24,61.68,42.92,73.76,39.05,61.30
North Macedonia,MKD,2010,67.25,66,59.68,106,80.56,63.16,61.19,77.63,70.63,81.96,87.40,75.49,69.84,78.67,44.04,53.89,62.40,49.45,52.44,60.55,82.05,59.81,41.49,72.78,38.14,62.94
North Macedonia,MKD,2009,66.55,68,57.92,109,75.00,52.63,61.06,77.84,66.63,82.84,87.12,76.62,69.84,79.11,43.95,58.35,61.16,52.14,53.90,60.00,81.02,53.74,40.63,72.23,37.37,60.45
North Macedonia,MKD,2008,67.70,63,58.02,107,75.00,52.63,62.69,76.69,66.75,83.48,85.68,78.99,73.58,80.43,43.62,58.40,62.09,59.51,55.91,60.10,80.93,53.74,40.38,72.23,36.66,62.09
North Macedonia,MKD,2007,67.81,62,56.91,110,75.00,52.63,62.01,76.07,66.43,84.56,85.81,82.08,75.75,82.05,40.01,55.76,62.84,61.16,54.94,59.16,79.81,53.74,38.41,72.23,33.33,61.70
North Macedonia,MKD,2006,67.60,63,56.72,108,75.00,52.63,60.65,74.09,65.59,85.28,86.36,82.39,75.75,82.45,41.03,49.48,63.70,64.80,54.75,58.06,79.99,53.74,39.21,72.23,32.33,61.50
North Macedonia,MKD,2005,66.37,64,56.59,106,75.00,52.63,59.97,76.07,65.92,85.73,85.99,84.45,75.75,82.98,37.97,40.99,57.07,64.85,50.22,57.19,79.62,53.74,40.08,72.23,31.34,61.96
North Macedonia,MKD,2004,66.46,63,56.09,106,75.00,52.63,56.72,64.93,62.32,86.99,84.14,85.58,75.75,83.12,38.84,47.16,65.61,64.18,53.95,56.40,79.44,53.74,40.16,72.23,30.22,60.45
North Macedonia,MKD,2003,65.45,65,55.40,108,75.00,52.63,56.72,69.61,63.49,86.25,84.14,86.71,73.99,82.77,35.37,44.38,55.79,64.79,50.08,55.63,78.77,53.74,38.24,72.23,29.49,59.72
North Macedonia,MKD,2002,63.61,74,54.93,107,75.00,52.63,56.72,69.61,63.49,81.54,78.46,80.33,76.48,79.20,31.73,43.37,52.50,65.00,48.15,55.29,78.39,53.74,37.14,72.23,28.75,58.94
North Macedonia,MKD,2001,62.42,74,54.14,109,75.00,52.63,56.72,69.61,63.49,76.32,66.94,77.55,76.48,74.32,31.12,51.96,52.50,62.22,49.45,54.89,79.14,53.74,37.27,66.03,27.74,60.18
North Macedonia,MKD,2000,63.14,73,53.56,110,75.00,52.63,56.72,69.61,63.49,76.32,72.69,78.27,75.03,75.58,31.12,51.96,52.50,65.78,50.34,55.53,78.22,53.74,37.31,63.60,26.68,59.86
North Macedonia,MKD,1999,64.17,65,54.12,105,75.00,52.63,56.72,69.61,63.49,83.73,72.69,77.96,75.03,77.35,32.32,49.96,52.50,71.87,51.66,54.81,77.93,53.74,39.82,63.60,25.60,63.34
North Macedonia,MKD,1998,63.83,65,54.01,105,75.00,52.63,56.72,69.61,63.49,80.44,72.69,77.03,72.95,75.78,32.32,49.96,52.50,74.08,52.22,54.13,77.01,53.74,41.71,63.60,24.38,63.47
North Macedonia,MKD,1997,64.05,64,53.64,106,75.00,52.63,56.72,69.61,63.49,79.21,74.13,75.39,72.54,75.32,33.44,54.67,52.50,72.74,53.34,53.63,77.29,53.74,40.53,63.60,23.24,63.47
North Macedonia,MKD,1996,63.80,65,53.20,105,75.00,52.63,56.72,69.61,63.49,77.73,74.13,74.15,72.23,74.56,33.44,54.67,52.50,72.74,53.34,53.44,77.38,53.74,39.23,63.60,22.18,62.81
North Macedonia,MKD,1995,63.42,65,52.83,104,75.00,52.63,56.72,69.61,63.49,75.34,74.13,73.33,70.47,73.32,33.44,54.67,52.50,73.17,53.44,53.28,76.17,53.74,39.92,63.60,20.93,62.16
