Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Mali,MLI,2022,47.93,124,49.76,160,55.56,68.42,25.64,60.77,52.60,43.86,68.53,84.24,25.28,55.48,24.57,16.76,54.79,46.70,35.71,28.07,53.48,69.39,58.87,67.19,5.33,65.97
Mali,MLI,2021,47.93,125,49.76,160,55.56,68.42,25.64,60.77,52.60,43.86,68.53,84.24,25.28,55.48,24.57,16.76,54.79,46.70,35.71,28.07,53.48,69.39,58.87,67.19,5.33,65.97
Mali,MLI,2020,52.20,118,49.63,162,55.56,68.42,25.64,60.77,52.60,52.99,67.48,83.32,42.69,61.62,26.12,21.18,57.29,64.92,42.38,28.05,53.48,69.39,58.87,67.13,5.33,65.18
Mali,MLI,2019,55.18,108,49.54,162,55.56,68.42,25.24,63.06,53.07,78.80,67.48,85.68,51.71,70.92,28.16,19.83,50.02,68.17,41.55,28.81,52.76,69.39,58.87,67.13,5.33,64.52
Mali,MLI,2018,53.58,116,49.25,163,48.61,68.42,25.78,63.16,51.49,83.10,63.95,77.75,50.05,68.71,28.87,22.10,50.02,61.08,40.52,28.52,51.99,69.39,57.34,67.13,5.05,65.31
Mali,MLI,2017,54.10,114,49.79,160,48.61,68.42,25.78,62.85,51.42,84.20,64.23,77.45,53.47,69.84,30.04,25.78,47.43,60.93,41.05,28.22,51.17,76.64,55.82,67.13,4.77,64.78
Mali,MLI,2016,57.74,101,49.73,157,48.61,68.42,26.32,69.20,53.14,84.27,71.70,81.26,63.94,75.29,29.32,31.65,57.35,60.79,44.78,27.83,50.30,76.64,54.95,69.34,4.44,64.59
Mali,MLI,2015,57.27,103,49.45,159,48.61,63.16,27.14,69.09,52.00,84.27,71.70,81.26,63.94,75.29,29.72,30.26,57.35,60.79,44.53,27.34,49.41,76.64,55.25,69.34,4.11,64.06
Mali,MLI,2014,56.07,106,49.22,159,48.61,57.89,27.95,69.72,51.04,84.27,71.70,82.80,54.82,73.40,27.28,29.69,57.35,60.79,43.78,26.79,48.52,76.64,54.78,69.34,4.04,64.45
Mali,MLI,2013,52.52,117,48.73,158,48.61,47.37,26.59,62.12,46.17,65.01,69.92,83.21,51.92,67.51,28.75,29.52,57.35,59.91,43.89,26.08,47.67,76.64,53.75,69.34,3.74,63.86
Mali,MLI,2012,52.12,119,47.63,159,37.50,52.63,27.14,63.58,45.21,50.46,78.08,89.80,51.92,67.57,27.44,23.20,53.05,70.66,43.59,26.20,46.84,76.64,52.63,64.32,3.66,63.14
Mali,MLI,2011,57.94,102,47.28,158,37.50,52.63,26.05,63.58,44.94,86.29,78.75,90.32,52.12,76.87,31.39,50.05,55.80,70.83,52.02,26.88,46.03,76.64,51.44,64.32,3.56,62.09
Mali,MLI,2010,58.81,95,46.83,157,37.50,52.63,25.92,64.31,45.09,86.29,78.75,90.32,52.12,76.87,30.54,60.69,55.80,70.83,54.47,26.86,45.19,76.64,49.66,64.32,3.28,61.89
Mali,MLI,2009,58.87,93,46.31,157,37.50,52.63,26.05,63.89,45.02,86.29,77.21,90.22,52.12,76.46,31.02,62.86,55.80,70.83,55.13,26.49,44.27,76.64,48.22,64.32,3.00,61.24
Mali,MLI,2008,59.37,92,44.09,161,37.50,52.63,27.00,63.16,45.07,86.29,77.21,89.60,52.12,76.31,32.76,68.64,55.80,69.75,56.74,26.24,43.22,62.85,47.33,64.32,2.68,62.02
Mali,MLI,2007,59.53,89,43.57,159,37.50,52.63,27.82,60.98,44.73,86.62,77.21,90.01,52.12,76.49,34.30,69.06,55.80,70.27,57.36,26.00,42.02,62.85,46.83,64.32,2.36,60.58
Mali,MLI,2006,59.88,88,43.05,159,37.50,52.63,29.99,59.31,44.86,87.23,77.21,90.01,52.12,76.64,33.70,72.78,55.80,70.31,58.15,25.98,40.69,62.85,45.38,64.32,2.06,60.05
Mali,MLI,2005,59.15,90,42.05,161,37.50,52.63,27.00,58.17,43.83,87.23,77.21,90.01,52.12,76.64,33.86,67.91,55.80,70.31,56.97,25.75,39.23,60.51,44.01,64.32,1.77,58.74
Mali,MLI,2004,59.28,88,41.28,161,37.50,52.63,26.05,57.86,43.51,87.23,77.21,90.01,52.12,76.64,31.04,73.55,55.80,70.31,57.68,25.19,37.68,60.51,42.25,64.32,1.58,57.42
Mali,MLI,2003,59.28,90,40.70,161,37.50,52.63,25.37,62.64,44.54,87.23,77.21,90.01,52.12,76.64,30.94,69.61,55.80,70.31,56.67,25.49,36.09,60.51,40.21,64.32,1.39,56.90
Mali,MLI,2002,61.35,80,39.78,160,37.50,73.68,24.97,61.08,49.31,86.16,77.21,89.50,52.12,76.25,31.58,72.71,59.35,70.33,58.49,24.47,34.53,60.51,38.00,64.32,1.21,55.39
Mali,MLI,2001,61.84,79,39.36,158,37.50,73.68,25.64,65.87,50.67,82.87,77.21,87.44,66.74,78.56,26.15,69.25,59.35,70.33,56.27,24.46,33.07,60.51,37.28,64.32,1.04,54.80
Mali,MLI,2000,61.85,76,38.22,161,37.50,73.68,25.64,66.08,50.73,82.87,77.21,87.44,66.74,78.56,26.15,69.25,59.35,70.33,56.27,22.41,31.79,60.51,34.67,64.32,0.88,52.96
