Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Malta,MLT,2022,78.74,35,82.60,26,81.94,73.68,66.08,87.41,77.28,94.33,91.29,90.63,70.26,86.63,59.81,84.09,63.34,82.04,72.32,81.99,96.34,81.31,88.44,84.42,72.50,73.19
Malta,MLT,2021,80.06,34,82.60,26,81.94,89.47,66.08,87.41,81.23,94.33,91.29,90.63,70.26,86.63,59.81,84.09,63.34,82.04,72.32,81.99,96.34,81.31,88.44,84.42,72.50,73.19
Malta,MLT,2020,80.24,33,82.12,27,81.94,89.47,66.08,87.41,81.23,94.33,91.29,89.91,70.26,86.44,61.80,84.93,63.34,82.07,73.03,80.42,96.34,81.31,88.44,83.95,72.50,71.88
Malta,MLT,2019,77.36,41,82.45,26,81.94,89.47,64.99,91.05,81.87,94.33,85.02,89.91,53.26,80.63,58.46,85.14,61.81,72.99,69.60,82.39,96.72,81.31,88.44,85.91,71.39,70.96
Malta,MLT,2018,77.49,40,83.28,25,81.94,89.47,64.45,90.74,81.65,93.29,85.02,89.91,44.87,78.27,63.47,90.39,61.81,74.56,72.56,82.07,95.96,86.68,89.19,85.91,69.21,73.92
Malta,MLT,2017,77.95,39,82.48,25,81.94,89.47,66.76,90.95,82.28,93.36,85.47,90.83,44.87,78.63,65.68,89.69,61.81,74.56,72.94,81.64,95.76,85.51,89.67,85.91,65.60,73.26
Malta,MLT,2016,78.29,40,81.95,25,81.94,89.47,67.44,90.11,82.24,93.44,90.65,92.28,46.53,80.72,64.95,86.27,61.81,74.56,71.90,80.24,95.96,85.75,89.40,85.91,62.98,73.39
Malta,MLT,2015,78.13,41,81.24,25,81.94,84.21,66.62,89.91,80.67,93.44,90.65,92.38,49.74,81.55,65.96,85.93,61.81,74.94,72.16,80.06,94.93,85.05,88.93,85.91,62.00,71.81
Malta,MLT,2014,78.89,38,80.77,26,81.94,84.21,70.01,91.05,81.80,93.44,92.57,92.38,49.74,82.03,67.20,87.18,61.81,75.18,72.84,78.83,95.20,85.98,87.84,85.91,60.34,71.29
Malta,MLT,2013,79.33,37,80.22,26,81.94,89.47,70.42,86.47,82.08,94.25,92.57,93.20,50.16,82.54,71.02,85.50,61.81,75.18,73.38,77.87,94.64,86.45,86.85,85.91,59.24,70.57
