Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Myanmar,MMR,2022,29.48,164,53.09,146,62.50,0.00,29.85,56.71,37.27,,,,,,20.82,22.57,,,21.69,38.41,67.80,82.01,52.21,61.98,24.01,45.20
Myanmar,MMR,2021,29.48,164,53.09,147,62.50,0.00,29.85,56.71,37.27,,,,,,20.82,22.57,,,21.69,38.41,67.80,82.01,52.21,61.98,24.01,45.20
Myanmar,MMR,2020,34.34,159,53.17,149,62.50,0.00,29.85,56.71,37.27,,,,,,29.07,33.77,,,31.42,42.12,67.80,82.01,52.21,61.98,24.01,42.05
Myanmar,MMR,2019,34.22,157,52.91,149,62.50,0.00,29.58,50.88,35.74,,,,,,27.90,37.50,,,32.70,41.67,67.37,82.01,52.21,61.98,24.01,41.13
Myanmar,MMR,2018,34.60,158,55.01,131,62.50,0.00,28.22,50.26,35.25,,,,,,29.23,38.70,,,33.96,40.61,66.87,82.01,51.88,61.98,22.93,58.80
Myanmar,MMR,2017,35.54,155,54.35,135,62.50,0.00,27.82,50.05,35.09,,,,,,29.56,42.43,,,36.00,39.60,66.30,82.01,51.54,61.98,21.91,57.10
Myanmar,MMR,2016,37.74,152,51.43,152,62.50,0.00,27.14,56.50,36.54,,,,,,29.78,48.10,,,38.94,38.71,65.64,64.72,50.91,61.98,20.91,57.16
Myanmar,MMR,2015,34.41,159,50.58,155,62.50,0.00,25.64,56.30,36.11,,,,,,24.63,40.80,,,32.72,37.03,64.90,64.72,50.16,61.98,19.93,55.32
Myanmar,MMR,2014,34.57,160,50.12,155,62.50,0.00,24.69,57.44,36.16,,,,,,23.59,42.37,,,32.98,36.59,64.09,64.72,49.32,61.98,18.61,55.52
Myanmar,MMR,2013,32.42,163,49.27,155,51.39,0.00,21.85,63.48,34.18,,,,,,20.03,41.30,,,30.67,35.32,63.24,64.72,48.28,61.98,17.34,54.01
Myanmar,MMR,2012,33.00,162,48.46,156,51.39,0.00,21.17,61.60,33.54,,,,,,19.62,45.29,,,32.45,34.10,62.37,64.72,47.49,61.98,16.10,52.43
Myanmar,MMR,2011,24.75,166,47.56,157,51.39,0.00,19.54,18.52,22.36,,,,,,12.37,41.90,,,27.14,33.12,61.49,64.72,46.14,61.98,14.90,50.59
Myanmar,MMR,2010,23.45,169,46.42,158,51.39,0.00,18.45,18.52,22.09,,,,,,11.27,38.36,,,24.81,31.95,60.64,64.72,45.01,61.98,13.74,46.91
Myanmar,MMR,2009,23.35,169,45.14,160,51.39,0.00,17.64,18.52,21.89,,,,,,11.45,38.18,,,24.82,30.34,59.82,64.72,43.15,61.98,13.00,42.97
Myanmar,MMR,2008,24.70,169,44.12,160,51.39,0.00,17.50,18.52,21.85,,,,,,12.82,42.29,,,27.56,28.67,59.06,64.72,41.49,61.98,12.28,40.60
Myanmar,MMR,2007,24.93,167,43.06,163,51.39,0.00,17.50,18.52,21.85,,,,,,13.22,42.81,,,28.01,26.89,58.34,64.72,39.54,61.98,11.58,38.37
Myanmar,MMR,2006,26.50,167,41.88,165,51.39,0.00,17.23,23.00,22.90,,,,,,13.00,47.17,,,30.09,24.89,57.67,64.72,37.31,61.98,11.09,35.48
Myanmar,MMR,2005,25.87,167,40.82,166,51.39,0.00,16.96,18.83,21.80,,,,,,13.70,46.19,,,29.94,22.77,57.06,64.72,35.52,61.98,10.61,33.11
Myanmar,MMR,2004,24.64,169,39.76,168,51.39,0.00,16.96,15.82,21.04,,,,,,12.01,44.45,,,28.23,20.62,56.47,64.72,33.43,61.98,10.20,30.88
Myanmar,MMR,2003,26.23,168,39.01,167,51.39,0.00,26.73,15.71,23.46,,,,,,16.99,41.03,,,29.01,18.46,55.90,64.72,32.13,61.98,9.79,30.09
Myanmar,MMR,2002,25.91,167,38.07,166,51.39,0.00,31.61,15.71,24.68,,,,,,18.42,35.84,,,27.13,16.43,55.34,64.72,30.52,61.98,9.39,28.12
Myanmar,MMR,2001,24.96,166,37.36,166,51.39,0.00,33.38,15.71,25.12,,,,,,19.09,30.51,,,24.80,14.61,54.76,64.72,28.87,61.98,8.99,27.60
Myanmar,MMR,2000,23.54,168,36.68,166,51.39,0.00,37.72,0.00,22.28,,,,,,19.09,30.51,,,24.80,12.69,54.17,64.72,27.31,61.98,8.64,27.27
Myanmar,MMR,1999,24.61,166,37.27,164,51.39,0.00,37.72,0.00,22.28,,,,,,19.57,34.31,,,26.94,10.79,53.58,64.72,25.90,61.98,8.32,35.61
Myanmar,MMR,1998,24.61,166,36.47,165,51.39,0.00,37.72,0.00,22.28,,,,,,19.57,34.31,,,26.94,9.55,52.98,64.72,24.71,61.98,8.01,33.38
Myanmar,MMR,1997,25.24,163,35.79,164,51.39,0.00,37.72,0.00,22.28,,,,,,17.49,38.91,,,28.20,8.77,52.38,64.72,23.70,61.98,7.71,31.27
Myanmar,MMR,1996,25.24,162,35.10,165,51.39,0.00,37.72,0.00,22.28,,,,,,17.49,38.91,,,28.20,7.94,51.78,64.72,22.54,61.98,7.41,29.30
Myanmar,MMR,1995,23.18,168,34.38,165,51.39,0.00,18.32,2.91,18.16,,,,,,17.49,38.91,,,28.20,7.00,51.18,64.72,21.43,61.98,7.11,27.20
