Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Montenegro,MNE,2022,69.56,60,69.25,66,80.56,78.95,57.39,75.23,73.03,76.74,82.07,86.20,70.57,78.90,46.86,61.38,47.81,70.97,56.76,68.12,83.79,67.76,58.54,72.63,64.68,
Montenegro,MNE,2021,69.56,60,69.25,66,80.56,78.95,57.39,75.23,73.03,76.74,82.07,86.20,70.57,78.90,46.86,61.38,47.81,70.97,56.76,68.12,83.79,67.76,58.54,72.63,64.68,
Montenegro,MNE,2020,66.48,72,68.60,67,66.67,78.95,57.39,75.23,69.56,77.30,74.13,81.87,59.48,73.20,46.08,63.19,44.11,73.36,56.68,65.98,83.79,67.76,58.54,70.88,64.68,
Montenegro,MNE,2019,68.35,62,70.04,62,66.67,78.95,51.70,88.55,71.47,76.61,82.60,80.33,56.79,74.08,48.39,65.76,49.67,74.23,59.51,68.95,85.19,67.76,58.54,75.69,64.08,
Montenegro,MNE,2018,68.10,64,72.13,57,66.67,78.95,51.42,88.45,71.37,77.88,82.60,77.96,56.58,73.76,48.37,65.29,48.25,74.79,59.17,68.23,85.49,67.76,57.46,90.15,63.70,
Montenegro,MNE,2017,68.38,65,71.53,56,66.67,78.95,49.12,88.45,70.80,77.17,87.86,77.96,57.51,75.13,48.46,63.22,48.25,76.91,59.21,67.33,84.83,67.52,56.18,90.15,63.18,
Montenegro,MNE,2016,68.43,64,70.44,59,66.67,73.68,47.90,86.58,68.71,77.44,88.81,78.68,59.59,76.13,48.12,69.99,48.25,75.41,60.44,66.50,84.74,63.79,55.38,90.15,62.06,
Montenegro,MNE,2015,67.87,64,69.95,60,66.67,68.42,47.08,86.68,67.21,77.59,88.81,78.68,60.73,76.45,47.96,67.24,48.25,76.30,59.94,65.98,84.76,62.62,54.62,90.15,61.58,
Montenegro,MNE,2014,68.46,62,69.84,60,66.67,68.42,51.29,87.62,68.50,77.59,88.81,78.68,59.90,76.25,49.17,68.84,48.25,76.30,60.64,65.39,84.74,63.08,54.59,90.15,61.11,
Montenegro,MNE,2013,67.21,66,69.70,60,66.67,57.89,51.29,80.33,64.05,78.46,88.81,78.68,59.90,76.46,45.30,74.61,48.25,76.30,61.12,65.09,84.83,62.62,54.84,90.15,60.65,
