Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Mongolia,MNG,2022,69.31,61,70.11,62,87.50,52.63,60.24,67.01,66.85,85.14,85.19,88.57,69.74,82.16,36.19,77.64,48.61,73.21,58.91,57.97,72.83,77.34,66.73,76.66,49.54,89.75
Mongolia,MNG,2021,69.31,61,70.11,62,87.50,52.63,60.24,67.01,66.85,85.14,85.19,88.57,69.74,82.16,36.19,77.64,48.61,73.21,58.91,57.97,72.83,77.34,66.73,76.66,49.54,89.75
Mongolia,MNG,2020,70.92,59,70.06,61,87.50,52.63,60.24,67.01,66.85,85.74,86.68,91.45,81.04,86.23,37.88,79.00,48.61,73.22,59.68,57.99,72.83,77.34,66.73,76.66,49.54,89.36
Mongolia,MNG,2019,71.71,59,70.95,59,87.50,52.63,59.84,73.26,68.31,85.99,89.17,92.38,80.00,86.89,40.12,77.24,48.61,73.73,59.92,59.13,72.48,77.34,66.73,82.29,49.87,88.83
Mongolia,MNG,2018,70.53,58,71.79,59,81.94,47.37,60.92,73.67,65.98,86.31,86.72,92.38,71.61,84.25,39.92,81.27,48.61,75.61,61.35,58.46,72.14,77.34,67.66,87.94,50.05,88.96
Mongolia,MNG,2017,70.47,58,70.67,59,81.94,47.37,61.60,73.05,65.99,87.13,87.00,91.97,72.54,84.66,39.29,80.37,48.61,74.72,60.75,57.43,71.80,78.27,68.15,79.92,50.22,88.90
Mongolia,MNG,2016,70.85,59,71.62,56,81.94,47.37,61.06,74.09,66.12,89.16,86.71,92.07,75.75,85.92,40.74,80.55,48.61,72.13,60.51,56.78,71.45,78.27,68.28,87.11,50.40,89.03
Mongolia,MNG,2015,71.20,59,71.75,54,81.94,52.63,61.33,74.92,67.71,89.49,86.51,91.66,79.17,86.71,37.28,78.90,48.61,72.00,59.20,56.86,71.06,78.97,68.60,87.11,50.58,89.09
Mongolia,MNG,2014,71.49,58,70.69,56,81.94,52.63,59.84,77.73,68.04,89.60,86.51,92.07,78.34,86.63,37.23,80.43,48.61,72.96,59.81,56.79,70.60,78.97,68.01,79.99,50.75,89.68
Mongolia,MNG,2013,70.91,58,69.71,59,81.94,52.63,59.16,75.13,67.22,89.49,88.53,92.07,78.34,87.11,35.98,74.34,50.30,72.96,58.40,55.78,70.04,74.77,66.88,79.99,50.92,89.55
Mongolia,MNG,2012,71.96,56,70.38,56,81.94,52.63,59.57,73.99,67.03,89.40,90.83,93.31,84.15,89.42,34.42,73.93,57.99,71.39,59.43,54.16,69.39,74.77,65.83,87.84,51.09,89.55
