Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Mozambique,MOZ,2022,52.77,114,46.35,170,75.00,36.84,38.94,63.27,53.51,71.75,58.70,65.40,51.19,61.76,29.90,39.53,40.04,62.65,43.03,17.25,56.65,27.57,68.66,78.96,10.86,64.52
Mozambique,MOZ,2021,52.77,113,46.35,170,75.00,36.84,38.94,63.27,53.51,71.75,58.70,65.40,51.19,61.76,29.90,39.53,40.04,62.65,43.03,17.25,56.65,27.57,68.66,78.96,10.86,64.52
Mozambique,MOZ,2020,52.47,117,46.04,170,75.00,36.84,38.94,63.27,53.51,72.45,59.89,66.94,45.18,61.12,30.32,38.12,40.04,62.67,42.78,17.37,56.65,27.57,68.66,78.93,10.86,62.29
Mozambique,MOZ,2019,54.86,111,46.71,170,75.00,36.84,38.40,71.90,55.54,74.32,57.41,70.24,55.03,64.25,28.32,49.22,41.41,60.24,44.80,18.11,55.65,27.57,68.66,83.71,10.86,62.42
Mozambique,MOZ,2018,55.22,109,47.30,169,75.00,36.84,37.45,71.90,55.30,74.83,56.40,68.59,57.72,64.38,28.56,47.70,42.25,65.37,45.97,18.22,54.36,27.57,68.10,83.71,10.48,68.66
Mozambique,MOZ,2017,56.39,105,46.78,169,75.00,36.84,38.67,72.32,55.71,74.80,61.19,73.53,54.92,66.11,28.02,45.59,48.72,67.02,47.34,18.14,52.77,27.57,67.18,83.71,10.11,68.00
Mozambique,MOZ,2016,56.25,104,46.07,169,75.00,36.84,36.23,63.16,52.81,75.26,67.18,78.06,55.44,68.99,27.73,42.24,52.16,65.72,46.96,18.00,50.90,27.57,65.81,81.91,10.28,68.00
Mozambique,MOZ,2015,58.49,99,45.94,168,75.00,42.11,36.23,63.06,54.10,75.36,68.01,80.33,56.99,70.17,30.31,53.99,53.98,66.54,51.20,17.84,48.84,27.57,64.21,81.91,10.44,70.76
Mozambique,MOZ,2014,59.80,96,46.39,167,75.00,47.37,36.64,63.48,55.62,75.35,69.95,78.99,56.58,70.22,31.74,57.59,56.82,68.07,53.56,17.18,46.71,27.57,62.83,88.42,9.93,72.08
Mozambique,MOZ,2013,60.52,91,48.35,161,75.00,52.63,35.41,65.24,57.07,75.40,73.50,79.61,51.19,69.93,33.61,59.80,56.82,68.07,54.58,16.39,44.63,47.20,61.49,88.42,9.50,70.83
Mozambique,MOZ,2012,62.18,88,46.76,162,75.00,57.89,36.77,64.72,58.60,75.38,76.82,77.86,51.19,70.31,33.80,72.30,56.82,67.55,57.62,15.68,42.73,47.20,60.17,82.83,8.47,70.24
Mozambique,MOZ,2011,61.18,90,45.85,162,75.00,47.37,37.31,63.37,55.76,75.38,76.49,77.86,51.19,70.23,34.68,71.12,56.82,67.55,57.54,14.91,41.07,47.20,59.36,82.83,8.14,67.41
Mozambique,MOZ,2010,61.84,86,45.46,160,75.00,52.63,37.72,63.68,57.26,75.27,76.21,77.86,51.19,70.13,35.70,72.38,56.82,67.55,58.11,14.12,39.70,47.20,58.08,86.07,7.91,65.11
Mozambique,MOZ,2009,62.02,81,44.92,161,75.00,52.63,37.31,62.23,56.79,77.65,75.80,78.68,48.50,70.16,35.96,77.05,56.82,66.58,59.11,13.48,38.64,47.20,56.93,86.07,7.28,64.85
Mozambique,MOZ,2008,60.59,88,44.52,158,63.89,52.63,35.01,62.75,53.57,77.70,76.24,79.09,48.50,70.38,35.72,72.15,56.82,66.58,57.82,12.87,37.80,47.20,55.67,86.07,7.00,65.05
Mozambique,MOZ,2007,60.44,84,43.39,161,63.89,52.63,33.24,62.23,53.00,78.35,76.24,79.40,48.50,70.62,35.52,71.63,56.82,66.76,57.69,12.09,37.14,43.93,54.92,86.07,6.49,63.07
Mozambique,MOZ,2006,60.26,86,42.86,160,63.89,52.63,33.51,59.31,52.34,78.35,76.24,79.09,48.50,70.55,33.04,74.92,56.82,66.76,57.89,11.25,36.59,43.93,54.16,86.07,5.85,62.16
Mozambique,MOZ,2005,59.94,85,42.56,158,51.39,73.68,27.14,59.11,52.83,78.35,76.24,78.99,48.50,70.52,35.35,66.94,56.82,66.76,56.47,10.09,36.12,43.93,54.67,86.07,5.48,61.56
Mozambique,MOZ,2004,58.65,92,41.99,159,51.39,73.68,16.01,58.79,49.97,75.93,76.66,78.99,48.50,70.02,33.89,64.46,56.82,68.71,55.97,9.45,35.66,43.93,53.55,86.07,4.81,60.45
Mozambique,MOZ,2003,58.99,92,41.40,158,51.39,73.68,15.88,57.54,49.62,75.67,76.66,78.99,48.50,69.95,34.11,69.37,56.82,69.26,57.39,8.61,35.19,43.93,52.19,86.07,4.34,59.46
Mozambique,MOZ,2002,58.99,91,40.80,157,51.39,73.68,15.88,57.54,49.62,75.67,76.66,78.17,48.50,69.75,36.85,68.21,56.82,68.47,57.59,7.95,34.66,43.93,50.12,86.07,3.88,59.00
Mozambique,MOZ,2001,56.70,94,37.74,163,51.39,52.63,15.88,57.54,44.36,75.67,76.66,78.17,48.50,69.75,35.86,61.85,56.82,69.44,55.99,6.88,34.08,28.50,48.21,86.07,3.41,57.03
Mozambique,MOZ,2000,56.70,94,37.03,164,51.39,52.63,15.88,57.54,44.36,75.67,76.66,78.17,48.50,69.75,35.86,61.85,56.82,69.44,55.99,5.33,33.43,28.50,45.68,86.07,2.94,57.29
Mozambique,MOZ,1999,54.57,97,36.02,166,51.39,31.58,15.88,57.54,39.10,76.70,71.61,77.96,48.50,68.69,37.74,66.66,56.82,62.44,55.92,5.60,32.73,28.50,44.40,86.07,2.58,52.30
Mozambique,MOZ,1998,54.67,97,35.31,167,51.39,31.58,15.88,57.54,39.10,77.89,71.61,77.96,48.50,68.99,37.74,66.66,56.82,62.44,55.92,4.06,32.02,28.50,43.02,86.07,2.28,51.25
Mozambique,MOZ,1997,54.62,97,34.63,167,51.39,31.58,15.88,57.54,39.10,77.69,71.61,77.96,48.50,68.94,40.70,63.38,56.82,62.44,55.84,2.81,31.34,28.50,41.40,86.07,1.99,50.33
Mozambique,MOZ,1996,55.23,92,33.91,167,51.39,31.58,15.88,57.54,39.10,77.79,71.61,77.96,48.50,68.97,40.70,63.38,64.04,62.44,57.64,1.37,30.67,28.50,39.65,86.07,1.72,49.41
Mozambique,MOZ,1995,55.34,95,33.24,167,51.39,31.58,15.88,57.54,39.10,77.79,71.61,79.20,48.50,69.27,40.70,63.38,64.04,62.44,57.64,0.00,30.02,28.50,38.01,86.07,1.45,48.62
