Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Mauritania,MRT,2022,46.73,130,54.06,137,40.28,52.63,25.37,60.87,44.79,76.21,56.72,61.17,32.64,56.69,30.12,50.82,41.33,32.62,38.72,42.96,63.63,77.57,78.02,32.11,15.65,68.46
Mauritania,MRT,2021,46.73,130,54.06,138,40.28,52.63,25.37,60.87,44.79,76.21,56.72,61.17,32.64,56.69,30.12,50.82,41.33,32.62,38.72,42.96,63.63,77.57,78.02,32.11,15.65,68.46
Mauritania,MRT,2020,47.77,128,56.19,129,40.28,52.63,25.37,60.87,44.79,77.61,65.43,61.38,35.75,60.04,29.68,49.81,41.33,33.03,38.46,43.03,63.63,77.57,78.02,48.26,15.65,67.15
Mauritania,MRT,2019,48.04,129,56.30,129,40.28,52.63,26.19,69.72,47.20,78.70,67.59,66.53,15.34,57.04,31.46,52.88,41.33,33.89,39.89,43.84,63.25,77.57,78.02,48.26,15.65,67.54
Mauritania,MRT,2018,45.73,134,54.13,138,40.28,52.63,25.51,61.91,45.08,78.55,53.78,58.81,9.84,50.24,29.94,51.65,50.30,35.55,41.86,43.32,62.84,77.57,77.45,36.72,14.81,66.23
Mauritania,MRT,2017,44.02,137,53.24,141,40.28,52.63,24.56,61.08,44.64,77.58,53.93,57.36,9.84,49.68,30.64,51.70,35.62,33.02,37.75,43.02,62.39,77.57,76.64,28.51,13.58,70.96
Mauritania,MRT,2016,45.53,136,52.98,144,40.28,52.63,24.02,60.15,44.27,79.76,63.35,69.31,16.37,57.20,30.32,49.27,35.62,25.23,35.11,42.44,61.91,77.57,76.09,28.51,13.27,71.09
Mauritania,MRT,2015,45.01,136,52.80,144,40.28,52.63,19.40,60.56,43.22,79.76,63.35,69.31,16.37,57.20,26.09,51.48,35.62,25.23,34.61,42.72,61.40,77.57,74.77,28.51,13.57,71.02
Mauritania,MRT,2014,45.64,133,52.61,144,40.28,52.63,20.62,65.04,44.64,79.53,63.35,70.34,16.37,57.40,26.20,52.46,35.62,25.23,34.88,42.30,60.88,77.57,74.13,28.51,12.90,72.01
Mauritania,MRT,2013,44.67,136,52.55,140,40.28,47.37,20.62,61.81,42.52,79.20,63.12,72.40,16.37,57.78,27.17,43.85,35.62,28.26,33.72,42.08,60.34,70.33,72.69,37.44,12.24,72.73
Mauritania,MRT,2012,48.41,125,52.15,139,40.28,42.11,22.39,62.64,41.85,81.88,75.40,81.46,21.66,65.10,28.59,41.43,50.10,32.97,38.27,41.87,59.80,70.33,72.05,37.44,11.40,72.14
Mauritania,MRT,2011,47.83,125,51.79,140,40.28,31.58,23.88,64.52,40.06,81.65,75.40,81.46,21.66,65.04,29.83,40.63,50.10,32.97,38.38,41.62,59.28,70.33,72.00,37.44,10.47,71.42
Mauritania,MRT,2010,47.47,124,51.22,138,40.28,31.58,23.34,60.98,39.04,81.65,75.40,81.46,20.52,64.76,28.77,42.60,50.10,32.97,38.61,41.41,58.77,70.33,71.35,37.44,9.98,69.25
Mauritania,MRT,2009,49.60,120,50.67,137,40.28,52.63,23.07,60.15,44.03,76.32,75.40,82.18,24.35,64.56,30.58,46.52,50.10,33.61,40.20,41.47,58.29,70.33,70.10,37.44,9.63,67.48
Mauritania,MRT,2008,49.20,121,50.59,135,40.28,63.16,24.83,61.50,47.44,53.40,76.28,82.29,24.35,59.08,27.79,51.36,51.93,33.24,41.08,41.98,57.82,70.33,69.74,37.44,8.77,68.07
Mauritania,MRT,2007,54.01,109,48.73,142,40.28,63.16,26.59,60.87,47.73,83.60,78.04,83.63,32.64,69.48,30.99,58.74,51.93,37.71,44.84,42.56,57.37,59.81,68.37,37.44,8.70,66.89
Mauritania,MRT,2006,50.21,117,48.47,141,40.28,73.68,28.22,59.73,50.48,48.05,74.59,83.63,12.64,54.73,29.17,69.26,45.85,37.37,45.41,43.44,56.95,59.81,66.68,37.44,8.62,66.36
