Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Mauritius,MUS,2022,77.13,41,74.50,46,88.89,84.21,72.05,80.12,81.32,87.80,80.22,81.26,78.65,81.98,61.08,81.72,53.61,75.94,68.08,67.84,80.52,67.76,84.15,82.81,55.62,82.79
Mauritius,MUS,2021,77.13,39,74.50,46,88.89,84.21,72.05,80.12,81.32,87.80,80.22,81.26,78.65,81.98,61.08,81.72,53.61,75.94,68.08,67.84,80.52,67.76,84.15,82.81,55.62,82.79
Mauritius,MUS,2020,77.96,40,74.33,47,88.89,84.21,72.05,80.12,81.32,84.93,82.67,85.27,82.28,83.79,61.41,82.26,53.61,77.81,68.77,67.13,80.52,67.76,84.15,82.76,55.62,82.39
Mauritius,MUS,2019,81.82,32,74.71,44,88.89,84.21,70.96,88.76,83.21,92.64,90.03,92.79,88.70,91.04,58.93,80.78,61.00,84.13,71.21,70.03,80.63,67.76,84.15,82.76,55.62,82.00
Mauritius,MUS,2018,81.90,31,74.53,45,88.89,84.21,70.69,88.76,83.14,93.94,90.04,94.13,86.22,91.08,59.04,81.98,61.00,83.96,71.49,69.50,80.96,67.76,84.59,82.76,54.00,82.13
Mauritius,MUS,2017,81.59,33,73.84,45,88.89,84.21,69.34,88.66,82.77,93.94,87.86,93.20,84.97,89.99,59.40,84.05,61.00,83.51,71.99,68.85,81.15,67.76,85.20,79.25,52.42,82.26
Mauritius,MUS,2016,81.85,32,72.15,54,83.33,84.21,67.98,88.14,80.91,94.33,91.98,92.79,88.91,92.00,59.42,84.91,67.22,79.04,72.65,68.19,80.92,63.79,85.55,72.80,51.24,82.59
Mauritius,MUS,2015,81.99,32,71.94,53,83.33,89.47,62.69,87.62,80.78,94.33,91.98,92.79,88.91,92.00,61.83,84.61,67.22,79.04,73.17,67.52,80.85,63.79,85.85,72.80,49.81,82.98
Mauritius,MUS,2014,80.67,34,73.65,46,83.33,89.47,56.58,88.45,79.46,92.79,90.55,91.56,88.91,90.95,62.51,77.92,67.22,78.72,71.59,66.92,80.55,63.79,85.99,85.22,49.40,83.71
Mauritius,MUS,2013,81.46,33,73.15,47,76.39,94.74,56.85,87.41,78.85,93.34,90.35,92.07,89.33,91.27,59.34,83.52,71.69,82.43,74.25,66.29,80.22,63.79,86.42,85.22,46.50,83.64
Mauritius,MUS,2012,81.98,31,72.97,49,76.39,94.74,56.85,88.03,79.00,93.34,91.88,93.61,88.19,91.75,60.64,84.06,71.69,84.36,75.19,65.73,79.93,63.79,86.28,85.22,45.25,84.63
Mauritius,MUS,2011,82.02,32,73.28,47,76.39,94.74,56.72,88.35,79.05,93.34,91.88,93.61,88.19,91.75,61.42,83.56,71.69,84.36,75.26,65.16,78.82,70.33,86.48,85.22,42.64,84.30
Mauritius,MUS,2010,80.94,32,72.64,46,76.39,89.47,55.63,88.14,77.41,93.46,91.10,93.61,88.19,91.59,61.87,77.36,71.69,84.40,73.83,64.47,78.26,70.33,86.22,85.22,40.99,82.98
Mauritius,MUS,2009,78.72,36,71.28,50,58.33,84.21,55.09,88.87,71.62,92.85,91.57,92.17,87.15,90.94,60.58,78.72,71.69,83.36,73.59,63.74,78.10,70.33,85.84,78.98,39.68,82.33
Mauritius,MUS,2008,77.93,40,71.10,51,58.33,73.68,52.92,88.45,68.35,92.85,91.57,92.17,87.15,90.94,60.58,82.42,71.69,83.36,74.51,63.20,77.52,70.33,85.71,78.98,37.97,83.97
Mauritius,MUS,2007,77.56,39,70.66,50,58.33,73.68,48.58,88.76,67.34,92.85,91.57,92.17,88.70,91.33,58.78,82.20,71.69,83.36,74.01,62.32,77.52,70.33,85.70,78.98,36.70,83.05
Mauritius,MUS,2006,76.75,40,69.97,50,58.33,73.68,43.15,87.93,65.77,92.85,91.57,92.17,88.70,91.33,57.36,80.20,71.69,83.36,73.15,61.40,77.26,70.33,84.95,78.98,35.45,81.41
Mauritius,MUS,2005,75.39,42,69.55,50,58.33,52.63,46.81,85.74,60.88,92.50,91.57,92.28,88.70,91.26,55.86,85.20,71.69,83.36,74.03,60.63,77.26,70.33,84.62,78.98,34.18,80.88
Mauritius,MUS,2004,73.89,44,69.16,49,58.33,52.63,40.03,74.40,56.35,92.17,92.51,92.89,88.70,91.57,55.89,84.12,71.69,83.36,73.77,60.42,76.95,70.33,84.81,78.98,32.18,80.49
Mauritius,MUS,2003,74.11,45,68.78,49,58.33,52.63,40.03,75.34,56.58,92.17,92.51,92.89,88.70,91.57,56.85,84.83,71.69,83.36,74.18,59.77,76.67,70.33,84.68,78.98,30.82,80.22
Mauritius,MUS,2002,74.13,44,68.37,49,58.33,52.63,42.88,72.84,56.67,92.17,92.51,92.89,88.70,91.57,54.59,87.00,71.69,83.36,74.16,58.86,76.39,70.33,84.96,78.98,29.22,79.83
Mauritius,MUS,2001,73.72,45,68.22,50,58.33,52.63,44.10,75.34,57.60,91.75,92.51,92.89,88.70,91.47,53.71,79.67,71.69,83.36,72.11,58.70,76.02,70.33,85.43,78.98,28.27,79.83
Mauritius,MUS,2000,73.67,45,67.83,48,58.33,52.63,45.45,73.15,57.39,91.90,92.51,92.89,88.70,91.50,53.71,79.67,71.69,83.36,72.11,58.25,75.83,70.33,85.44,78.98,26.68,79.30
Mauritius,MUS,1999,73.12,45,67.20,51,58.33,52.63,43.42,71.07,56.36,91.93,92.51,92.48,85.08,90.50,52.88,83.99,71.69,81.41,72.49,57.00,74.51,70.33,85.21,78.98,26.19,78.19
Mauritius,MUS,1998,72.94,44,66.90,47,58.33,52.63,43.42,71.07,56.36,91.93,91.52,92.48,85.08,90.25,52.88,83.99,71.69,80.23,72.20,56.77,73.85,70.33,85.20,78.98,25.35,77.79
Mauritius,MUS,1997,72.86,44,66.47,47,58.33,52.63,43.42,71.07,56.36,91.93,91.52,92.48,85.08,90.25,49.49,86.45,71.69,80.23,71.97,55.90,73.48,70.33,84.43,78.98,24.53,77.66
Mauritius,MUS,1996,72.86,44,66.31,47,58.33,52.63,43.42,71.07,56.36,91.93,91.52,92.48,85.08,90.25,49.49,86.45,71.69,80.23,71.97,55.12,73.32,70.33,85.01,78.98,23.99,77.40
Mauritius,MUS,1995,72.85,43,66.11,47,58.33,52.63,43.42,71.07,56.36,91.85,91.52,92.48,85.08,90.23,49.49,86.45,71.69,80.23,71.97,54.33,73.33,70.33,85.06,78.98,23.51,77.27
