Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Malawi,MWI,2022,68.03,66,56.36,126,63.89,52.63,44.78,47.45,52.19,86.93,87.62,84.96,93.16,88.17,35.71,62.11,75.04,82.08,63.74,21.06,62.82,63.79,74.77,83.18,19.51,69.38
Malawi,MWI,2021,68.03,66,56.36,127,63.89,52.63,44.78,47.45,52.19,86.93,87.62,84.96,93.16,88.17,35.71,62.11,75.04,82.08,63.74,21.06,62.82,63.79,74.77,83.18,19.51,69.38
Malawi,MWI,2020,66.91,68,56.22,128,63.89,52.63,44.78,47.45,52.19,83.11,88.95,83.42,90.36,86.46,34.61,62.13,75.04,76.53,62.08,21.05,62.82,63.79,74.77,83.13,19.51,68.46
Malawi,MWI,2019,65.44,74,55.93,130,63.89,52.63,43.15,52.03,52.92,79.97,83.32,83.01,93.58,84.97,30.22,58.72,70.51,74.28,58.43,21.38,62.01,63.79,74.77,81.59,19.51,68.46
Malawi,MWI,2018,65.75,75,52.59,150,63.89,52.63,50.07,50.68,54.32,83.31,82.74,83.01,93.26,85.58,30.57,55.64,70.51,72.67,57.35,20.90,61.15,49.30,74.13,81.59,18.72,62.35
Malawi,MWI,2017,67.85,66,52.20,152,63.89,57.89,45.45,67.64,58.72,83.13,79.88,85.79,91.19,85.00,32.25,59.31,71.90,75.94,59.85,20.60,60.18,49.30,73.45,81.59,17.95,62.35
Malawi,MWI,2016,66.18,73,52.82,145,63.89,57.89,44.50,59.42,56.43,82.64,75.53,85.48,88.39,83.01,30.45,62.09,69.04,74.84,59.11,20.38,59.06,49.30,72.10,88.99,17.20,62.68
Malawi,MWI,2015,66.43,71,52.18,145,58.33,57.89,44.64,58.48,54.84,82.00,80.73,86.71,86.84,84.07,30.88,65.04,69.04,76.51,60.37,20.42,57.70,47.43,70.95,88.99,16.48,63.27
Malawi,MWI,2014,65.38,74,51.79,147,58.33,52.63,49.80,58.48,54.81,83.00,74.72,85.38,86.32,82.35,31.56,66.03,61.26,77.06,58.98,20.42,56.00,47.43,69.78,88.99,16.05,63.86
Malawi,MWI,2013,65.15,74,51.08,147,58.33,52.63,50.34,62.12,55.86,83.72,74.72,85.58,80.93,81.24,34.70,60.23,61.26,77.26,58.36,19.93,53.93,47.43,68.34,88.99,15.63,63.34
Malawi,MWI,2012,64.84,75,50.07,148,58.33,52.63,49.53,61.39,55.47,82.74,73.87,78.68,80.31,78.90,36.31,64.34,63.61,76.34,60.15,19.53,51.50,47.43,66.75,86.17,15.22,63.86
Malawi,MWI,2011,64.55,76,49.67,148,58.33,52.63,49.25,64.41,56.16,82.46,73.30,76.31,78.13,77.55,37.28,62.92,63.61,75.90,59.93,19.71,48.76,47.43,65.20,86.17,14.82,65.64
Malawi,MWI,2010,64.67,75,48.95,147,58.33,52.63,51.83,59.83,55.66,82.46,74.46,76.42,78.13,77.87,36.60,65.28,63.61,76.39,60.47,19.37,45.78,47.43,64.04,86.17,14.51,65.37
Malawi,MWI,2009,65.07,74,49.31,145,58.33,52.63,53.87,59.52,56.09,80.36,71.95,78.27,81.35,77.98,36.85,65.48,65.94,76.30,61.14,18.69,42.65,60.51,62.98,82.22,13.43,64.65
Malawi,MWI,2008,64.55,73,48.42,146,58.33,52.63,52.10,59.52,55.65,77.38,71.95,78.99,82.80,77.78,35.90,63.16,64.45,77.37,60.22,17.76,39.51,60.51,61.68,82.22,12.39,64.85
Malawi,MWI,2007,64.39,71,46.69,149,58.33,52.63,52.10,53.90,54.24,77.38,72.96,78.99,83.83,78.29,35.25,66.06,65.33,75.95,60.65,16.95,36.50,60.51,59.40,78.33,11.38,63.73
Malawi,MWI,2006,64.33,69,45.57,150,58.33,52.63,53.46,53.59,54.50,77.38,73.14,78.99,83.83,78.34,31.53,66.82,65.33,76.93,60.16,15.80,33.75,60.51,56.91,78.33,10.97,62.68
Malawi,MWI,2005,63.05,72,44.78,148,51.39,52.63,48.58,53.69,51.57,77.05,72.70,78.27,83.83,77.96,30.32,66.55,65.33,76.25,59.61,15.47,31.37,60.51,54.79,78.33,10.27,62.75
Malawi,MWI,2004,62.23,74,45.03,147,51.39,52.63,43.55,55.36,50.73,78.30,65.03,76.42,83.83,75.89,29.02,66.90,67.40,76.89,60.05,15.36,29.46,60.51,52.06,85.21,10.19,62.42
Malawi,MWI,2003,61.84,76,35.68,170,51.39,52.63,45.59,60.46,52.52,78.41,61.43,73.64,83.83,74.33,30.33,65.23,67.40,71.75,58.68,14.85,28.02,0.00,49.53,85.21,10.32,61.83
Malawi,MWI,2002,61.51,79,35.06,170,51.39,52.63,45.32,61.81,52.79,78.41,61.43,73.64,83.83,74.33,27.51,64.56,67.40,70.15,57.40,14.29,27.03,0.00,47.36,85.21,10.43,61.10
Malawi,MWI,2001,62.35,75,32.30,170,51.39,52.63,46.40,62.33,53.19,78.41,63.87,73.64,83.83,74.94,40.75,57.81,67.40,69.70,58.91,14.42,26.44,0.00,44.98,70.46,10.24,59.53
Malawi,MWI,2000,60.00,84,31.92,170,31.94,52.63,45.32,59.94,47.46,78.41,57.92,73.64,83.83,73.45,40.75,57.81,67.40,70.45,59.10,15.79,26.23,0.00,42.28,70.46,9.66,59.00
Malawi,MWI,1999,60.74,80,31.40,171,31.94,52.63,45.32,59.94,47.46,81.47,56.50,72.40,83.83,73.55,40.56,62.98,67.40,73.91,61.21,15.99,26.31,0.00,40.77,70.46,10.12,56.11
