Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Namibia,NAM,2022,72.88,50,58.07,120,76.39,68.42,63.91,53.69,65.60,87.85,86.51,88.47,75.75,84.64,50.59,75.48,66.62,80.83,68.38,53.08,61.61,15.65,77.75,91.48,29.79,77.14
Namibia,NAM,2021,72.88,50,58.07,120,76.39,68.42,63.91,53.69,65.60,87.85,86.51,88.47,75.75,84.64,50.59,75.48,66.62,80.83,68.38,53.08,61.61,15.65,77.75,91.48,29.79,77.14
Namibia,NAM,2020,73.04,52,57.97,122,76.39,68.42,63.91,53.69,65.60,87.98,86.51,89.39,75.23,84.78,51.19,75.11,66.62,82.05,68.74,52.97,61.61,15.65,77.75,91.53,29.79,76.48
Namibia,NAM,2019,73.12,54,57.80,123,76.39,68.42,63.09,64.20,68.03,90.47,85.68,86.82,71.50,83.62,52.25,75.12,66.62,76.91,67.72,54.78,60.98,15.65,77.75,89.31,29.79,76.35
Namibia,NAM,2018,74.50,50,57.62,122,76.39,68.42,64.18,61.60,67.65,90.83,85.73,89.08,71.92,84.39,52.39,78.39,70.23,84.86,71.47,55.28,60.35,15.65,77.02,89.31,29.50,76.22
Namibia,NAM,2017,74.49,49,57.61,122,76.39,68.42,65.26,60.98,67.76,92.52,85.00,89.70,65.39,83.15,53.01,77.11,75.45,84.69,72.57,55.43,59.70,15.65,76.31,89.31,29.21,77.66
Namibia,NAM,2016,74.76,48,56.55,125,76.39,63.16,65.26,63.68,67.12,90.77,87.87,92.58,70.36,85.40,52.92,78.77,69.70,85.67,71.76,55.96,58.96,15.65,75.66,82.74,28.93,77.92
Namibia,NAM,2015,74.32,50,56.24,126,76.39,57.89,65.54,62.33,65.54,90.72,87.87,92.38,70.36,85.33,53.80,79.24,69.70,85.67,72.10,56.28,58.01,15.65,75.14,82.74,28.64,77.20
Namibia,NAM,2014,72.82,55,56.32,125,76.39,52.63,61.06,61.39,62.87,87.68,87.87,92.07,70.36,84.50,52.31,76.72,69.70,85.67,71.10,55.86,56.72,11.21,74.68,90.90,28.08,76.81
Namibia,NAM,2013,73.57,49,55.81,126,76.39,52.63,60.79,62.75,63.14,87.45,87.87,92.07,70.36,84.44,53.30,83.81,69.70,85.67,73.12,55.11,55.01,11.21,74.20,90.90,27.52,76.68
Namibia,NAM,2012,73.67,50,55.32,127,76.39,52.63,61.19,62.02,63.06,87.28,87.85,91.56,72.44,84.78,53.17,84.20,69.70,85.58,73.16,54.44,52.91,11.21,73.72,90.90,26.97,77.07
Namibia,NAM,2011,74.25,48,54.69,128,76.39,57.89,64.04,63.79,65.53,87.28,87.85,91.56,72.44,84.78,51.59,82.85,69.70,85.69,72.46,53.87,50.48,11.21,72.89,90.90,26.41,77.07
Namibia,NAM,2010,74.02,48,53.82,128,76.39,52.63,66.62,64.00,64.91,87.05,87.85,91.56,72.44,84.72,52.24,81.54,69.70,86.26,72.44,53.29,47.83,11.21,71.79,90.90,25.86,75.82
Namibia,NAM,2009,73.31,51,53.15,127,76.39,42.11,70.28,61.91,62.67,88.45,86.41,90.83,72.44,84.53,52.28,83.21,69.70,85.70,72.72,52.56,45.11,11.21,71.12,90.90,25.57,75.56
Namibia,NAM,2008,72.80,51,51.90,130,69.44,31.58,70.28,62.43,58.44,88.60,86.02,90.83,72.44,84.47,57.87,88.71,69.70,85.70,75.49,52.83,42.52,5.84,70.26,90.90,25.28,75.69
Namibia,NAM,2007,72.72,50,51.07,130,69.44,42.11,68.79,61.50,60.46,88.47,86.02,90.83,72.44,84.44,52.62,85.02,69.70,85.70,73.26,52.69,40.23,5.84,69.18,90.90,24.99,73.65
Namibia,NAM,2006,72.52,51,50.44,129,69.44,52.63,64.99,58.48,61.39,88.47,86.02,91.25,72.44,84.54,50.94,80.23,69.70,85.70,71.64,52.07,38.40,5.84,68.08,90.90,24.62,73.19
Namibia,NAM,2005,72.40,50,49.75,129,69.44,52.63,65.54,61.08,62.17,88.47,86.02,91.25,72.44,84.54,49.50,77.07,69.70,85.70,70.49,51.14,37.13,5.84,66.84,90.90,24.72,71.68
Namibia,NAM,2004,71.95,50,49.47,129,69.44,52.63,62.82,59.11,61.00,87.96,86.02,91.25,72.44,84.42,49.76,77.85,69.70,84.36,70.42,50.98,36.51,5.84,65.82,90.90,24.58,71.68
Namibia,NAM,2003,74.22,44,48.89,130,69.44,73.68,67.03,63.48,68.41,87.84,86.02,91.14,72.44,84.36,51.81,74.07,69.70,83.94,69.88,49.16,36.49,5.84,64.73,90.90,24.45,70.63
Namibia,NAM,2002,73.18,46,48.53,131,69.44,73.68,64.59,62.54,67.56,87.84,86.02,90.83,72.44,84.28,50.11,67.40,69.70,83.58,67.70,48.68,37.00,5.84,63.86,90.90,23.90,69.51
Namibia,NAM,2001,73.50,46,48.50,131,69.44,73.68,66.08,62.54,67.94,87.84,86.02,90.83,72.44,84.28,58.82,59.33,69.70,85.28,68.28,48.11,38.00,5.84,63.70,90.90,23.83,69.12
Namibia,NAM,2000,73.26,46,48.47,129,69.44,73.68,66.62,62.12,67.97,87.84,84.74,91.35,72.44,84.09,58.82,59.33,69.70,83.06,67.73,48.19,39.48,5.84,62.82,90.90,23.38,68.66
Namibia,NAM,1999,74.70,42,48.68,125,69.44,73.68,66.62,62.12,67.97,88.55,84.74,91.04,72.44,84.19,58.46,74.63,69.70,84.92,71.93,47.88,41.42,5.84,63.04,90.90,22.92,68.73
Namibia,NAM,1998,74.81,42,49.03,122,69.44,73.68,66.62,62.12,67.97,88.60,86.07,91.04,72.44,84.54,58.46,74.63,69.70,84.92,71.93,47.62,43.72,5.84,63.27,90.90,23.39,68.46
Namibia,NAM,1997,75.59,40,49.30,123,69.44,73.68,66.62,62.12,67.97,88.60,86.07,91.04,72.44,84.54,60.69,81.69,69.70,84.92,74.25,47.39,46.23,5.84,63.46,90.90,23.09,68.20
Namibia,NAM,1996,74.08,42,49.56,121,51.39,73.68,66.62,62.12,63.45,88.60,86.07,91.04,72.44,84.54,60.69,81.69,69.70,84.92,74.25,47.01,48.79,5.84,63.10,90.90,23.46,67.81
Namibia,NAM,1995,71.21,47,49.80,119,45.83,73.68,46.81,54.42,55.19,88.60,86.07,91.04,72.44,84.54,60.69,81.69,69.70,83.56,73.91,46.84,51.22,5.84,62.41,90.90,23.82,67.54
