Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Niger,NER,2022,59.07,96,48.34,164,47.22,57.89,27.54,59.52,48.05,81.02,78.92,84.24,79.17,80.84,34.48,31.67,66.82,60.28,48.31,16.80,59.27,66.59,55.73,73.88,4.46,61.63
Niger,NER,2021,59.07,96,48.34,165,47.22,57.89,27.54,59.52,48.05,81.02,78.92,84.24,79.17,80.84,34.48,31.67,66.82,60.28,48.31,16.80,59.27,66.59,55.73,73.88,4.46,61.63
Niger,NER,2020,58.61,96,48.15,165,47.22,57.89,27.54,59.52,48.05,83.23,78.62,83.73,84.25,82.46,33.46,30.83,63.86,53.18,45.33,17.24,59.27,66.59,55.73,73.86,4.46,59.92
Niger,NER,2019,58.98,101,48.17,164,47.22,57.89,27.95,51.61,46.17,82.19,79.11,85.99,86.11,83.35,32.64,35.84,63.86,57.35,47.42,17.28,58.57,66.59,55.73,73.86,4.46,60.71
Niger,NER,2018,59.19,101,48.02,166,40.28,57.89,28.22,51.51,44.48,82.82,77.82,85.89,86.11,83.16,32.27,36.76,69.48,61.25,49.94,16.93,57.83,66.59,53.97,75.82,4.07,60.91
Niger,NER,2017,59.66,96,48.41,165,40.28,57.89,26.32,51.51,44.00,83.71,80.31,87.02,86.11,84.29,31.91,38.76,69.48,62.58,50.68,16.36,57.04,73.60,51.92,75.82,3.69,60.45
Niger,NER,2016,61.69,89,48.15,165,40.28,57.89,25.78,57.23,45.30,84.35,80.38,90.22,89.74,86.17,32.81,42.05,76.99,62.60,53.61,16.17,56.18,73.60,50.93,75.82,3.38,60.97
Niger,NER,2015,61.73,89,47.86,163,40.28,57.89,23.61,57.23,44.75,87.05,78.50,91.56,89.74,86.71,32.50,42.80,76.99,62.60,53.72,15.86,55.23,73.60,50.42,75.82,3.02,61.04
Niger,NER,2014,61.35,89,47.92,161,40.28,57.89,23.61,54.73,44.13,87.05,79.56,91.45,89.74,86.95,31.74,40.59,76.99,62.60,52.98,15.79,54.19,73.60,50.13,75.82,2.76,63.14
Niger,NER,2013,60.54,90,48.53,160,40.28,57.89,23.61,46.51,42.07,87.05,80.28,91.45,89.74,87.13,32.41,37.63,76.99,62.60,52.41,15.33,53.04,80.14,49.63,75.82,2.51,63.27
Niger,NER,2012,60.03,93,47.08,160,40.28,57.89,22.12,47.66,41.99,86.90,79.50,89.70,87.98,86.02,32.45,41.15,76.94,57.74,52.07,15.10,51.80,80.14,49.64,67.84,2.26,62.75
Niger,NER,2011,58.26,99,46.61,159,40.28,57.89,21.57,46.83,41.64,84.78,80.30,89.50,60.52,78.77,32.85,46.62,84.01,54.02,54.38,14.00,50.48,80.14,49.07,67.84,2.03,62.75
Niger,NER,2010,50.86,117,44.38,165,40.28,52.63,22.52,46.83,40.56,43.66,80.39,90.53,17.20,57.94,32.27,40.89,84.01,59.07,54.06,14.28,49.08,66.59,48.72,67.84,1.78,62.35
Niger,NER,2009,53.86,109,43.46,166,40.28,52.63,23.61,46.83,40.84,65.59,75.86,84.45,61.76,71.92,32.79,41.11,64.66,56.71,48.81,13.49,47.63,66.59,46.65,67.84,1.55,60.45
Niger,NER,2008,58.77,96,42.86,166,40.28,52.63,22.52,46.83,40.56,84.98,79.29,85.27,71.71,80.31,31.11,50.82,80.81,59.02,55.44,13.82,46.15,66.59,44.39,67.84,1.38,59.86
Niger,NER,2007,59.19,94,41.53,169,40.28,52.63,22.80,46.83,40.63,84.98,77.63,85.27,74.82,80.68,30.09,55.08,80.81,59.02,56.25,13.16,44.67,66.59,38.59,67.84,1.21,58.67
Niger,NER,2006,59.14,94,38.49,170,40.28,52.63,21.71,45.99,40.15,84.98,77.63,84.14,75.03,80.44,28.79,59.79,80.81,57.86,56.81,13.28,43.19,50.00,35.57,67.84,1.10,58.41
Niger,NER,2005,58.62,92,37.42,170,40.28,52.63,20.90,44.12,39.48,84.98,77.63,84.04,75.03,80.42,30.62,54.55,80.81,57.86,55.96,12.92,41.76,50.00,30.88,67.84,0.99,57.56
Niger,NER,2004,58.73,91,36.95,170,40.28,52.63,19.27,50.57,40.69,83.56,77.63,84.04,75.03,80.06,28.94,54.16,80.81,57.86,55.44,12.31,40.37,50.00,30.50,67.84,0.82,56.83
Niger,NER,2003,60.74,85,35.93,169,40.28,52.63,19.67,62.54,43.78,83.35,77.63,84.04,75.03,80.01,29.75,65.25,80.81,57.86,58.42,12.92,39.03,50.00,24.22,67.84,0.62,56.90
Niger,NER,2002,58.60,93,35.49,169,40.28,31.58,21.44,62.54,38.96,83.35,77.63,84.04,75.03,80.01,26.92,61.77,80.81,57.86,56.84,13.19,37.74,50.00,21.11,67.84,0.53,58.02
Niger,NER,2001,58.88,90,34.63,169,40.28,31.58,22.12,62.54,39.13,83.35,77.63,84.04,75.03,80.01,24.42,66.92,80.81,57.86,57.50,12.99,36.48,50.00,16.77,67.84,0.45,57.88
Niger,NER,2000,58.81,89,33.86,169,40.28,31.58,21.57,63.89,39.33,83.35,77.63,84.55,75.03,80.14,24.42,66.92,80.81,55.64,56.95,12.38,35.26,50.00,14.08,67.84,0.37,57.10
Niger,NER,1999,49.09,118,33.86,169,40.28,31.58,21.57,63.89,39.33,73.09,64.26,66.53,4.46,52.08,23.44,58.00,80.81,61.13,55.84,13.25,34.05,50.00,11.90,67.84,0.29,59.66
Niger,NER,1998,49.87,115,33.49,169,40.28,31.58,21.57,63.89,39.33,78.13,67.81,68.49,8.50,55.73,23.44,58.00,80.81,55.97,54.56,13.93,32.83,50.00,9.58,67.84,0.22,60.05
Niger,NER,1997,49.55,114,32.81,169,27.78,31.58,21.57,63.89,36.21,78.13,67.81,68.49,8.50,55.73,25.14,64.92,80.81,55.97,56.71,12.86,31.60,50.00,6.77,67.84,0.14,60.45
Niger,NER,1996,48.24,119,32.44,168,27.78,31.58,21.57,63.89,36.21,61.17,68.18,71.16,3.41,50.98,25.14,64.92,80.81,59.27,57.54,13.22,30.37,50.00,4.76,67.84,0.07,60.84
Niger,NER,1995,55.96,92,31.72,168,27.78,31.58,20.35,51.93,32.91,85.69,69.09,77.86,68.60,75.31,25.14,64.92,80.81,67.78,59.66,13.83,29.12,50.00,0.00,67.84,0.00,61.24
