Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Nigeria,NGA,2022,51.24,119,51.13,156,38.89,47.37,28.77,46.83,40.46,80.14,63.83,80.12,65.49,72.40,24.58,28.37,53.74,56.72,40.85,42.53,44.76,71.73,68.37,71.65,25.14,33.77
Nigeria,NGA,2021,51.24,118,51.13,156,38.89,47.37,28.77,46.83,40.46,80.14,63.83,80.12,65.49,72.40,24.58,28.37,53.74,56.72,40.85,42.53,44.76,71.73,68.37,71.65,25.14,33.77
Nigeria,NGA,2020,52.73,115,51.47,156,38.89,47.37,28.77,46.83,40.46,82.72,60.58,87.02,72.75,75.77,23.21,26.52,59.46,58.59,41.95,42.33,44.76,71.73,68.37,76.43,25.14,31.54
Nigeria,NGA,2019,53.53,113,51.46,157,38.89,47.37,28.09,63.06,44.35,83.02,59.60,86.82,73.68,75.78,22.55,25.51,53.36,60.43,40.46,43.12,44.14,71.73,68.37,76.43,25.14,31.27
Nigeria,NGA,2018,54.26,113,52.12,155,38.89,47.37,28.09,62.85,44.30,84.46,60.58,88.36,80.41,78.45,23.60,21.84,53.36,61.26,40.01,43.19,43.48,71.73,67.06,76.43,23.86,39.09
Nigeria,NGA,2017,54.00,116,51.18,156,38.89,42.11,28.77,60.25,42.50,84.46,60.06,88.36,82.18,78.76,24.25,23.92,53.36,61.44,40.74,43.31,42.77,69.86,65.48,76.43,22.51,37.91
Nigeria,NGA,2016,54.28,115,50.77,156,38.89,42.11,29.17,58.38,42.14,85.00,61.59,88.47,82.18,79.31,24.12,26.37,53.36,61.69,41.39,43.64,42.00,69.86,63.55,76.43,21.19,38.70
Nigeria,NGA,2015,54.49,113,51.91,148,38.89,42.11,28.49,58.58,42.02,85.51,59.22,87.54,83.63,78.97,24.83,25.41,53.99,65.66,42.47,44.40,41.20,69.86,62.25,84.96,19.91,40.80
Nigeria,NGA,2014,53.92,114,52.08,145,38.89,42.11,26.87,59.94,41.95,83.76,62.32,88.88,81.76,79.18,20.15,21.26,53.99,67.10,40.62,44.41,40.38,70.79,61.29,84.96,19.14,43.56
Nigeria,NGA,2013,54.57,111,51.34,145,38.89,42.11,23.34,68.16,43.12,83.45,62.32,88.88,81.76,79.10,22.76,22.11,53.99,67.10,41.49,43.79,39.55,70.79,60.26,84.96,18.38,41.66
Nigeria,NGA,2012,53.88,112,50.54,146,38.89,42.11,23.20,66.70,42.72,82.71,61.51,87.95,81.04,78.30,23.30,23.05,53.99,62.06,40.60,43.10,38.73,70.79,59.38,83.22,17.26,41.26
