Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Nicaragua,NIC,2022,37.56,152,57.03,123,76.39,63.16,35.55,75.96,62.76,66.79,26.64,11.43,0.62,26.37,24.16,54.93,5.43,9.68,23.55,45.20,81.49,45.79,86.42,68.30,31.41,40.60
Nicaragua,NIC,2021,37.56,151,57.03,124,76.39,63.16,35.55,75.96,62.76,66.79,26.64,11.43,0.62,26.37,24.16,54.93,5.43,9.68,23.55,45.20,81.49,45.79,86.42,68.30,31.41,40.60
Nicaragua,NIC,2020,39.91,145,56.90,127,76.39,63.16,35.55,75.96,62.76,68.60,30.19,20.19,2.07,30.26,27.09,52.20,15.52,11.97,26.70,43.63,81.49,45.79,86.42,69.38,31.41,40.21
Nicaragua,NIC,2019,40.35,147,56.78,127,76.39,63.16,35.96,84.60,65.03,67.69,30.41,18.13,3.01,29.81,27.85,44.05,20.22,12.74,26.21,44.18,81.09,45.79,86.42,69.38,31.41,39.16
Nicaragua,NIC,2018,40.71,146,56.86,125,76.39,63.16,36.09,84.70,65.09,68.40,32.42,18.54,3.01,30.59,27.68,45.11,20.22,12.75,26.44,45.09,80.70,45.79,86.41,71.32,30.36,38.37
Nicaragua,NIC,2017,50.32,121,58.93,119,76.39,68.42,38.26,84.39,66.87,70.33,71.21,45.31,3.11,47.49,30.53,63.40,31.75,20.79,36.62,45.93,80.31,45.79,86.50,77.44,29.34,47.17
Nicaragua,NIC,2016,51.98,119,59.65,115,76.39,68.42,39.21,84.60,67.16,70.24,81.24,51.70,3.11,51.57,29.88,62.59,34.16,22.24,37.22,45.35,79.93,45.79,86.09,84.37,28.35,47.70
Nicaragua,NIC,2015,51.14,121,59.18,115,63.89,68.42,37.86,84.81,63.74,70.73,81.24,54.48,4.56,52.75,28.53,62.64,34.16,22.30,36.91,44.78,79.53,45.79,86.08,84.37,27.38,46.32
Nicaragua,NIC,2014,50.88,120,59.20,115,63.89,68.42,34.19,82.73,62.31,70.73,81.24,56.02,5.08,53.27,28.27,63.57,34.16,22.30,37.08,44.17,79.12,45.79,85.67,87.34,26.35,45.99
Nicaragua,NIC,2013,50.69,122,59.57,111,63.89,63.16,36.23,85.54,62.20,70.73,81.24,56.44,5.08,53.37,30.22,59.35,34.16,22.30,36.51,43.56,78.69,51.17,85.55,87.34,25.36,45.34
Nicaragua,NIC,2012,52.13,118,59.20,111,63.89,57.89,39.21,85.12,61.53,75.48,80.05,62.82,19.69,59.51,28.90,57.33,34.16,20.96,35.34,42.93,78.23,51.17,85.44,87.83,24.39,44.42
Nicaragua,NIC,2011,53.50,115,58.71,111,63.89,57.89,38.67,84.91,61.34,80.69,80.05,64.78,27.05,63.14,29.38,58.93,34.16,21.61,36.02,42.04,77.75,51.17,85.34,87.83,23.44,43.43
Nicaragua,NIC,2010,52.99,110,58.00,112,63.89,57.89,36.64,85.22,60.91,81.28,81.27,64.78,27.05,63.59,28.61,54.27,34.16,20.87,34.48,41.18,77.25,51.17,85.30,87.83,22.50,40.80
