Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Nepal,NPL,2022,61.14,90,56.83,124,70.83,10.53,46.68,59.42,46.86,83.34,72.83,85.58,86.74,82.12,32.02,59.47,54.23,72.07,54.45,38.06,74.71,77.10,51.43,67.81,22.74,65.97
Nepal,NPL,2021,61.14,90,56.83,125,70.83,10.53,46.68,59.42,46.86,83.34,72.83,85.58,86.74,82.12,32.02,59.47,54.23,72.07,54.45,38.06,74.71,77.10,51.43,67.81,22.74,65.97
Nepal,NPL,2020,61.06,93,56.97,126,70.83,10.53,46.68,59.42,46.86,83.49,73.31,83.42,87.05,81.82,30.84,60.44,54.23,72.52,54.51,37.64,74.71,77.10,51.43,70.88,22.74,64.26
Nepal,NPL,2019,60.56,96,56.96,126,65.28,10.53,45.32,68.16,47.32,83.52,75.38,83.32,83.73,81.49,28.61,55.20,56.39,71.23,52.86,38.40,74.17,77.10,51.43,70.88,23.22,63.47
Nepal,NPL,2018,60.32,97,56.85,126,41.67,10.53,46.27,68.47,41.73,87.05,78.45,86.41,86.42,84.58,30.18,53.02,56.39,78.98,54.64,37.57,73.61,77.10,51.77,73.47,22.14,62.29
Nepal,NPL,2017,60.38,93,56.73,126,41.67,10.53,42.20,67.01,40.35,87.53,81.63,89.60,93.78,88.14,29.33,52.03,56.39,72.83,52.64,36.54,73.04,77.10,51.85,73.17,21.08,64.32
Nepal,NPL,2016,59.92,95,56.31,126,41.67,5.26,43.15,67.12,39.30,87.79,77.12,90.73,93.78,87.36,29.39,47.25,58.18,77.56,53.09,35.24,72.44,77.10,51.79,73.48,20.14,63.99
Nepal,NPL,2015,59.49,94,56.29,125,41.67,5.26,42.61,68.26,39.45,87.48,76.52,88.16,91.92,86.02,29.48,44.18,59.74,78.59,53.00,35.32,71.82,77.10,51.65,73.48,19.49,65.18
Nepal,NPL,2014,60.43,93,56.22,126,41.67,5.26,55.50,67.64,42.52,86.42,74.84,89.50,89.02,84.94,31.48,49.72,58.45,75.72,53.84,34.69,71.17,77.10,51.89,75.43,18.30,64.91
Nepal,NPL,2013,55.39,107,56.40,124,41.67,10.53,54.41,65.14,42.94,47.49,73.44,89.60,81.14,72.92,29.62,41.53,54.58,75.49,50.31,33.63,70.49,77.10,51.80,80.27,17.31,64.19
Nepal,NPL,2012,58.08,100,56.25,123,41.67,10.53,54.55,64.52,42.81,51.83,82.84,92.69,89.74,79.28,27.58,36.43,64.74,79.86,52.15,32.96,69.78,77.10,52.34,82.92,16.03,62.61
Nepal,NPL,2011,60.18,93,55.81,124,41.67,5.26,53.73,63.89,41.14,82.73,81.35,92.69,90.98,86.94,28.64,35.71,64.74,80.73,52.45,32.10,69.04,77.10,52.56,81.88,14.77,63.21
Nepal,NPL,2010,60.53,91,55.80,123,41.67,15.79,51.29,64.83,43.39,82.73,81.59,92.07,90.98,86.84,29.93,32.32,64.74,78.44,51.36,31.52,68.26,77.10,52.81,85.24,13.90,61.76
Nepal,NPL,2009,61.13,85,50.92,135,41.67,21.05,50.88,65.87,44.87,82.47,82.31,93.10,90.98,87.22,29.11,31.59,66.57,77.97,51.31,30.76,67.45,51.40,52.45,81.94,12.58,59.86
Nepal,NPL,2008,60.95,86,50.62,134,41.67,31.58,51.97,64.41,47.41,77.15,78.53,93.20,90.98,84.97,29.36,27.25,66.57,78.76,50.49,30.10,66.61,51.40,52.17,81.94,11.54,60.58
Nepal,NPL,2007,58.07,97,50.16,132,41.67,31.58,52.10,65.04,47.60,45.55,79.04,91.76,88.50,76.21,30.62,26.22,66.57,78.24,50.41,29.23,65.74,51.40,51.87,81.94,10.79,60.18
Nepal,NPL,2006,53.65,107,48.50,140,41.67,31.58,59.29,66.18,49.68,42.67,64.79,66.74,84.35,64.64,29.60,26.04,60.94,69.93,46.63,28.84,64.83,51.40,51.78,72.12,10.51,59.99
Nepal,NPL,2005,50.49,119,48.01,138,41.67,31.58,51.97,66.18,47.85,42.67,54.76,61.59,78.96,59.49,29.69,21.91,58.21,66.71,44.13,28.47,63.88,51.40,51.69,72.12,9.76,58.74
Nepal,NPL,2004,48.43,120,47.75,136,41.67,31.58,51.70,57.13,45.52,43.76,51.48,61.48,78.96,58.92,26.33,20.88,48.56,67.65,40.86,28.08,62.88,51.40,51.73,72.12,9.40,58.67
Nepal,NPL,2003,49.71,116,47.28,136,41.67,31.58,51.83,61.08,46.54,43.76,51.48,61.28,78.96,58.87,32.14,26.09,48.56,68.08,43.72,27.50,61.83,51.40,51.03,72.12,9.04,58.02
Nepal,NPL,2002,49.94,118,49.74,126,30.56,31.58,52.37,61.60,44.03,47.20,50.68,64.47,78.96,60.33,35.59,29.62,48.56,68.08,45.46,27.06,60.72,71.50,49.91,72.12,8.75,58.15
Nepal,NPL,2001,53.58,105,49.40,125,30.56,31.58,47.49,61.91,42.88,68.43,55.61,75.49,80.52,70.01,36.47,40.83,44.46,69.60,47.84,27.31,59.55,71.50,48.34,72.52,7.92,58.67
Nepal,NPL,2000,54.81,97,48.79,127,30.56,31.58,47.90,61.91,42.99,68.43,56.90,78.06,80.52,70.98,36.47,40.83,52.77,71.80,50.47,26.77,58.33,71.50,46.47,72.52,8.01,57.95
Nepal,NPL,1999,56.56,92,48.22,127,30.56,31.58,47.90,61.91,42.99,71.38,58.51,85.07,78.65,73.40,36.63,49.61,55.66,71.31,53.30,26.02,57.04,71.50,44.61,72.52,7.77,58.08
Nepal,NPL,1998,56.60,91,47.44,128,30.56,31.58,47.90,61.91,42.99,71.79,58.51,85.07,78.65,73.50,36.63,49.61,55.66,71.31,53.30,25.59,55.71,71.50,42.49,72.52,7.54,56.77
Nepal,NPL,1997,57.61,89,46.76,130,30.56,31.58,47.90,61.91,42.99,71.79,58.08,85.17,78.65,73.42,35.82,62.95,55.66,71.31,56.43,25.43,54.33,71.50,40.24,72.52,7.31,55.98
Nepal,NPL,1996,57.62,89,46.04,133,30.56,31.58,47.90,61.91,42.99,71.79,58.08,85.89,78.65,73.60,35.82,62.95,55.66,70.62,56.26,24.94,52.91,71.50,38.00,72.52,7.08,55.32
Nepal,NPL,1995,55.88,93,45.19,137,30.56,31.58,34.19,48.18,36.13,71.79,61.94,88.88,78.65,75.31,35.82,62.95,55.66,70.37,56.20,24.43,51.44,71.50,35.41,72.52,6.63,54.40
