Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
New Zealand,NZL,2022,89.37,12,90.77,6,94.44,73.68,96.20,85.22,87.39,97.91,94.54,96.91,93.58,95.73,86.03,93.52,71.62,88.74,84.98,81.54,95.22,74.53,99.15,95.70,92.81,96.45
New Zealand,NZL,2021,90.24,10,90.77,6,94.44,84.21,96.20,85.22,90.02,97.91,94.54,96.91,93.58,95.73,86.03,93.52,71.62,88.74,84.98,81.54,95.22,74.53,99.15,95.70,92.81,96.45
New Zealand,NZL,2020,90.89,7,90.61,6,87.50,84.21,96.20,85.22,88.28,97.33,93.48,97.94,93.58,95.58,87.78,94.60,81.71,91.11,88.80,80.83,95.22,74.53,99.15,95.64,92.81,96.06
New Zealand,NZL,2019,91.71,7,90.68,5,87.50,84.21,95.66,91.16,89.63,97.72,95.82,98.46,93.58,96.39,88.85,92.97,81.71,92.93,89.11,81.46,94.57,74.53,99.15,95.64,93.52,95.93
New Zealand,NZL,2018,91.87,7,89.78,6,87.50,84.21,95.66,91.16,89.63,97.72,95.82,98.15,93.58,96.32,88.87,95.45,81.71,92.65,89.67,81.35,94.85,74.53,99.26,95.64,87.64,95.20
New Zealand,NZL,2017,92.13,7,89.79,6,87.50,84.21,97.29,91.26,90.06,96.99,95.82,97.94,93.58,96.08,90.64,96.69,81.71,91.96,90.25,81.08,94.48,74.53,99.52,95.64,88.11,95.20
New Zealand,NZL,2016,91.89,8,89.35,7,81.94,84.21,98.37,92.51,89.26,97.56,95.82,97.94,93.58,96.23,91.89,95.15,81.71,91.96,90.18,80.82,94.39,74.53,99.47,95.64,85.37,95.20
New Zealand,NZL,2015,91.89,8,89.68,6,81.94,84.21,98.51,91.88,89.14,97.56,95.82,97.94,93.58,96.23,92.28,95.28,81.71,91.96,90.31,80.56,94.10,74.53,99.48,95.64,88.21,95.20
New Zealand,NZL,2014,91.57,10,89.66,6,81.94,84.21,93.89,93.86,88.48,97.59,95.82,97.63,93.58,96.16,92.47,94.11,81.71,91.96,90.06,80.27,94.01,74.53,99.44,95.64,88.21,95.53
New Zealand,NZL,2013,91.21,9,89.64,5,81.94,84.21,93.76,90.63,87.64,97.62,95.82,97.84,93.58,96.21,91.64,93.83,81.71,91.96,89.79,79.89,94.01,74.53,99.42,95.64,88.70,95.27
New Zealand,NZL,2012,90.74,10,89.42,4,81.94,78.95,93.62,91.16,86.42,98.32,95.82,98.15,93.58,96.47,91.77,91.96,81.71,91.96,89.35,79.55,93.54,74.53,99.30,95.64,88.52,94.88
New Zealand,NZL,2011,91.30,8,89.24,3,81.94,84.21,93.49,92.40,88.01,98.29,95.82,98.15,93.58,96.46,92.39,92.27,81.71,91.36,89.43,79.25,93.07,74.53,99.19,95.64,88.10,94.88
New Zealand,NZL,2010,91.07,9,88.99,3,81.94,84.21,93.22,92.51,87.97,98.60,95.82,98.15,93.58,96.54,92.21,89.43,81.71,91.43,88.70,78.98,92.70,74.53,99.20,95.64,87.49,94.42
New Zealand,NZL,2009,90.85,8,88.81,3,81.94,84.21,92.94,92.72,87.95,98.53,95.82,98.25,93.58,96.54,93.17,86.08,81.71,91.28,88.06,78.91,92.70,74.53,99.15,95.64,86.88,93.89
New Zealand,NZL,2008,89.96,12,88.72,4,81.94,73.68,94.17,92.72,85.63,98.04,95.82,98.25,93.58,96.42,90.39,87.93,81.71,91.28,87.83,79.12,92.04,74.53,99.10,95.64,86.28,94.35
New Zealand,NZL,2007,89.96,11,88.63,4,81.94,73.68,93.22,91.99,85.21,97.97,95.82,98.25,93.58,96.40,90.50,89.57,81.71,91.28,88.26,79.47,91.67,74.53,99.04,95.64,85.67,94.42
New Zealand,NZL,2006,89.12,11,88.39,4,76.39,73.68,89.15,91.99,82.80,97.97,95.82,98.25,93.58,96.40,89.80,89.79,81.71,91.28,88.14,79.10,91.48,74.53,98.99,95.64,85.07,93.96
New Zealand,NZL,2005,91.22,7,88.19,3,76.39,94.74,92.54,92.72,89.09,98.02,95.82,98.25,93.58,96.42,89.91,89.75,81.71,91.28,88.16,78.81,91.11,74.53,98.91,95.64,84.23,94.09
New Zealand,NZL,2004,92.09,5,87.92,3,76.39,94.74,91.86,95.63,89.65,98.04,95.82,98.25,93.58,96.42,93.79,94.76,81.71,90.57,90.21,78.42,90.54,74.53,98.71,95.64,83.40,94.22
New Zealand,NZL,2003,91.43,7,87.56,5,76.39,94.74,91.99,96.57,89.92,98.04,95.82,98.25,93.58,96.42,91.19,88.45,81.71,90.43,87.94,77.98,89.79,74.53,98.51,95.64,82.57,93.89
New Zealand,NZL,2002,91.11,9,87.22,5,70.83,94.74,91.86,96.88,88.58,98.07,95.82,98.25,93.58,96.43,90.09,91.13,81.71,90.43,88.34,77.53,89.23,74.53,98.27,95.64,81.74,93.63
New Zealand,NZL,2001,90.94,9,86.98,5,70.83,94.74,91.04,96.57,88.30,98.09,95.82,98.25,93.58,96.44,88.23,91.98,81.71,90.43,88.08,77.02,88.95,74.53,98.11,95.64,80.92,93.69
New Zealand,NZL,2000,91.13,8,86.54,5,70.83,94.74,92.13,97.81,88.88,98.09,95.82,98.25,93.58,96.44,88.23,91.98,81.71,90.43,88.08,76.52,88.84,74.53,97.99,95.64,78.76,93.50
New Zealand,NZL,1999,91.11,7,85.88,6,70.83,94.74,92.13,97.81,88.88,98.09,95.82,98.25,93.58,96.44,88.27,91.04,81.71,91.00,88.01,76.11,87.45,74.53,97.78,95.64,76.62,93.04
New Zealand,NZL,1998,89.35,9,85.48,5,70.83,73.68,92.13,97.81,83.62,98.09,95.82,98.25,93.58,96.44,88.27,91.04,81.71,91.00,88.01,75.24,87.81,74.53,97.74,95.64,74.50,92.90
New Zealand,NZL,1997,89.48,9,84.94,5,70.83,73.68,92.13,97.81,83.62,98.09,95.82,98.25,93.58,96.44,89.30,91.56,81.71,91.00,88.40,75.26,86.41,74.53,97.55,95.64,72.40,92.77
New Zealand,NZL,1996,89.25,9,84.42,5,70.83,73.68,92.13,97.81,83.62,97.84,95.82,97.84,91.40,95.72,89.30,91.56,81.71,91.00,88.40,75.13,85.39,74.53,97.42,95.64,70.32,92.51
New Zealand,NZL,1995,89.21,9,84.02,5,70.83,73.68,94.98,94.28,83.44,97.79,95.82,98.15,91.40,95.79,89.30,91.56,81.71,91.00,88.40,74.78,85.29,74.53,97.28,95.64,68.12,92.51
