Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Oman,OMN,2022,47.75,125,76.12,42,13.89,68.42,49.25,78.67,52.56,44.37,61.45,13.70,23.83,35.84,46.80,74.65,44.59,53.34,54.85,74.62,87.80,,89.34,61.61,59.76,83.57
Oman,OMN,2021,47.17,128,76.12,42,6.94,68.42,49.25,78.67,50.82,44.37,61.45,13.70,23.83,35.84,46.80,74.65,44.59,53.34,54.85,74.62,87.80,,89.34,61.61,59.76,83.57
Oman,OMN,2020,47.40,129,75.51,44,6.94,68.42,49.25,78.67,50.82,44.37,61.09,14.21,23.83,35.88,51.01,73.04,44.59,53.34,55.50,74.62,87.80,,89.34,58.63,59.76,82.92
Oman,OMN,2019,48.05,128,75.04,43,6.94,68.42,48.98,79.19,50.88,44.88,62.31,14.21,24.35,36.44,54.76,76.29,43.92,52.31,56.82,75.68,87.39,,89.34,58.63,56.52,82.65
Oman,OMN,2018,48.43,124,74.86,43,6.94,68.42,48.98,85.22,52.39,45.01,61.87,14.11,24.35,36.33,51.65,77.51,43.92,53.12,56.55,76.42,86.97,,89.05,58.27,53.61,84.82
Oman,OMN,2017,48.40,126,74.39,44,6.94,68.42,49.25,84.08,52.17,45.01,61.18,12.98,24.35,35.88,51.75,79.67,43.92,53.22,57.14,76.81,86.52,,88.35,58.27,51.74,84.63
Oman,OMN,2016,49.23,123,74.53,44,6.94,73.68,48.44,84.29,53.34,45.11,59.48,12.56,24.35,35.38,52.78,79.78,49.40,53.95,58.98,77.49,86.05,,87.93,60.07,51.23,84.43
Oman,OMN,2015,48.66,123,73.91,45,6.94,68.42,49.39,83.77,52.13,44.44,59.48,12.56,24.35,35.21,50.87,80.25,49.40,54.00,58.63,77.48,85.58,,87.44,60.07,47.77,85.15
Oman,OMN,2014,48.57,123,73.73,45,6.94,68.42,43.83,86.78,51.49,44.32,59.48,12.87,24.35,35.26,53.21,79.27,49.40,53.96,58.96,77.64,85.10,,87.33,60.07,45.25,86.99
Oman,OMN,2013,47.16,125,73.44,46,6.94,57.89,44.64,88.35,49.46,44.50,59.08,12.56,24.35,35.12,50.93,73.70,48.53,54.40,56.89,78.62,84.64,,86.92,60.07,42.79,87.58
Oman,OMN,2012,47.33,127,72.99,48,6.94,57.89,46.00,88.97,49.95,44.50,58.34,12.56,24.35,34.94,51.69,73.75,48.53,54.40,57.09,79.03,84.20,,86.12,60.07,40.67,87.84
