Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Peru,PER,2022,74.22,47,69.00,68,94.44,78.95,50.47,81.79,76.41,91.09,86.00,91.35,98.24,91.67,37.11,56.17,50.02,74.95,54.57,59.36,85.69,51.40,89.63,89.38,53.44,54.14
Peru,PER,2021,74.22,48,69.00,68,94.44,78.95,50.47,81.79,76.41,91.09,86.00,91.35,98.24,91.67,37.11,56.17,50.02,74.95,54.57,59.36,85.69,51.40,89.63,89.38,53.44,54.14
Peru,PER,2020,75.40,45,68.47,70,94.44,78.95,50.47,81.79,76.41,95.85,83.90,92.89,96.89,92.38,38.57,57.19,56.72,77.14,57.40,57.31,85.69,51.40,89.63,89.38,53.44,52.43
Peru,PER,2019,76.55,44,69.48,66,94.44,78.95,49.93,90.53,78.46,94.35,88.55,94.13,93.58,92.65,40.44,61.31,56.72,75.63,58.53,59.66,85.29,56.54,89.63,89.38,53.44,52.43
Peru,PER,2018,76.16,44,68.83,69,94.44,78.95,49.66,90.53,78.40,94.88,87.66,93.92,96.89,93.34,37.38,58.92,56.72,74.00,56.75,59.55,84.88,54.67,89.69,89.38,52.03,51.64
Peru,PER,2017,76.02,44,68.02,70,94.44,78.95,50.61,89.70,78.43,94.31,87.66,92.69,94.92,92.40,39.05,59.14,56.72,74.08,57.24,59.16,84.45,52.57,89.66,89.38,50.17,50.79
Peru,PER,2016,74.72,49,67.61,70,88.89,73.68,50.61,88.66,75.46,94.42,87.54,92.69,88.91,90.89,40.05,60.31,56.72,74.17,57.81,59.01,84.00,51.87,89.40,89.38,48.56,51.05
Peru,PER,2015,74.13,52,67.23,71,88.89,73.68,51.42,88.35,75.59,95.45,87.54,92.69,86.74,90.60,36.93,56.34,56.72,74.84,56.21,58.58,83.53,52.34,89.12,89.38,46.73,50.92
Peru,PER,2014,73.71,50,67.12,72,88.89,73.68,50.20,89.39,75.54,94.32,86.11,94.03,86.32,90.20,36.82,53.24,56.72,74.84,55.40,58.23,83.04,53.04,88.56,89.38,46.36,51.25
Peru,PER,2013,73.56,50,66.57,74,88.89,73.68,48.98,91.47,75.76,94.32,85.03,94.13,86.32,89.95,40.21,48.08,56.72,74.84,54.96,57.99,82.53,51.17,87.79,89.38,45.61,51.51
