Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Papua New Guinea,PNG,2022,57.13,101,53.94,139,38.89,26.32,40.71,68.68,43.65,75.84,78.44,87.02,65.60,76.73,29.29,52.61,44.31,77.88,51.02,38.82,62.88,55.84,56.27,82.89,16.72,64.13
Papua New Guinea,PNG,2021,57.13,101,53.94,140,38.89,26.32,40.71,68.68,43.65,75.84,78.44,87.02,65.60,76.73,29.29,52.61,44.31,77.88,51.02,38.82,62.88,55.84,56.27,82.89,16.72,64.13
Papua New Guinea,PNG,2020,57.44,101,53.78,141,38.89,26.32,40.71,68.68,43.65,75.84,80.35,87.02,65.91,77.28,31.74,50.16,46.63,76.99,51.38,38.90,62.88,55.84,56.27,82.89,16.72,62.94
Papua New Guinea,PNG,2019,56.63,104,53.78,140,38.89,26.32,40.03,70.24,43.87,75.84,78.88,86.92,64.35,76.50,27.39,50.27,46.63,73.80,49.52,39.89,62.46,55.84,56.27,82.89,16.72,62.42
Papua New Guinea,PNG,2018,56.78,105,53.63,142,38.89,26.32,39.89,68.57,43.42,75.84,78.88,85.58,67.05,76.84,30.36,50.68,46.63,72.72,50.10,39.45,62.01,55.84,55.83,82.89,16.14,63.21
Papua New Guinea,PNG,2017,56.38,106,53.41,140,38.89,26.32,39.76,67.22,43.05,74.86,78.21,85.17,67.05,76.32,29.99,50.26,46.63,72.19,49.77,39.86,61.54,55.84,55.59,82.89,15.60,62.55
Papua New Guinea,PNG,2016,56.48,103,53.30,141,38.89,26.32,36.36,67.12,42.17,74.43,78.73,85.17,67.98,76.58,28.86,54.17,46.63,73.05,50.68,39.59,61.04,55.84,55.21,82.89,15.07,63.47
Papua New Guinea,PNG,2015,57.80,101,53.03,143,38.89,36.84,36.23,69.61,45.39,74.43,78.73,85.17,67.98,76.58,30.23,55.85,46.63,73.05,51.44,38.99,60.53,55.84,54.52,82.89,14.55,63.86
Papua New Guinea,PNG,2014,57.83,100,52.88,141,38.89,36.84,35.96,68.16,44.96,74.45,78.73,85.38,67.98,76.63,30.32,57.52,46.63,73.05,51.88,38.20,59.99,55.84,53.94,82.89,13.75,65.57
Papua New Guinea,PNG,2013,58.50,97,52.01,144,38.89,36.84,49.25,67.64,48.16,74.55,78.73,85.38,67.98,76.66,29.28,53.86,46.63,72.94,50.68,36.27,59.45,55.84,53.16,82.89,12.97,63.47
Papua New Guinea,PNG,2012,59.06,97,51.82,142,38.89,36.84,49.80,75.44,50.24,75.06,78.62,85.38,67.98,76.76,28.71,52.44,46.63,72.94,50.18,35.97,58.92,55.84,52.29,82.89,12.21,64.65
Papua New Guinea,PNG,2011,59.03,97,51.17,143,38.89,36.84,50.07,75.44,50.31,75.73,79.46,86.30,67.98,77.37,27.86,49.11,46.63,74.05,49.41,35.52,58.38,55.84,51.65,82.89,11.48,62.42
Papua New Guinea,PNG,2010,59.05,94,50.48,144,38.89,36.84,49.53,74.71,49.99,75.73,79.85,86.51,69.02,77.78,27.65,48.02,46.63,75.23,49.38,35.72,57.84,55.84,51.03,82.89,10.76,59.26
Papua New Guinea,PNG,2009,58.55,95,49.80,144,38.89,31.58,49.66,73.57,48.42,75.63,80.36,87.02,69.02,78.01,25.12,48.38,47.41,75.99,49.23,34.40,57.30,55.84,50.80,82.89,10.20,57.16
Papua New Guinea,PNG,2008,58.97,93,48.15,147,38.89,31.58,49.66,73.67,48.45,75.63,80.36,87.02,69.02,78.01,26.40,52.04,47.41,75.99,50.46,33.64,56.75,46.73,49.93,82.89,9.66,57.42
Papua New Guinea,PNG,2007,58.81,96,47.89,145,38.89,31.58,49.66,71.38,47.88,77.67,80.36,87.02,69.02,78.52,27.52,49.25,47.41,75.99,50.04,34.13,56.19,46.73,49.26,82.89,9.12,56.90
Papua New Guinea,PNG,2006,57.24,98,47.41,145,38.89,31.58,40.16,63.68,43.58,79.73,80.36,87.02,69.02,79.03,26.20,46.78,47.41,75.99,49.10,33.21,55.62,46.73,48.96,82.89,8.60,55.85
Papua New Guinea,PNG,2005,56.75,98,46.57,145,38.89,31.58,36.91,63.58,42.74,79.73,80.36,87.02,69.02,79.03,24.78,45.72,47.41,75.99,48.48,32.68,55.05,46.73,48.93,82.89,8.09,51.64
Papua New Guinea,PNG,2004,56.66,97,46.82,142,38.89,31.58,28.09,59.83,39.60,79.73,80.36,87.02,69.02,79.03,28.67,53.28,47.41,75.99,51.34,31.96,54.51,46.73,49.46,82.89,7.65,54.53
Papua New Guinea,PNG,2003,56.73,98,46.29,140,38.89,31.58,26.87,58.27,38.90,79.91,80.36,87.02,69.02,79.08,32.37,53.07,47.41,75.99,52.21,31.85,54.01,46.73,49.71,82.89,7.22,51.64
Papua New Guinea,PNG,2002,56.57,97,46.19,140,38.89,31.58,26.05,58.27,38.70,79.83,80.36,87.02,69.02,79.06,31.12,53.25,47.41,75.99,51.94,31.83,53.54,46.73,49.61,82.89,6.80,51.91
Papua New Guinea,PNG,2001,59.05,89,46.11,138,38.89,52.63,27.95,55.05,43.63,79.76,80.36,87.02,69.02,79.04,34.34,60.20,47.41,75.99,54.48,32.23,53.10,46.73,49.55,82.89,6.39,51.91
Papua New Guinea,PNG,2000,59.18,87,46.08,138,38.89,52.63,27.68,56.92,44.03,79.76,80.36,87.02,69.02,79.04,34.34,60.20,47.41,75.99,54.48,32.64,52.69,46.73,49.22,82.89,5.99,52.43
