Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Portugal,PRT,2022,85.07,21,81.86,29,100.00,73.68,75.31,87.83,84.20,97.83,90.30,97.84,94.30,95.07,65.97,83.69,67.10,86.96,75.93,76.92,93.21,77.10,93.61,92.48,56.80,82.92
Portugal,PRT,2021,85.07,21,81.86,29,100.00,73.68,75.31,87.83,84.20,97.83,90.30,97.84,94.30,95.07,65.97,83.69,67.10,86.96,75.93,76.92,93.21,77.10,93.61,92.48,56.80,82.92
Portugal,PRT,2020,85.14,22,80.50,30,100.00,73.68,75.31,87.83,84.20,97.54,92.16,97.43,92.02,94.79,65.98,85.08,67.10,87.56,76.43,76.06,93.21,77.10,93.61,85.00,56.80,81.73
Portugal,PRT,2019,87.82,18,82.30,28,100.00,73.68,75.71,91.47,85.22,97.51,97.16,97.84,89.53,95.51,67.80,85.98,86.22,90.97,82.74,77.67,94.51,77.10,93.61,95.86,55.31,82.00
Portugal,PRT,2018,89.52,14,81.47,30,100.00,73.68,75.71,90.01,84.85,98.26,98.19,98.46,95.75,97.67,69.01,87.26,96.87,90.97,86.03,77.20,93.86,75.47,93.63,95.86,53.72,80.55
Portugal,PRT,2017,89.77,14,81.27,28,100.00,73.68,75.44,90.32,84.86,98.26,98.57,98.46,94.40,97.42,70.38,87.04,96.87,93.78,87.02,76.66,94.04,74.77,93.64,95.86,53.55,80.35
Portugal,PRT,2016,88.75,16,80.50,28,100.00,73.68,76.26,89.70,84.91,98.50,97.90,97.63,93.89,96.98,69.30,84.11,91.08,92.99,84.37,76.00,93.48,71.50,93.56,95.86,52.40,80.68
Portugal,PRT,2015,88.67,17,80.21,28,100.00,73.68,75.31,89.70,84.67,98.68,98.78,97.73,94.20,97.35,69.75,82.98,91.08,92.16,83.99,75.58,93.48,70.79,93.34,95.86,51.90,80.49
Portugal,PRT,2014,86.88,20,80.07,28,100.00,73.68,74.76,90.01,84.61,98.97,98.17,96.81,95.54,97.37,67.51,80.72,75.19,91.16,78.64,75.19,93.48,70.56,92.90,95.86,51.45,81.08
Portugal,PRT,2013,86.59,18,79.52,28,100.00,73.68,75.03,85.33,83.51,98.97,98.17,96.81,95.54,97.37,69.70,79.55,75.19,91.16,78.90,74.95,92.73,69.16,92.52,95.86,50.90,80.49
Portugal,PRT,2012,87.09,17,79.09,31,100.00,73.68,74.76,86.06,83.63,98.50,98.68,97.63,95.44,97.56,68.21,80.09,80.68,91.40,80.09,75.02,92.08,69.63,92.21,95.86,48.59,80.22
Portugal,PRT,2011,87.12,17,78.87,29,100.00,73.68,74.63,86.99,83.83,98.37,98.68,97.63,95.44,97.53,68.82,79.41,80.68,91.12,80.01,75.69,92.26,68.93,91.98,95.86,47.06,80.29
Portugal,PRT,2010,87.24,17,78.27,31,100.00,73.68,75.03,87.51,84.06,98.76,98.68,98.04,95.44,97.73,69.23,78.92,80.68,90.92,79.94,75.97,89.57,70.09,91.53,95.86,45.51,79.37
Portugal,PRT,2009,87.63,17,78.17,28,94.44,73.68,76.39,87.30,82.96,98.68,98.68,97.94,95.44,97.69,71.24,80.33,85.79,91.59,82.24,75.67,89.01,72.20,91.08,95.86,44.46,78.91
Portugal,PRT,2008,87.84,15,77.64,30,94.44,73.68,76.93,86.47,82.88,98.66,98.68,97.94,95.44,97.68,70.17,84.39,85.79,91.53,82.97,76.26,88.63,68.22,90.69,95.86,43.49,80.35
Portugal,PRT,2007,87.51,18,77.15,31,94.44,73.68,78.15,86.78,83.27,98.71,98.68,97.94,95.44,97.69,67.95,81.03,85.79,91.53,81.58,76.23,88.25,67.76,90.12,95.86,42.29,79.57
