Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Paraguay,PRY,2022,67.10,69,65.81,87,94.44,78.95,38.40,69.41,70.30,83.59,80.06,81.87,68.60,78.53,29.13,64.33,48.30,68.09,52.46,59.46,80.86,52.10,89.86,89.66,40.24,48.49
Paraguay,PRY,2021,67.10,69,65.81,87,94.44,78.95,38.40,69.41,70.30,83.59,80.06,81.87,68.60,78.53,29.13,64.33,48.30,68.09,52.46,59.46,80.86,52.10,89.86,89.62,40.24,48.49
Paraguay,PRY,2020,67.26,66,65.51,91,94.44,78.95,38.40,69.41,70.30,83.59,80.06,81.87,72.02,79.39,31.93,64.82,48.30,63.27,52.08,58.94,80.86,52.10,89.86,89.66,40.24,46.91
Paraguay,PRY,2019,67.32,67,64.58,95,94.44,78.95,37.18,74.92,71.37,83.59,86.04,82.80,65.70,79.53,31.32,64.18,48.30,60.43,51.06,59.31,80.66,46.96,89.86,89.66,40.01,45.60
Paraguay,PRY,2018,66.83,68,64.36,95,94.44,78.95,37.31,75.44,71.54,83.75,86.04,82.70,62.69,78.79,31.30,62.78,48.30,58.30,50.17,59.61,80.43,46.26,89.68,89.66,38.24,46.65
Paraguay,PRY,2017,66.40,72,64.41,96,94.44,78.95,35.82,74.92,71.03,84.28,86.09,82.08,63.83,79.07,30.23,64.43,48.30,53.45,49.10,59.28,80.17,40.42,89.45,89.66,37.57,54.34
Paraguay,PRY,2016,66.85,69,64.38,92,88.89,78.95,35.28,74.40,69.38,84.28,88.53,81.15,63.83,79.45,30.33,67.26,52.46,56.82,51.72,58.67,79.88,41.82,89.25,89.66,37.23,54.14
Paraguay,PRY,2015,66.20,72,64.56,91,88.89,78.95,36.09,74.51,69.61,84.21,86.54,82.18,60.73,78.41,25.59,65.17,52.46,59.14,50.59,58.15,79.56,42.52,89.63,89.66,38.70,53.68
Paraguay,PRY,2014,65.25,76,63.43,93,88.89,78.95,34.87,72.22,68.73,84.54,84.54,83.32,57.62,77.50,25.76,62.60,51.90,57.84,49.52,57.87,79.20,35.28,89.30,89.66,37.16,55.52
Paraguay,PRY,2013,63.31,80,64.04,92,88.89,73.68,33.51,74.71,67.70,84.36,84.54,81.26,57.62,76.94,25.95,49.49,48.49,57.26,45.30,57.18,78.83,41.82,88.37,89.66,37.51,54.86
Paraguay,PRY,2012,66.51,70,63.17,97,88.89,73.68,33.79,72.42,67.20,84.55,87.39,86.30,77.93,84.04,27.98,46.74,50.32,68.14,48.30,56.00,78.45,42.52,88.03,89.66,34.67,52.83
Paraguay,PRY,2011,67.85,63,61.55,98,88.89,73.68,34.87,74.51,67.99,84.71,87.89,90.53,80.93,86.01,30.25,50.37,50.32,67.28,49.55,56.37,78.06,31.54,87.32,89.66,32.98,54.93
Paraguay,PRY,2010,67.28,65,61.25,99,88.89,68.42,34.60,75.13,66.76,85.01,87.89,91.04,80.93,86.22,29.47,47.49,50.32,68.14,48.85,55.86,77.67,34.58,86.62,89.66,30.68,53.68
Paraguay,PRY,2009,66.57,66,61.06,99,88.89,63.16,33.38,75.55,65.24,84.61,87.89,90.83,80.93,86.06,28.62,46.50,50.32,68.14,48.39,54.21,77.29,39.02,86.48,89.66,29.67,51.12
Paraguay,PRY,2008,65.33,72,60.10,100,88.89,52.63,31.89,77.21,62.65,84.63,87.89,85.27,80.93,84.68,26.75,49.66,50.32,67.83,48.64,54.50,76.92,35.28,86.73,82.83,30.73,53.68
Paraguay,PRY,2007,63.65,74,58.51,105,88.89,52.63,30.53,77.52,62.39,82.88,86.78,85.27,72.23,81.79,24.32,49.41,50.32,62.97,46.75,53.61,76.56,29.91,86.48,82.83,29.22,50.99
Paraguay,PRY,2006,63.09,77,58.06,104,88.89,52.63,32.70,78.25,63.12,82.88,86.78,85.27,68.60,80.88,23.77,48.67,50.32,58.28,45.26,52.92,76.20,29.91,85.94,82.83,29.14,49.47
Paraguay,PRY,2005,63.27,70,58.55,100,88.89,52.63,33.11,79.60,63.56,82.88,86.78,85.27,68.60,80.88,23.48,51.19,50.32,56.52,45.38,52.35,75.83,33.64,85.91,82.83,30.61,48.69
Paraguay,PRY,2004,63.21,70,58.06,101,88.89,52.63,29.31,81.89,63.18,82.88,86.78,85.27,70.36,81.32,20.74,52.93,50.32,56.52,45.13,52.26,75.45,31.54,85.69,82.83,30.31,48.36
Paraguay,PRY,2003,62.71,74,56.86,101,88.89,52.63,30.66,84.18,64.09,81.26,85.14,83.21,70.36,79.99,20.29,49.22,50.32,56.34,44.04,51.85,75.05,25.47,86.12,82.83,29.16,47.50
Paraguay,PRY,2002,63.37,76,55.97,102,88.89,73.68,30.12,82.41,68.78,80.11,85.14,83.21,70.36,79.71,20.00,39.87,50.32,56.34,41.63,51.41,74.63,19.86,86.28,82.83,30.10,46.65
Paraguay,PRY,2001,64.14,68,56.58,100,88.89,73.68,33.92,82.31,69.70,80.11,85.14,83.21,70.36,79.71,20.67,44.74,50.32,56.34,43.02,51.76,74.19,26.17,85.98,82.83,28.52,46.58
Paraguay,PRY,2000,65.67,63,56.16,100,88.89,94.74,34.06,79.50,74.30,80.11,85.14,83.21,70.36,79.71,20.67,44.74,50.32,56.34,43.02,52.26,73.74,26.17,85.30,82.83,27.09,45.73
Paraguay,PRY,1999,66.22,57,58.21,90,88.89,94.74,41.38,77.94,75.74,79.52,81.65,83.21,70.36,78.69,21.05,49.28,50.32,56.34,44.25,53.05,73.30,26.17,84.87,82.83,26.15,61.10
Paraguay,PRY,1998,66.27,57,57.86,91,88.89,94.74,41.38,77.94,75.74,79.24,81.31,83.21,70.36,78.53,21.05,49.28,50.32,57.59,44.56,53.68,72.88,25.47,84.69,82.83,24.75,60.71
Paraguay,PRY,1997,66.99,56,57.55,91,88.89,94.74,41.38,77.94,75.74,78.70,81.31,83.21,70.36,78.40,24.37,55.08,50.32,57.59,46.84,54.06,72.50,25.47,84.40,82.83,23.39,60.18
Paraguay,PRY,1996,66.98,55,56.06,95,88.89,94.74,41.38,77.94,75.74,78.52,81.31,83.21,70.36,78.35,24.37,55.08,50.32,57.59,46.84,53.71,72.14,17.76,83.35,82.83,22.05,60.58
Paraguay,PRY,1995,66.96,54,55.75,96,88.89,94.74,41.38,77.94,75.74,78.29,81.31,83.21,70.36,78.29,24.37,55.08,50.32,57.59,46.84,53.84,71.81,17.76,83.40,82.83,20.93,59.66
