Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Romania,ROU,2022,76.16,44,72.15,58,100.00,73.68,67.98,88.35,82.50,95.12,86.72,92.17,71.30,86.33,45.26,75.18,44.12,74.07,59.66,75.43,80.85,72.43,69.41,72.21,56.41,78.32
Romania,ROU,2021,76.16,44,72.15,58,100.00,73.68,67.98,88.35,82.50,95.12,86.72,92.17,71.30,86.33,45.26,75.18,44.12,74.07,59.66,75.43,80.85,72.43,69.41,72.21,56.41,78.32
Romania,ROU,2020,77.12,41,73.01,51,100.00,73.68,67.98,88.35,82.50,96.37,85.87,90.94,80.31,88.37,43.53,75.16,43.59,79.68,60.49,74.27,80.85,72.43,69.41,79.76,56.41,77.92
Romania,ROU,2019,73.37,51,73.31,51,100.00,73.68,64.86,92.09,82.66,93.93,92.20,86.10,66.94,84.79,42.68,75.76,36.55,55.59,52.65,74.85,83.19,72.43,69.41,79.76,56.41,77.14
Romania,ROU,2018,70.21,59,72.64,55,100.00,78.95,62.69,91.47,83.28,90.84,91.48,81.57,60.10,81.00,43.20,65.34,29.52,47.43,46.37,74.01,82.72,70.09,69.67,79.76,56.27,75.95
Romania,ROU,2017,72.58,56,72.36,54,100.00,78.95,65.81,91.47,84.06,89.62,91.48,82.60,63.01,81.67,45.11,65.53,29.52,67.93,52.02,73.12,82.63,69.63,69.80,79.76,55.88,75.69
Romania,ROU,2016,78.51,39,72.65,51,100.00,78.95,66.35,91.05,84.09,91.41,91.85,93.31,75.23,87.95,44.87,70.00,53.22,85.89,63.50,71.74,82.44,73.36,69.72,79.76,55.78,75.76
Romania,ROU,2015,78.14,40,71.97,52,100.00,84.21,63.64,91.57,84.85,90.56,92.59,92.07,76.27,87.87,46.69,68.22,49.49,82.38,61.70,70.81,81.89,69.86,69.33,79.76,56.51,75.62
Romania,ROU,2014,76.88,44,71.68,53,100.00,84.21,62.42,91.88,84.63,89.10,92.59,90.83,75.23,86.94,46.78,65.39,42.85,81.22,59.06,70.20,81.88,69.63,68.61,79.76,55.82,75.82
Romania,ROU,2013,76.29,44,71.39,53,100.00,84.21,61.74,86.26,83.05,88.84,92.59,90.83,75.23,86.87,44.98,68.02,42.85,79.94,58.95,69.49,82.17,67.52,68.77,79.76,56.63,75.36
Romania,ROU,2012,74.33,47,70.72,54,100.00,84.21,57.53,85.02,81.69,89.29,91.98,90.73,71.40,85.85,40.90,66.06,43.49,71.39,55.46,68.76,80.96,68.46,66.58,79.76,56.25,74.31
Romania,ROU,2011,75.00,47,71.07,52,100.00,84.21,56.99,85.54,81.68,90.38,91.98,90.94,72.64,86.48,41.16,68.16,44.71,73.29,56.83,68.32,80.95,69.86,66.06,79.76,58.02,74.51
Romania,ROU,2010,74.97,47,70.40,53,100.00,78.95,58.62,86.99,81.14,89.96,91.98,90.94,72.64,86.38,41.80,69.93,44.71,73.10,57.38,67.89,79.18,70.79,63.55,79.76,58.72,72.93
Romania,ROU,2009,73.47,49,70.24,54,100.00,63.16,59.43,87.62,77.55,89.47,90.92,90.73,71.92,85.76,39.67,71.67,44.71,72.32,57.09,68.50,78.90,70.56,62.90,79.76,58.93,72.14
Romania,ROU,2008,73.06,49,69.78,54,100.00,63.16,59.02,87.62,77.45,86.66,91.32,90.73,71.61,85.08,41.14,68.05,44.71,72.71,56.65,69.37,77.51,68.69,62.63,79.76,57.53,73.00
Romania,ROU,2007,71.67,53,68.44,56,100.00,52.63,58.21,87.72,74.64,85.86,91.32,90.42,68.81,84.10,40.71,68.40,44.71,71.25,56.27,67.47,77.51,66.12,62.47,79.76,54.44,71.35
Romania,ROU,2006,70.30,56,66.44,58,100.00,52.63,53.32,81.89,71.96,85.73,89.73,90.42,68.81,83.67,42.64,67.40,44.71,66.26,55.25,65.94,76.76,61.21,60.95,79.76,51.37,69.12
Romania,ROU,2005,68.60,60,65.45,59,100.00,31.58,55.50,83.25,67.58,85.84,89.73,90.42,68.81,83.70,41.01,66.13,44.71,66.26,54.53,64.44,76.29,61.21,59.51,79.76,49.03,67.94
Romania,ROU,2004,66.62,62,64.81,61,100.00,31.58,50.88,77.63,65.02,85.08,89.73,86.41,64.87,81.52,41.49,65.59,44.71,61.51,53.33,63.51,75.63,61.21,58.69,79.76,47.05,67.81
Romania,ROU,2003,67.02,61,63.57,63,87.50,52.63,51.97,73.78,66.47,84.50,88.75,87.02,64.87,81.28,39.36,70.87,44.71,58.24,53.30,61.62,75.17,61.21,56.46,79.76,44.32,66.43
Romania,ROU,2002,65.50,64,62.91,64,80.56,52.63,46.40,70.45,62.51,84.12,88.75,86.82,64.87,81.14,39.97,73.80,44.71,52.95,52.86,61.07,74.61,61.21,55.49,79.76,41.97,66.29
Romania,ROU,2001,63.30,73,62.43,66,80.56,52.63,46.27,63.58,60.76,84.12,88.75,86.82,64.87,81.14,38.50,56.72,44.71,52.09,48.01,59.74,74.89,61.21,55.98,79.76,39.90,65.51
Romania,ROU,2000,64.93,65,61.95,67,69.44,73.68,48.85,64.41,64.10,85.62,88.75,90.22,64.87,82.36,38.50,56.72,44.71,53.38,48.33,58.58,74.89,61.21,56.23,79.76,38.51,64.45
Romania,ROU,1999,65.75,60,61.47,68,69.44,73.68,51.15,57.65,62.98,86.04,88.72,91.04,67.25,83.26,34.20,74.52,42.63,52.70,51.01,58.11,73.68,61.21,53.99,79.76,37.71,65.83
Romania,ROU,1998,65.89,58,60.54,71,69.44,73.68,51.15,57.65,62.98,86.04,88.72,91.04,67.25,83.26,34.20,74.52,42.63,54.40,51.44,58.15,72.36,61.21,50.80,79.76,36.06,65.44
Romania,ROU,1997,66.46,58,59.81,73,69.44,73.68,51.15,57.65,62.98,86.04,88.72,91.04,67.25,83.26,38.98,76.50,42.63,54.40,53.13,58.49,70.86,61.21,47.74,79.76,35.30,65.31
Romania,ROU,1996,65.96,58,59.70,73,69.44,73.68,51.15,57.65,62.98,81.91,88.72,88.67,67.25,81.64,38.98,76.50,42.63,54.89,53.25,59.33,71.05,61.21,46.87,79.76,34.49,65.18
Romania,ROU,1995,65.14,57,58.79,76,69.44,73.68,51.15,57.65,62.98,81.56,88.72,88.16,64.35,80.70,38.98,76.50,36.55,54.89,51.73,58.59,71.71,61.21,48.52,73.96,32.61,64.91
