Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Russian Federation,RUS,2022,46.70,131,69.84,64,80.56,31.58,47.49,67.95,56.89,65.20,42.16,33.78,13.99,38.78,34.93,51.32,36.55,54.89,44.42,73.66,75.22,69.63,82.62,59.84,71.01,56.90
Russian Federation,RUS,2021,46.70,131,69.84,64,80.56,31.58,47.49,67.95,56.89,65.20,42.16,33.78,13.99,38.78,34.93,51.32,36.55,54.89,44.42,73.66,75.22,69.63,82.62,59.84,71.01,56.90
Russian Federation,RUS,2020,46.71,131,69.71,64,80.56,31.58,47.49,67.95,56.89,65.20,42.16,33.78,13.99,38.78,35.84,50.55,36.55,54.89,44.46,72.74,75.22,69.63,82.62,59.84,71.01,56.90
Russian Federation,RUS,2019,45.42,135,69.67,65,80.56,31.58,47.63,70.97,57.68,65.52,46.93,35.74,13.99,40.54,38.53,53.11,33.88,26.60,38.03,73.19,78.48,65.65,82.62,59.84,71.01,56.90
Russian Federation,RUS,2018,46.08,133,69.62,64,80.56,31.58,47.76,72.11,58.00,65.52,47.01,37.08,16.99,41.65,36.66,53.43,37.23,26.97,38.58,72.79,77.69,66.12,83.07,60.32,70.46,56.90
Russian Federation,RUS,2017,46.01,134,69.12,65,80.56,31.58,47.76,73.88,58.44,65.38,47.68,36.56,17.93,41.89,35.24,51.42,36.48,27.67,37.70,72.29,77.30,66.82,82.97,60.32,67.37,56.77
Russian Federation,RUS,2016,44.67,138,68.87,64,80.56,26.32,46.81,73.26,56.73,65.68,48.13,36.25,15.03,41.27,34.75,45.23,36.48,27.57,36.01,71.99,75.80,67.76,80.75,61.71,67.32,56.77
Russian Federation,RUS,2015,44.42,139,68.33,66,80.56,26.32,45.86,71.49,56.06,65.42,48.85,37.69,15.03,41.75,33.12,43.55,36.48,28.70,35.46,71.99,74.93,65.65,78.74,63.54,66.80,56.64
Russian Federation,RUS,2014,44.49,137,67.02,73,80.56,26.32,45.59,65.87,54.58,65.53,51.34,37.80,15.34,42.50,34.60,45.29,36.48,29.22,36.40,72.38,74.11,60.51,77.13,63.54,64.99,56.50
Russian Federation,RUS,2013,45.23,133,66.85,72,80.56,26.32,45.73,66.60,54.80,66.52,53.10,42.12,16.37,44.53,30.75,49.49,36.48,28.74,36.37,72.57,73.80,58.18,75.92,66.01,64.83,56.64
Russian Federation,RUS,2012,45.18,134,66.08,74,80.56,26.32,45.45,65.04,54.34,66.94,53.51,45.01,16.37,45.46,29.54,47.84,37.41,28.23,35.75,72.30,72.86,58.64,73.92,64.53,63.83,56.50
Russian Federation,RUS,2011,45.37,133,66.22,71,80.56,26.32,45.45,62.85,53.79,68.68,55.19,47.79,16.58,47.06,28.58,44.18,38.87,29.34,35.24,71.62,72.13,60.98,72.12,66.01,64.05,56.64
Russian Federation,RUS,2010,45.75,132,65.31,69,80.56,26.32,45.05,61.39,53.33,69.38,55.27,47.89,16.37,47.23,28.30,45.57,41.81,31.14,36.70,70.87,70.56,61.45,69.51,66.01,61.99,56.77
Russian Federation,RUS,2009,46.11,131,64.81,72,80.56,31.58,45.73,58.69,54.14,69.12,55.14,49.23,17.20,47.67,28.90,44.75,41.94,30.55,36.53,70.09,70.27,60.75,69.82,66.01,59.81,56.90
Russian Federation,RUS,2008,46.63,129,64.14,77,80.56,31.58,46.81,56.71,53.91,68.50,55.52,48.82,17.20,47.51,29.95,49.21,41.94,32.81,38.48,71.56,68.89,56.54,68.70,66.01,60.79,56.50
Russian Federation,RUS,2007,47.04,126,63.70,73,80.56,31.58,47.35,58.17,54.41,69.89,54.39,49.23,20.83,48.58,31.22,46.91,41.17,33.24,38.14,70.64,68.22,54.91,69.33,66.32,60.22,56.24
Russian Federation,RUS,2006,47.32,126,63.44,73,80.56,31.58,46.95,58.58,54.42,69.99,55.86,50.46,23.73,50.01,31.49,45.99,39.77,32.84,37.52,69.13,66.61,57.94,68.23,66.32,59.61,56.24
Russian Federation,RUS,2005,46.67,126,62.34,77,80.56,31.58,45.73,59.83,54.42,69.99,55.94,50.67,23.73,50.08,31.97,38.73,38.90,32.41,35.50,67.66,64.38,57.24,65.36,66.32,59.35,56.11
Russian Federation,RUS,2004,48.99,119,62.85,70,80.56,52.63,44.50,66.08,60.94,69.96,57.09,51.70,25.70,51.11,32.67,33.73,40.82,32.50,34.93,66.47,64.27,59.58,66.07,67.48,59.59,56.50
Russian Federation,RUS,2003,50.70,114,62.67,67,80.56,52.63,45.73,68.99,61.98,72.14,56.20,53.76,33.58,53.92,33.00,40.23,40.82,30.75,36.20,65.14,63.44,60.28,64.17,69.05,59.84,56.77
Russian Federation,RUS,2002,50.97,113,63.10,63,73.61,52.63,43.83,69.30,59.84,73.31,58.66,55.41,33.58,55.24,32.26,49.72,38.53,30.75,37.82,63.79,63.63,66.59,63.90,69.05,57.72,57.03
Russian Federation,RUS,2001,51.01,118,62.93,64,73.61,52.63,42.61,60.67,57.38,74.45,60.34,58.19,47.67,60.16,29.34,36.06,45.07,31.53,35.50,62.88,64.10,67.52,64.16,69.05,55.47,57.29
