Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Rwanda,RWA,2022,53.18,113,54.17,136,77.78,63.16,62.28,73.47,69.17,60.84,26.88,27.91,38.65,38.57,56.55,67.84,53.56,29.22,51.79,28.41,71.47,51.64,75.20,67.06,16.93,68.46
Rwanda,RWA,2021,53.18,112,54.17,137,77.78,63.16,62.28,73.47,69.17,60.84,26.88,27.91,38.65,38.57,56.55,67.84,53.56,29.22,51.79,28.41,71.47,51.64,75.20,67.06,16.93,68.46
Rwanda,RWA,2020,53.45,114,54.00,137,77.78,63.16,62.28,73.47,69.17,60.11,31.81,27.29,39.07,39.57,56.52,66.08,53.56,30.32,51.62,26.99,71.47,51.64,75.20,68.51,16.93,67.28
Rwanda,RWA,2019,53.69,112,54.33,136,70.83,63.16,61.87,82.41,69.57,60.32,38.95,28.12,35.54,40.73,54.62,65.69,53.56,29.14,50.75,28.07,70.90,51.64,75.20,69.77,16.93,67.81
Rwanda,RWA,2018,52.97,117,53.93,140,70.83,63.16,60.52,79.40,68.48,60.37,35.63,27.81,35.54,39.84,54.68,66.63,53.56,27.51,50.60,26.91,70.29,51.64,75.13,69.77,16.50,67.28
Rwanda,RWA,2017,52.50,118,54.66,133,63.89,63.16,59.16,78.77,66.24,60.51,30.50,25.85,38.76,38.90,56.39,66.18,60.11,26.78,52.37,25.90,69.62,51.64,75.18,74.30,16.69,69.25
Rwanda,RWA,2016,52.80,118,54.93,131,63.89,68.42,58.21,73.78,66.07,60.40,34.88,28.22,38.76,40.56,54.77,63.28,60.11,28.87,51.76,25.67,68.86,51.64,74.73,78.23,16.41,68.99
Rwanda,RWA,2015,53.46,117,54.53,133,63.89,68.42,59.70,73.26,66.32,60.04,45.36,30.48,33.78,42.42,52.95,64.66,60.11,28.87,51.65,25.10,67.96,48.36,74.29,81.74,15.53,68.73
Rwanda,RWA,2014,53.26,116,54.08,134,63.89,68.42,63.64,70.03,66.49,59.68,45.54,30.90,33.78,42.47,55.39,58.05,60.98,28.87,50.82,24.03,66.91,48.36,74.10,81.74,15.78,67.67
Rwanda,RWA,2013,53.58,115,52.19,142,63.89,68.42,62.28,74.92,67.38,59.07,45.64,28.94,33.78,41.86,53.98,62.15,60.98,28.87,51.50,23.40,65.66,48.36,74.04,71.58,15.27,67.02
