Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Saudi Arabia,SAU,2022,37.61,150,66.44,85,66.67,47.37,70.28,66.91,62.81,1.51,20.64,6.59,2.90,7.91,55.62,52.57,32.08,28.21,42.12,82.27,82.58,46.50,83.47,26.33,64.27,79.63
Saudi Arabia,SAU,2021,37.61,149,66.44,85,66.67,47.37,70.28,66.91,62.81,1.51,20.64,6.59,2.90,7.91,55.62,52.57,32.08,28.21,42.12,82.27,82.58,46.50,83.47,26.33,64.27,79.63
Saudi Arabia,SAU,2020,35.56,156,66.54,83,45.83,47.37,70.28,66.91,57.60,1.51,20.44,6.08,2.90,7.73,51.49,51.89,32.08,30.00,41.36,81.97,82.58,46.50,83.47,26.33,64.27,80.68
Saudi Arabia,SAU,2019,33.07,159,66.24,84,12.50,47.37,61.19,76.80,49.46,1.51,23.10,6.39,2.90,8.47,53.22,52.12,32.08,27.62,41.26,83.01,82.30,46.50,83.47,26.33,61.75,80.29
Saudi Arabia,SAU,2018,30.19,163,67.66,76,12.50,42.11,43.83,72.11,42.64,1.51,19.82,6.80,2.90,7.76,54.35,51.79,27.20,27.38,40.18,83.25,82.05,46.50,83.61,34.51,58.35,85.35
Saudi Arabia,SAU,2017,29.80,164,67.30,79,12.50,42.11,41.93,67.64,41.04,1.51,22.36,6.90,2.90,8.42,53.74,51.48,27.20,27.38,39.95,83.13,81.82,46.50,83.64,34.51,56.16,85.35
Saudi Arabia,SAU,2016,29.94,164,66.17,83,12.50,42.11,41.66,64.52,40.19,1.56,24.52,7.83,3.32,9.31,52.25,54.98,27.20,26.87,40.32,83.63,81.61,46.50,83.53,25.68,57.20,85.02
Saudi Arabia,SAU,2015,29.52,164,65.71,84,12.50,42.11,41.93,65.35,40.47,1.56,24.52,7.21,4.97,9.57,49.60,51.71,27.20,25.62,38.53,83.73,81.40,46.50,83.33,25.68,55.13,84.17
Saudi Arabia,SAU,2014,30.12,164,65.65,86,12.50,42.11,39.21,66.81,40.16,1.56,25.02,7.83,4.97,9.84,50.07,58.60,27.20,25.62,40.37,83.47,81.18,46.50,83.43,25.68,53.10,86.20
Saudi Arabia,SAU,2013,30.11,164,65.35,84,12.50,42.11,38.53,73.67,41.70,1.56,25.02,7.11,4.97,9.66,47.44,55.65,27.20,25.62,38.98,83.34,80.94,46.50,83.26,25.68,51.11,86.66
