Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Sudan,SDN,2022,26.62,165,53.98,138,5.56,5.26,14.93,57.44,20.80,39.60,19.07,39.44,33.16,32.82,15.50,25.21,27.82,36.40,26.23,37.87,64.38,73.83,76.72,52.06,10.03,62.94
Sudan,SDN,2021,26.62,165,53.98,139,5.56,5.26,14.93,57.44,20.80,39.60,19.07,39.44,33.16,32.82,15.50,25.21,27.82,36.40,26.23,37.87,64.38,73.83,76.72,52.06,10.03,62.94
Sudan,SDN,2020,31.02,164,53.92,139,5.56,5.26,14.93,57.44,20.80,41.00,35.29,55.20,33.16,41.16,15.07,30.71,39.56,39.03,31.09,38.28,64.38,73.83,76.72,52.04,10.03,62.16
Sudan,SDN,2019,27.50,167,53.93,139,5.56,5.26,15.06,25.08,12.74,41.56,36.32,51.70,33.16,40.68,14.05,29.94,36.02,36.25,29.06,39.38,63.97,73.83,76.72,52.04,10.03,61.50
Sudan,SDN,2018,23.19,167,54.08,139,5.56,5.26,12.08,26.64,12.38,69.74,16.20,27.39,27.15,35.12,14.10,27.47,24.02,22.71,22.07,40.21,63.57,73.83,76.30,42.13,9.78,72.73
Sudan,SDN,2017,24.81,167,54.17,137,5.56,15.79,11.94,24.14,14.36,68.02,24.47,27.70,34.82,38.75,14.48,24.35,26.55,19.86,21.31,41.13,63.17,73.83,75.78,43.91,9.52,71.81
Sudan,SDN,2016,21.44,167,54.39,133,5.56,10.53,11.13,29.45,14.16,67.12,18.72,22.76,24.56,33.29,13.67,17.07,19.71,17.03,16.87,41.43,62.76,73.83,75.00,47.16,9.28,71.29
Sudan,SDN,2015,22.05,168,54.18,134,5.56,15.79,11.13,29.45,15.48,66.04,18.90,23.89,24.56,33.35,14.88,20.61,19.71,14.05,17.31,41.25,62.32,73.83,74.05,48.21,9.03,70.57
Sudan,SDN,2014,21.39,168,53.90,135,5.56,15.79,11.13,29.45,15.48,63.26,18.45,23.89,24.56,32.54,14.35,16.55,19.71,13.94,16.13,41.34,61.84,73.83,73.08,48.21,8.66,70.37
Sudan,SDN,2013,21.81,168,53.07,134,5.56,15.79,11.13,29.45,15.48,63.26,19.20,23.89,24.56,32.73,14.79,19.99,19.71,14.36,17.21,40.96,61.29,71.03,72.14,48.21,8.36,69.51
Sudan,SDN,2012,21.26,169,51.77,143,5.56,15.79,11.13,29.45,15.48,63.74,13.86,23.17,24.56,31.33,15.18,18.62,19.71,14.31,16.95,41.04,60.67,71.03,71.02,41.94,7.80,68.92
