Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Senegal,SEN,2022,67.38,68,55.71,130,44.44,63.16,37.04,62.23,51.72,93.35,88.02,90.22,72.33,85.98,48.30,60.96,76.75,71.78,64.45,35.85,69.39,64.72,71.82,79.55,8.60,60.05
Senegal,SEN,2021,67.38,68,55.71,131,44.44,63.16,37.04,62.23,51.72,93.35,88.02,90.22,72.33,85.98,48.30,60.96,76.75,71.78,64.45,35.85,69.39,64.72,71.82,79.55,8.60,60.05
Senegal,SEN,2020,66.98,67,55.14,134,44.44,63.16,37.04,62.23,51.72,92.90,85.57,93.10,73.68,86.31,46.76,61.58,76.75,66.56,62.91,35.27,69.39,64.72,71.82,79.55,8.60,56.64
Senegal,SEN,2019,68.12,63,53.94,138,44.44,63.16,36.91,70.86,53.84,92.60,83.39,93.10,78.13,86.81,45.96,65.33,73.39,70.12,63.70,35.52,68.88,64.72,71.82,73.66,8.48,54.53
Senegal,SEN,2018,67.11,67,54.36,137,44.44,63.16,37.04,70.86,53.88,91.85,85.55,91.97,78.13,86.87,43.62,62.34,66.07,70.30,60.58,35.20,68.36,64.72,71.13,76.41,8.41,56.31
Senegal,SEN,2017,67.13,70,53.17,143,44.44,63.16,36.91,70.66,53.79,92.34,85.40,91.97,78.13,86.96,42.52,63.37,66.07,70.55,60.63,34.62,67.83,59.58,69.65,76.41,8.35,55.72
Senegal,SEN,2016,67.41,66,53.41,140,44.44,63.16,36.64,65.76,52.50,91.40,82.34,93.92,81.76,87.36,42.16,59.97,76.62,70.74,62.37,33.84,67.27,59.58,68.68,81.16,8.42,54.93
Senegal,SEN,2015,68.40,62,53.19,141,44.44,63.16,34.87,65.35,51.96,91.40,84.77,93.92,81.76,87.97,43.05,62.03,83.09,72.89,65.27,33.23,66.65,59.58,68.46,81.16,8.49,54.73
Senegal,SEN,2014,67.53,67,52.69,143,44.44,63.16,33.79,67.74,52.28,91.40,82.56,93.92,82.49,87.59,43.51,60.38,74.11,72.89,62.72,32.62,65.95,59.58,68.28,77.75,8.46,56.18
Senegal,SEN,2013,66.91,67,52.81,138,44.44,57.89,30.66,68.78,50.45,91.40,82.56,94.03,82.49,87.62,40.47,63.16,74.11,72.89,62.66,32.04,65.14,59.58,68.93,77.75,8.17,58.08
Senegal,SEN,2012,64.44,77,52.48,138,44.44,47.37,27.82,68.99,47.15,90.88,82.31,89.50,80.00,85.67,39.17,62.20,74.11,66.45,60.48,32.12,64.23,59.58,68.76,77.75,7.48,57.42
Senegal,SEN,2011,63.39,81,51.94,136,44.44,47.37,26.73,68.05,46.65,90.98,83.39,89.80,78.65,85.71,36.16,58.71,70.28,66.11,57.81,31.91,63.20,59.58,67.91,77.75,6.64,56.64
Senegal,SEN,2010,62.08,84,51.81,136,44.44,36.84,26.05,68.68,44.00,90.98,83.39,89.80,78.65,85.71,33.59,55.93,70.28,66.36,56.54,32.17,62.05,62.15,67.75,77.75,5.58,55.19
Senegal,SEN,2009,63.06,75,50.64,138,44.44,42.11,26.59,69.72,45.72,90.41,83.28,89.39,78.65,85.43,35.74,60.24,69.49,66.60,58.02,32.06,60.79,62.15,65.32,73.82,4.95,55.39
Senegal,SEN,2008,64.12,75,50.68,133,44.44,52.63,27.82,66.29,47.79,90.65,83.28,89.08,78.65,85.41,39.11,61.38,69.49,66.60,59.15,32.06,59.43,62.15,65.28,73.82,4.34,57.69
Senegal,SEN,2007,63.71,73,50.06,133,44.44,52.63,28.49,65.04,47.65,90.70,83.28,89.70,78.65,85.58,36.12,59.43,69.49,66.60,57.91,31.89,58.03,62.15,64.88,73.82,3.64,56.04
Senegal,SEN,2006,63.51,74,49.57,133,44.44,52.63,24.56,63.27,46.23,91.28,83.28,89.91,78.65,85.78,38.99,59.04,69.49,66.60,58.53,31.87,56.60,62.15,64.27,73.82,2.99,55.32
Senegal,SEN,2005,64.25,68,49.15,131,44.44,52.63,24.83,65.66,46.89,91.28,83.28,89.91,78.65,85.78,44.00,60.26,69.49,66.60,60.09,31.92,55.21,62.15,63.17,73.82,2.53,55.26
Senegal,SEN,2004,64.15,69,47.99,134,44.44,52.63,26.05,58.69,45.45,91.28,83.28,89.91,78.65,85.78,43.73,64.99,69.49,66.60,61.20,31.62,53.89,57.48,62.37,73.82,2.56,54.20
Senegal,SEN,2003,63.36,72,47.64,133,44.44,52.63,26.05,57.34,45.12,91.28,83.28,89.91,78.65,85.78,41.36,59.33,69.49,66.60,59.20,31.25,52.67,57.48,62.95,73.82,2.58,52.69
Senegal,SEN,2002,63.95,72,46.86,135,44.44,52.63,25.51,57.34,44.98,91.28,83.28,89.91,78.65,85.78,49.39,58.85,69.49,66.60,61.08,30.72,51.58,57.48,60.23,73.82,2.58,51.58
Senegal,SEN,2001,61.91,77,46.42,136,44.44,52.63,25.51,59.21,45.45,87.54,83.28,89.91,67.56,82.07,44.24,52.49,69.49,66.60,58.21,31.15,50.65,57.48,59.13,73.82,2.58,50.13
Senegal,SEN,2000,62.16,75,46.89,134,44.44,52.63,25.24,62.02,46.08,91.16,78.18,87.74,73.26,82.59,44.24,52.49,69.49,65.04,57.82,30.82,49.93,57.48,63.27,73.82,2.56,50.39
Senegal,SEN,1999,59.83,85,46.70,135,44.44,52.63,25.92,49.01,43.00,88.90,78.18,86.92,68.91,80.73,44.10,44.38,69.49,65.04,55.76,30.56,49.43,57.48,61.53,73.82,2.46,51.64
Senegal,SEN,1998,59.83,85,46.40,135,44.44,52.63,25.92,49.01,43.00,88.92,78.18,86.92,68.91,80.73,44.10,44.38,69.49,65.04,55.76,29.88,49.16,57.48,60.79,73.82,2.44,51.25
Senegal,SEN,1997,60.66,78,46.16,134,44.44,52.63,25.92,49.01,43.00,88.95,78.18,86.92,68.91,80.74,46.17,52.21,69.49,65.04,58.23,29.27,49.06,57.48,59.97,73.82,2.43,51.12
Senegal,SEN,1996,60.33,80,45.92,135,44.44,52.63,25.92,49.01,43.00,88.95,74.31,86.92,68.91,79.77,46.17,52.21,69.49,65.04,58.23,29.17,49.10,57.48,58.43,73.82,2.43,50.99
Senegal,SEN,1995,60.28,78,45.68,134,44.44,52.63,25.92,49.01,43.00,88.95,74.31,86.30,68.91,79.62,46.17,52.21,69.49,65.04,58.23,29.26,49.21,57.48,56.68,73.82,2.43,50.85
