Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Singapore,SGP,2022,80.41,32,81.99,27,81.94,89.47,90.37,89.59,87.84,77.25,84.44,45.31,53.89,65.22,95.33,94.62,79.14,83.56,88.17,97.67,98.37,46.50,93.03,72.96,69.46,95.93
Singapore,SGP,2021,80.41,32,81.99,27,81.94,89.47,90.37,89.59,87.84,77.25,84.44,45.31,53.89,65.22,95.33,94.62,79.14,83.56,88.17,97.67,98.37,46.50,93.03,72.96,69.46,95.93
Singapore,SGP,2020,79.90,34,81.64,28,81.94,89.47,90.37,89.59,87.84,76.45,85.86,45.42,53.89,65.40,95.43,93.97,73.55,82.84,86.45,95.60,98.37,46.50,93.03,72.96,69.46,95.53
Singapore,SGP,2019,80.96,34,81.65,30,81.94,89.47,90.23,98.23,89.97,75.67,84.67,45.11,53.89,64.83,94.36,94.78,80.96,82.17,88.07,96.31,98.10,46.50,93.03,72.96,69.02,95.66
Singapore,SGP,2018,80.99,34,81.91,27,81.94,89.47,89.96,98.23,89.90,76.06,84.50,45.52,53.89,64.99,94.61,94.52,80.96,82.17,88.06,96.32,97.54,46.50,93.41,76.20,68.36,95.07
Singapore,SGP,2017,81.20,34,81.65,26,81.94,89.47,89.96,98.02,89.85,78.04,84.39,44.39,53.89,65.18,94.06,97.10,80.96,82.17,88.57,95.75,97.16,46.50,93.97,76.20,66.88,95.07
Singapore,SGP,2016,80.20,35,81.44,26,81.94,89.47,89.69,97.92,89.76,78.78,84.77,44.90,43.73,63.05,93.36,94.68,80.96,82.24,87.81,94.95,96.70,46.50,94.10,76.20,66.61,95.01
Singapore,SGP,2015,79.79,37,81.23,26,81.94,89.47,90.23,97.61,89.81,78.09,84.77,43.67,43.73,62.56,93.79,90.95,80.96,82.24,86.98,94.55,96.51,46.50,94.13,76.20,65.62,95.07
Singapore,SGP,2014,78.56,39,81.09,25,70.83,89.47,88.74,99.48,87.13,77.70,84.77,43.46,43.73,62.42,92.95,88.41,80.96,82.24,86.14,94.24,96.04,46.50,94.34,76.20,64.88,95.47
Singapore,SGP,2013,77.36,42,80.76,25,70.83,78.95,88.33,93.03,82.78,77.70,84.77,43.46,43.73,62.42,92.02,92.30,80.96,82.24,86.88,93.77,95.58,46.50,94.73,76.20,63.29,95.27
Singapore,SGP,2012,77.59,42,80.60,25,70.83,78.95,89.01,93.44,83.06,77.70,84.77,44.08,43.73,62.57,93.30,92.09,80.96,82.24,87.15,93.22,95.11,46.50,95.12,76.20,62.59,95.47
Singapore,SGP,2011,77.64,41,80.26,26,70.83,78.95,89.28,98.34,84.35,77.66,84.77,43.36,43.73,62.38,93.09,88.51,80.96,82.24,86.20,92.88,94.64,46.50,95.47,76.20,60.96,95.20
Singapore,SGP,2010,77.61,43,79.87,26,70.83,78.95,90.23,98.75,84.69,74.12,84.77,44.18,43.42,61.62,94.76,88.07,80.96,82.24,86.51,92.17,94.26,46.50,95.53,76.20,59.79,94.61
Singapore,SGP,2009,77.68,40,78.44,27,65.28,84.21,90.09,99.06,84.66,74.12,84.82,44.18,43.42,61.64,95.49,88.28,80.96,82.24,86.74,90.04,93.70,46.50,95.45,74.25,55.09,94.02
Singapore,SGP,2008,78.08,38,78.62,27,65.28,84.21,90.64,98.75,84.72,74.12,84.82,43.56,43.42,61.48,97.40,91.62,80.96,82.24,88.05,90.56,92.86,46.50,95.13,76.20,54.65,94.42
Singapore,SGP,2007,77.77,38,78.26,27,65.28,84.21,91.45,98.75,84.92,74.12,84.82,43.05,43.42,61.35,96.80,88.17,80.96,82.24,87.04,91.19,92.21,46.50,94.74,76.20,52.56,94.42
Singapore,SGP,2006,78.47,37,77.86,27,65.28,94.74,91.18,98.44,87.41,74.00,84.82,42.43,43.42,61.17,94.53,89.67,80.96,82.24,86.85,90.38,91.65,46.50,94.46,76.20,51.68,94.15
Singapore,SGP,2005,78.06,37,77.59,27,65.28,94.74,90.77,98.34,87.28,72.79,86.42,42.33,43.42,61.24,91.69,87.74,80.96,82.24,85.66,89.39,91.37,46.50,94.12,76.20,51.53,94.02
Singapore,SGP,2004,77.93,37,76.35,28,65.28,94.74,90.09,96.88,86.75,72.79,86.42,42.33,43.42,61.24,93.49,86.52,80.96,82.24,85.80,88.54,90.43,46.50,93.66,76.20,45.42,93.69
Singapore,SGP,2003,77.56,36,75.74,28,65.28,94.74,91.99,97.29,87.33,72.79,86.42,42.33,43.42,61.24,91.11,82.14,80.96,82.24,84.11,87.06,89.59,46.50,93.38,76.20,44.56,92.90
Singapore,SGP,2002,78.33,36,75.18,28,65.28,94.74,93.62,97.09,87.68,72.79,86.42,42.33,43.42,61.24,91.27,89.77,80.96,82.24,86.06,85.99,88.68,46.50,93.25,76.20,43.34,92.31
Singapore,SGP,2001,78.21,34,74.78,28,65.28,94.74,92.81,96.98,87.45,72.79,86.42,42.33,43.42,61.24,93.09,87.50,80.96,82.24,85.95,85.46,88.12,46.50,93.00,76.20,41.77,92.38
Singapore,SGP,2000,78.12,34,74.64,27,65.28,94.74,92.54,96.15,87.18,72.79,86.42,42.33,43.42,61.24,93.09,87.50,80.96,82.24,85.95,86.14,87.56,46.50,92.56,76.20,40.89,92.64
Singapore,SGP,1999,77.23,37,74.07,29,65.28,94.74,87.92,100.00,86.98,70.45,86.42,41.19,43.42,60.37,91.78,83.22,80.96,81.39,84.34,84.89,86.81,46.50,92.19,76.20,38.96,92.90
Singapore,SGP,1998,77.46,35,73.50,30,65.28,94.74,87.92,100.00,86.98,73.21,86.42,41.19,43.42,61.06,91.78,83.22,80.96,81.39,84.34,84.03,86.35,46.50,91.73,76.20,37.08,92.64
Singapore,SGP,1997,77.29,35,73.20,30,59.72,94.74,87.92,100.00,85.60,73.21,86.42,41.19,43.42,61.06,91.54,86.98,80.96,81.39,85.22,85.05,85.59,46.50,91.47,76.20,35.24,92.38
Singapore,SGP,1996,76.67,36,72.63,30,52.78,94.74,87.92,100.00,83.86,72.73,86.42,41.19,43.42,60.94,91.54,86.98,80.96,81.39,85.22,84.21,85.03,46.50,91.07,76.20,33.45,91.98
Singapore,SGP,1995,76.59,37,72.14,31,52.78,94.74,87.92,100.00,83.86,72.73,86.42,40.27,43.42,60.71,91.54,86.98,80.96,81.39,85.22,83.64,84.47,46.50,90.77,76.20,31.69,91.72
