Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
El Salvador,SLV,2022,51.56,118,65.62,88,87.50,63.16,37.18,74.09,65.48,77.80,57.27,65.40,30.67,57.78,37.73,60.12,22.72,5.14,31.43,52.83,79.32,63.08,86.87,89.87,31.51,55.85
El Salvador,SLV,2021,52.44,116,65.62,88,87.50,73.68,37.18,74.09,68.11,77.80,57.27,65.40,30.67,57.78,37.73,60.12,22.72,5.14,31.43,52.83,79.32,63.08,86.87,89.87,31.51,55.85
El Salvador,SLV,2020,61.50,90,65.26,92,87.50,73.68,37.18,74.09,68.11,86.75,61.13,71.06,78.03,74.24,38.27,61.93,25.27,43.17,42.16,51.07,79.32,63.08,86.87,89.91,31.51,55.06
El Salvador,SLV,2019,65.26,75,65.35,90,87.50,78.95,36.64,81.69,71.19,86.90,72.50,80.54,77.10,79.26,35.84,62.24,34.96,48.29,45.33,52.77,78.91,63.08,86.87,89.91,31.34,54.53
El Salvador,SLV,2018,65.58,77,65.39,89,87.50,84.21,35.28,80.44,71.86,87.74,72.98,87.02,65.39,78.28,35.73,56.54,42.41,51.73,46.60,52.44,78.50,63.55,86.80,89.91,30.80,55.72
El Salvador,SLV,2017,67.14,69,65.30,90,87.50,84.21,35.55,81.79,72.26,89.08,75.80,91.45,68.19,81.13,37.42,59.13,42.41,53.19,48.04,52.10,78.08,64.95,86.52,89.91,29.72,55.85
El Salvador,SLV,2016,66.74,70,64.38,93,81.94,78.95,35.69,81.37,69.49,88.23,80.10,90.53,66.94,81.45,37.64,62.38,41.22,55.90,49.28,51.79,77.66,60.28,85.83,89.91,29.33,55.85
El Salvador,SLV,2015,66.94,68,63.88,94,81.94,78.95,36.64,81.27,69.70,88.33,79.68,89.70,64.97,80.67,39.49,64.05,41.22,57.08,50.46,51.43,77.22,58.88,84.95,89.91,28.88,55.91
El Salvador,SLV,2014,67.42,70,63.32,94,81.94,73.68,41.38,83.14,70.04,88.79,79.88,89.70,64.97,80.83,42.46,63.89,41.22,58.00,51.39,51.08,76.78,56.54,84.63,89.91,28.42,55.85
El Salvador,SLV,2013,66.21,71,62.66,97,76.39,73.68,42.06,77.11,67.31,86.06,79.93,89.70,64.97,80.17,41.74,63.71,41.22,58.00,51.17,50.86,76.33,52.34,85.59,89.91,28.55,55.06
El Salvador,SLV,2012,66.65,67,63.02,98,76.39,78.95,38.94,77.21,67.87,85.60,81.37,90.63,61.66,79.81,40.87,69.14,40.12,58.92,52.26,50.55,75.88,56.07,86.33,89.91,27.98,54.40
El Salvador,SLV,2011,66.62,70,62.42,93,76.39,78.95,38.94,78.56,68.21,85.19,81.81,90.73,61.66,79.85,43.01,66.64,40.12,57.39,51.79,50.12,75.43,54.91,85.49,89.91,27.13,53.94
El Salvador,SLV,2010,66.68,68,60.77,101,76.39,78.95,38.67,79.81,68.45,85.19,81.81,90.73,61.66,79.85,43.90,65.58,40.12,57.39,51.75,49.53,74.98,52.10,85.87,83.38,27.40,52.17
El Salvador,SLV,2009,65.59,71,59.46,105,76.39,73.68,40.84,81.27,68.05,84.60,81.55,88.36,57.10,77.90,43.58,64.25,40.12,55.28,50.81,49.23,74.55,46.73,84.90,83.38,26.23,51.18
El Salvador,SLV,2008,64.45,74,59.43,104,70.83,73.68,44.23,84.81,68.39,80.71,81.55,87.64,49.02,74.73,40.11,65.19,40.12,55.49,50.23,49.68,74.13,44.16,85.66,83.38,25.79,53.22
El Salvador,SLV,2007,63.94,72,59.59,99,70.83,73.68,42.88,84.18,67.89,80.97,81.55,87.64,49.02,74.79,39.49,64.24,40.12,52.63,49.12,49.38,73.73,48.13,85.23,83.38,24.83,52.43
El Salvador,SLV,2006,63.82,70,59.16,97,70.83,73.68,44.37,83.25,68.03,80.79,81.55,87.64,49.02,74.75,40.92,60.99,40.12,52.63,48.67,49.13,73.34,46.96,84.96,83.38,24.72,51.64
El Salvador,SLV,2005,63.38,69,57.94,103,70.83,73.68,45.18,81.69,67.85,79.95,81.55,87.23,49.02,74.44,36.57,63.71,40.12,51.05,47.86,48.44,72.95,40.42,84.94,83.38,24.28,51.18
