Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Serbia,SRB,2022,62.66,86,68.41,72,100.00,73.68,52.65,70.03,74.09,68.05,80.16,58.19,33.89,60.07,42.51,61.67,53.93,57.12,53.81,67.40,80.61,73.13,49.12,82.56,57.58,68.46
Serbia,SRB,2021,62.66,86,68.41,72,100.00,73.68,52.65,70.03,74.09,68.05,80.16,58.19,33.89,60.07,42.51,61.67,53.93,57.12,53.81,67.40,80.61,73.13,49.12,82.56,57.58,68.46
Serbia,SRB,2020,63.63,84,67.91,74,100.00,73.68,52.65,70.03,74.09,67.62,82.38,60.66,39.38,62.51,42.01,61.08,53.93,60.18,54.30,65.97,80.61,73.13,49.12,82.58,57.58,66.36
Serbia,SRB,2019,66.86,70,68.59,69,100.00,73.68,52.65,82.62,77.24,67.92,81.94,59.22,64.04,68.28,42.28,63.06,54.08,60.88,55.07,66.02,83.80,73.13,49.12,82.58,58.62,66.89
Serbia,SRB,2018,66.75,69,67.90,74,100.00,73.68,51.83,81.06,76.64,68.39,81.55,56.64,67.67,68.56,43.85,64.57,54.08,57.68,55.05,65.16,83.71,71.96,48.82,79.81,58.40,67.41
Serbia,SRB,2017,67.01,71,67.66,75,100.00,73.68,49.25,80.12,75.77,70.39,85.92,60.35,68.29,71.24,43.35,66.15,54.08,52.56,54.04,64.27,83.06,69.16,48.95,83.09,57.97,67.15
Serbia,SRB,2016,68.46,63,66.08,84,100.00,73.68,48.71,78.04,75.11,73.41,90.15,64.16,71.92,74.91,42.81,67.23,54.08,57.30,55.35,63.80,83.34,63.08,48.62,79.70,57.31,66.75
Serbia,SRB,2015,69.84,61,65.06,89,100.00,78.95,47.90,77.94,76.20,74.84,91.48,63.23,77.20,76.69,43.91,69.23,54.76,58.58,56.62,63.11,82.59,59.11,45.85,79.70,56.36,68.73
Serbia,SRB,2014,70.10,60,64.38,90,100.00,78.95,47.49,78.67,76.28,75.64,91.48,65.40,77.20,77.43,44.18,68.12,54.76,59.33,56.59,62.70,82.68,59.11,44.54,79.70,54.09,67.81
Serbia,SRB,2013,69.52,59,64.10,89,100.00,68.42,47.35,75.34,72.78,78.49,91.48,71.27,84.04,81.32,41.39,62.86,54.76,58.82,54.46,62.91,82.40,61.45,43.57,79.70,53.00,65.70
Serbia,SRB,2012,72.10,55,64.84,86,100.00,63.16,49.93,73.67,71.69,85.55,94.68,83.11,87.98,87.83,41.10,59.99,61.22,64.75,56.76,62.31,81.75,60.51,41.95,87.05,52.49,67.81
Serbia,SRB,2011,72.53,55,64.39,86,100.00,63.16,49.93,73.36,71.61,86.77,94.68,84.35,92.85,89.66,42.21,58.66,61.22,63.18,56.32,62.34,81.19,60.51,39.97,87.05,52.10,67.54
Serbia,SRB,2010,71.41,56,63.77,85,100.00,52.63,49.12,73.88,68.91,86.77,94.68,86.92,92.85,90.31,42.56,55.85,61.22,60.40,55.01,61.84,80.82,60.51,37.45,87.05,49.23,69.51
