Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
South Sudan,SSD,2022,19.82,168,48.40,163,61.11,0.00,,0.00,20.37,40.56,29.57,15.65,19.27,26.26,1.83,17.77,16.76,14.89,12.81,,50.50,50.70,66.21,64.09,10.53,
South Sudan,SSD,2021,19.82,168,48.40,164,61.11,0.00,,0.00,20.37,40.56,29.57,15.65,19.27,26.26,1.83,17.77,16.76,14.89,12.81,,50.50,50.70,66.21,64.09,10.53,
South Sudan,SSD,2020,21.84,168,48.89,163,61.11,0.00,,0.00,20.37,53.50,22.69,23.79,19.27,29.81,1.41,19.57,24.61,15.71,15.32,,50.50,50.70,66.21,66.51,10.53,
South Sudan,SSD,2019,19.79,170,48.12,165,61.11,0.00,,0.00,20.37,50.12,25.96,19.36,19.27,28.68,2.23,13.53,9.00,16.46,10.31,,50.04,50.70,66.21,63.11,10.53,
South Sudan,SSD,2018,15.41,172,47.66,167,27.78,0.00,,0.00,9.26,51.76,19.06,11.95,22.28,26.26,3.43,14.93,15.19,9.33,10.72,,49.59,50.70,65.19,62.32,10.53,
South Sudan,SSD,2017,15.67,172,46.96,167,27.78,0.00,,0.00,9.26,51.50,17.53,15.04,22.28,26.59,2.10,14.74,13.34,14.43,11.15,,49.14,50.70,63.74,60.69,10.53,
South Sudan,SSD,2016,15.25,172,46.95,167,27.78,0.00,,0.00,9.26,49.60,18.76,15.35,13.58,24.32,3.19,15.42,13.34,16.69,12.16,,48.68,50.70,61.86,62.97,10.53,
South Sudan,SSD,2015,18.07,169,45.76,169,27.78,0.00,,0.00,9.26,53.09,23.88,19.88,27.67,31.13,5.66,16.29,18.59,14.79,13.83,,48.19,45.56,61.54,62.97,10.53,
South Sudan,SSD,2014,18.38,169,45.63,168,27.78,0.00,,0.00,9.26,53.53,23.32,18.95,27.67,30.87,7.11,10.81,25.92,16.19,15.01,,47.62,45.56,61.72,62.97,10.25,
South Sudan,SSD,2013,21.33,169,45.36,167,27.78,0.00,,0.00,9.26,53.09,27.87,23.07,27.67,32.92,13.72,29.36,25.92,18.23,21.81,,46.96,45.56,61.33,62.97,9.98,
South Sudan,SSD,2012,25.48,166,45.42,166,20.83,0.00,,0.00,6.94,57.48,39.33,38.00,35.13,42.49,15.57,40.97,24.59,26.95,27.02,,46.20,45.56,61.13,64.52,9.71,
South Sudan,SSD,2011,25.12,165,45.03,166,20.83,0.00,,0.00,6.94,56.91,39.09,38.62,35.13,42.44,18.27,35.43,23.74,26.44,25.97,,45.33,45.56,60.32,64.52,9.43,
