Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Sao Tome and Principe,STP,2022,68.63,63,52.42,150,81.94,63.16,,0.00,48.37,87.52,94.04,87.95,91.61,90.28,,,63.25,71.22,67.24,38.83,73.81,58.64,,61.98,28.83,
Sao Tome and Principe,STP,2021,68.63,63,57.27,122,81.94,63.16,,0.00,48.37,87.52,94.04,87.95,91.61,90.28,,,63.25,71.22,67.24,38.83,73.81,58.64,,86.24,28.83,
Sao Tome and Principe,STP,2020,68.52,63,60.55,112,81.94,63.16,,0.00,48.37,87.98,94.04,87.95,91.61,90.39,,,63.25,70.37,66.81,38.85,73.81,58.64,76.96,86.24,28.83,
Sao Tome and Principe,STP,2019,64.37,81,60.46,114,50.00,63.16,,0.00,37.72,89.23,94.04,87.95,87.25,89.62,,,63.25,68.30,65.78,38.64,73.44,58.64,76.96,86.24,28.83,
Sao Tome and Principe,STP,2018,63.13,87,60.08,113,50.00,63.16,,0.00,37.72,86.87,94.04,87.33,86.11,88.59,,,63.25,62.92,63.09,38.59,73.04,58.64,76.40,86.24,27.59,
Sao Tome and Principe,STP,2017,64.81,80,59.66,115,50.00,68.42,,0.00,39.47,87.76,94.04,87.23,87.77,89.20,,,63.25,68.25,65.75,38.40,72.60,58.64,75.70,86.24,26.38,
Sao Tome and Principe,STP,2016,64.85,77,62.98,98,50.00,63.16,,0.00,37.72,88.12,94.04,87.64,87.77,89.39,,,63.25,71.60,67.43,38.06,72.11,81.78,74.49,86.24,25.19,
Sao Tome and Principe,STP,2015,64.00,81,62.40,102,50.00,52.63,,0.00,34.21,88.52,94.04,87.64,87.77,89.49,,,63.25,73.32,68.29,37.66,71.56,81.78,73.12,86.24,24.03,
Sao Tome and Principe,STP,2014,63.77,82,61.72,103,50.00,52.63,,0.00,34.21,87.76,94.04,87.64,87.77,89.30,,,63.25,72.36,67.81,37.31,70.95,81.78,72.25,86.24,21.79,
Sao Tome and Principe,STP,2013,64.03,77,61.31,103,50.00,52.63,,0.00,34.21,87.55,94.04,87.64,89.02,89.56,,,63.25,73.36,68.31,36.51,70.29,81.78,72.41,86.24,20.65,
Sao Tome and Principe,STP,2012,62.89,83,60.88,104,50.00,47.37,,0.00,32.46,88.41,92.64,87.44,84.77,88.31,,,63.25,72.52,67.89,36.01,69.56,81.78,72.15,86.24,19.52,
Sao Tome and Principe,STP,2011,62.96,82,60.47,103,50.00,47.37,,0.00,32.46,88.51,92.64,87.44,84.77,88.34,,,63.25,72.90,68.08,35.83,68.77,81.78,71.24,86.24,18.97,
Sao Tome and Principe,STP,2010,62.95,81,59.89,103,50.00,47.37,,0.00,32.46,88.46,92.64,87.44,84.77,88.33,,,63.25,72.90,68.08,35.46,67.92,81.78,69.52,86.24,18.42,
Sao Tome and Principe,STP,2009,62.16,80,59.03,106,50.00,42.11,,0.00,30.70,88.36,92.64,86.20,84.77,87.99,,,63.25,72.29,67.77,34.75,67.01,78.74,68.96,86.24,18.51,
Sao Tome and Principe,STP,2008,62.16,80,58.50,106,50.00,42.11,,0.00,30.70,88.36,92.64,86.20,84.77,87.99,,,63.25,72.29,67.77,34.81,66.02,78.74,67.83,86.24,17.38,
Sao Tome and Principe,STP,2007,62.16,79,57.88,106,50.00,42.11,,0.00,30.70,88.36,92.64,86.20,84.77,87.99,,,63.25,72.29,67.77,33.91,64.98,78.74,65.80,86.24,17.63,
Sao Tome and Principe,STP,2006,62.16,80,57.45,105,50.00,42.11,,0.00,30.70,88.36,92.64,86.20,84.77,87.99,,,63.25,72.29,67.77,33.84,63.89,78.74,64.74,86.24,17.28,
Sao Tome and Principe,STP,2005,62.12,75,57.07,105,50.00,42.11,,0.00,30.70,88.34,92.64,86.20,84.35,87.88,,,63.25,72.29,67.77,32.74,62.75,78.74,65.01,86.24,16.93,
Sao Tome and Principe,STP,2004,61.73,79,56.05,107,50.00,42.11,,0.00,30.70,88.34,91.97,85.17,81.35,86.71,,,63.25,72.29,67.77,31.94,61.56,78.74,61.48,86.24,16.33,
Sao Tome and Principe,STP,2003,61.37,79,55.82,105,50.00,42.11,,0.00,30.70,88.34,91.97,84.76,77.51,85.64,,,63.25,72.29,67.77,31.66,60.33,78.74,62.28,86.24,15.66,
Sao Tome and Principe,STP,2002,60.90,83,54.86,109,50.00,42.11,,0.00,30.70,88.44,91.97,84.76,71.71,84.22,,,63.25,72.29,67.77,30.87,59.07,78.74,58.94,86.24,15.33,
Sao Tome and Principe,STP,2001,60.75,83,54.61,106,50.00,42.11,,0.00,30.70,88.08,91.97,84.76,70.26,83.77,,,63.25,72.29,67.77,30.78,57.82,78.74,59.06,86.24,15.00,
Sao Tome and Principe,STP,2000,60.68,81,54.11,107,50.00,42.11,,0.00,30.70,87.32,91.97,84.76,70.26,83.58,,,63.25,72.29,67.77,30.78,56.60,78.74,57.63,86.24,14.68,
Sao Tome and Principe,STP,1999,61.22,78,52.03,114,50.00,42.11,,0.00,30.70,87.32,91.42,84.76,70.26,83.44,,,63.25,75.76,69.51,30.78,55.44,78.74,53.85,78.99,14.37,
Sao Tome and Principe,STP,1998,61.17,79,51.64,114,50.00,42.11,,0.00,30.70,86.91,91.42,84.76,70.26,83.34,,,63.25,75.70,69.48,30.78,54.35,78.74,52.90,78.99,14.06,
Sao Tome and Principe,STP,1997,61.17,75,51.32,114,50.00,42.11,,0.00,30.70,86.83,91.42,84.76,70.26,83.32,,,63.25,75.70,69.48,30.78,53.37,78.74,52.30,78.99,13.76,
Sao Tome and Principe,STP,1996,61.14,74,51.05,116,50.00,42.11,,0.00,30.70,87.11,91.42,84.14,70.26,83.23,,,63.25,75.70,69.48,30.78,52.51,78.74,51.80,78.99,13.47,
Sao Tome and Principe,STP,1995,60.97,75,50.86,116,50.00,42.11,,0.00,30.70,87.42,89.12,84.14,70.26,82.74,,,63.25,75.70,69.48,30.78,51.81,78.74,51.68,78.99,13.18,
