Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Suriname,SUR,2022,68.48,64,62.89,102,81.94,42.11,39.62,64.00,56.92,95.20,89.89,88.88,87.77,90.43,35.88,71.98,49.36,75.12,58.08,62.65,76.08,18.46,82.41,89.75,44.64,66.23
Suriname,SUR,2021,68.48,64,62.89,102,81.94,42.11,39.62,64.00,56.92,95.20,89.89,88.88,87.77,90.43,35.88,71.98,49.36,75.12,58.08,62.65,76.08,18.46,82.41,89.75,44.64,66.23
Suriname,SUR,2020,67.41,65,63.00,99,70.83,42.11,39.62,64.00,54.14,93.96,87.29,90.42,87.77,89.86,36.43,72.97,49.36,74.11,58.22,63.44,76.08,18.46,82.41,89.76,44.64,66.23
Suriname,SUR,2019,63.57,84,61.59,107,65.28,42.11,38.53,57.75,50.92,93.83,82.35,91.76,71.40,84.84,36.41,66.45,48.87,68.07,54.95,66.73,75.86,18.46,82.41,76.96,44.64,66.10
Suriname,SUR,2018,65.84,74,61.35,107,65.28,42.11,39.08,62.12,52.15,93.83,85.50,91.76,78.76,87.46,37.81,65.71,61.13,67.05,57.93,66.70,75.65,18.46,82.17,76.96,44.05,65.44
Suriname,SUR,2017,65.65,77,62.74,100,65.28,31.58,39.76,62.12,49.68,93.83,84.89,91.66,83.11,88.37,38.64,66.96,61.13,68.88,58.90,66.00,75.45,18.46,81.88,87.46,43.47,66.49
Suriname,SUR,2016,66.51,71,62.51,102,65.28,31.58,47.90,62.12,51.72,93.83,85.44,93.31,81.24,88.46,40.02,67.67,61.13,68.62,59.36,65.90,75.26,18.46,81.01,87.46,42.90,66.56
Suriname,SUR,2015,66.95,67,62.77,97,65.28,31.58,46.68,60.67,51.05,93.55,85.93,93.31,83.83,89.15,40.68,69.59,61.13,71.19,60.65,66.99,75.05,18.46,80.63,87.46,42.33,68.46
Suriname,SUR,2014,67.05,71,63.03,96,65.28,31.58,50.07,59.63,51.64,93.11,85.93,93.31,83.83,89.05,40.07,69.44,61.13,71.19,60.46,67.81,74.84,18.46,81.73,87.46,41.76,69.19
Suriname,SUR,2013,66.60,68,63.10,95,65.28,26.32,43.01,65.35,49.99,93.11,85.93,93.31,83.83,89.05,43.62,67.08,61.13,71.19,60.75,67.96,74.59,18.46,82.95,87.46,41.20,69.12
Suriname,SUR,2012,66.59,68,63.63,94,65.28,26.32,44.78,65.14,50.38,93.79,86.93,92.28,83.42,89.10,43.00,66.00,60.02,72.12,60.28,67.64,74.31,18.46,84.10,91.38,40.63,68.86
Suriname,SUR,2011,65.24,74,63.35,92,65.28,10.53,42.20,64.72,45.68,93.79,86.93,92.28,85.70,89.67,42.50,66.82,60.02,72.12,60.36,67.36,73.98,18.46,84.34,91.38,39.75,68.13
Suriname,SUR,2010,65.59,73,62.84,93,65.28,15.79,42.06,64.41,46.89,93.97,86.93,92.58,85.70,89.80,42.11,66.06,60.02,72.12,60.08,66.54,73.59,18.46,84.22,91.38,38.49,67.21
Suriname,SUR,2009,67.70,63,62.32,93,65.28,31.58,42.06,64.41,50.83,94.27,87.08,93.41,88.19,90.74,43.24,67.37,61.40,74.11,61.53,65.84,73.11,18.46,84.15,91.38,37.24,66.03
Suriname,SUR,2008,67.75,62,62.05,91,65.28,31.58,42.06,64.41,50.83,94.27,87.08,93.41,88.19,90.74,45.39,66.41,61.40,73.55,61.69,65.51,72.55,18.46,83.96,91.38,36.02,66.49
Suriname,SUR,2007,67.42,64,61.45,91,65.28,31.58,42.06,64.41,50.83,94.27,87.08,93.20,88.19,90.69,44.00,64.04,61.40,73.55,60.75,64.99,71.94,18.46,83.77,91.38,34.81,64.78
Suriname,SUR,2006,67.31,64,60.89,91,65.28,31.58,42.06,64.41,50.83,94.27,87.08,93.41,88.19,90.74,42.42,64.11,61.40,73.55,60.37,64.30,71.28,18.46,83.22,91.38,33.62,63.99
Suriname,SUR,2005,68.28,61,60.31,92,65.28,31.58,42.06,64.41,50.83,94.45,87.08,93.41,88.19,90.78,48.88,69.11,61.40,73.55,63.23,63.49,70.63,18.46,82.36,91.38,32.45,63.40
Suriname,SUR,2004,70.24,55,59.72,91,65.28,52.63,42.06,64.41,56.10,94.76,87.08,93.41,88.19,90.86,49.55,70.51,61.40,73.67,63.78,62.91,70.02,18.46,81.04,91.38,31.31,62.94
Suriname,SUR,2003,70.49,55,59.20,92,65.28,52.63,42.06,64.41,56.10,94.76,87.08,93.41,88.19,90.86,48.86,74.18,61.40,73.67,64.53,61.65,69.51,18.46,79.67,91.38,31.31,62.42
Suriname,SUR,2002,70.43,55,58.77,93,65.28,52.63,42.06,64.41,56.10,94.76,87.08,93.41,88.19,90.86,47.86,74.37,61.40,73.67,64.32,60.76,69.11,18.46,78.43,91.38,31.31,61.96
Suriname,SUR,2001,70.19,54,58.54,90,65.28,52.63,42.06,64.41,56.10,94.76,87.08,93.41,88.19,90.86,50.76,68.69,61.40,73.67,63.63,60.48,68.83,18.46,77.92,91.38,31.31,61.37
Suriname,SUR,2000,70.26,54,58.44,89,65.28,52.63,42.06,64.41,56.10,94.89,87.37,93.82,88.19,91.07,50.76,68.69,61.40,73.67,63.63,59.95,68.66,18.46,77.83,91.38,31.31,61.50
Suriname,SUR,1999,69.87,50,58.73,87,65.28,52.63,42.06,64.41,56.10,94.58,87.37,93.51,88.19,90.91,42.08,73.31,61.40,73.67,62.61,59.79,68.58,18.46,78.09,91.38,31.31,63.47
Suriname,SUR,1998,70.39,49,58.79,84,65.28,52.63,42.06,64.41,56.10,94.58,87.37,93.51,88.19,90.91,45.04,76.53,61.40,73.67,64.16,60.26,68.56,18.46,79.25,91.38,31.31,62.29
