Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Slovakia,SVK,2022,80.27,33,79.90,33,87.50,78.95,63.64,78.98,77.27,97.19,87.76,95.16,95.34,93.86,55.14,75.72,62.59,85.30,69.69,75.80,85.54,99.53,77.92,74.63,66.01,
Slovakia,SVK,2021,80.27,33,79.90,33,87.50,78.95,63.64,78.98,77.27,97.19,87.76,95.16,95.34,93.86,55.14,75.72,62.59,85.30,69.69,75.80,85.54,99.53,77.92,74.63,66.01,
Slovakia,SVK,2020,80.46,32,79.81,34,87.50,78.95,63.64,78.98,77.27,97.19,87.39,94.23,95.23,93.51,57.57,77.19,62.59,85.07,70.61,75.23,85.54,99.53,77.92,74.66,66.01,
Slovakia,SVK,2019,80.54,36,79.89,34,87.50,78.95,62.82,86.99,79.07,97.63,90.84,93.00,90.57,93.01,55.42,77.90,63.46,81.44,69.55,76.05,87.03,99.53,77.92,72.83,66.01,
Slovakia,SVK,2018,79.75,37,79.02,35,87.50,78.95,62.69,86.89,79.01,97.11,90.84,88.57,85.49,90.50,56.25,79.44,63.46,79.76,69.73,75.61,86.28,95.33,78.42,72.83,65.63,
Slovakia,SVK,2017,80.54,36,79.06,34,87.50,78.95,62.42,86.99,78.96,97.11,93.23,93.41,84.35,92.03,55.62,82.82,63.46,80.57,70.62,74.96,86.10,99.53,78.74,69.88,65.14,
Slovakia,SVK,2016,80.26,34,79.81,30,87.50,78.95,61.19,85.85,78.37,97.14,92.23,94.13,85.28,92.20,57.56,78.99,63.46,80.80,70.20,74.46,86.10,94.86,78.76,79.61,65.06,
Slovakia,SVK,2015,81.10,34,79.77,30,87.50,84.21,61.74,86.06,79.88,97.14,94.01,94.13,85.28,92.64,56.46,82.10,63.46,81.18,70.80,74.14,84.97,91.82,77.52,84.81,65.34,
Slovakia,SVK,2014,81.66,32,79.81,30,87.50,84.21,61.19,89.18,80.52,97.14,94.01,93.51,85.28,92.49,56.56,85.43,63.46,82.42,71.97,73.24,85.44,92.76,77.76,84.81,64.88,
Slovakia,SVK,2013,80.77,34,78.76,31,87.50,78.95,62.42,82.10,77.74,97.19,94.01,93.51,85.28,92.50,55.03,87.06,63.46,82.72,72.07,72.77,84.69,88.08,76.78,84.81,65.44,
Slovakia,SVK,2012,81.18,34,79.19,28,87.50,78.95,62.69,82.00,77.78,97.71,94.84,94.03,86.11,93.17,55.83,86.43,65.94,82.12,72.58,72.67,84.12,92.76,75.60,84.81,65.18,
Slovakia,SVK,2011,81.62,33,78.85,30,80.56,78.95,64.45,82.73,76.67,97.48,95.56,95.78,86.11,93.73,57.63,84.13,73.12,82.99,74.47,72.46,83.84,91.82,74.33,84.81,65.81,
Slovakia,SVK,2010,80.71,34,78.69,29,80.56,73.68,61.06,83.56,74.71,97.71,95.56,95.37,86.11,93.69,57.90,85.72,68.82,82.43,73.72,72.01,82.26,89.95,73.66,89.44,64.82,
Slovakia,SVK,2009,79.89,34,77.24,32,80.56,73.68,61.60,83.66,74.88,96.67,93.95,94.23,86.11,92.74,58.92,83.03,64.76,81.46,72.04,70.93,81.88,90.19,72.33,84.68,63.42,
Slovakia,SVK,2008,80.26,33,77.45,31,80.56,73.68,62.82,82.52,74.90,96.54,94.84,94.23,86.11,92.93,59.31,86.30,64.76,81.46,72.96,71.97,81.50,92.99,71.63,84.68,61.92,
Slovakia,SVK,2007,80.18,34,77.16,30,80.56,73.68,64.04,82.73,75.25,96.54,94.84,93.82,86.11,92.83,57.49,85.38,64.76,82.18,72.45,71.00,80.57,96.03,70.53,84.68,60.14,
Slovakia,SVK,2006,80.07,34,76.06,32,80.56,73.68,66.62,81.58,75.61,96.39,94.84,93.72,86.11,92.76,59.81,80.27,64.76,82.53,71.84,69.16,80.57,93.46,70.74,84.68,57.74,
Slovakia,SVK,2005,80.80,33,73.95,36,80.56,73.68,67.84,81.58,75.92,96.65,94.84,96.09,86.11,93.42,61.20,82.58,64.76,83.69,73.06,67.69,80.01,85.28,70.38,84.68,55.69,
Slovakia,SVK,2004,79.02,34,74.37,35,66.67,73.68,64.04,86.06,72.61,96.67,94.84,96.09,86.11,93.43,59.28,76.41,64.76,83.69,71.03,66.53,80.11,90.42,70.98,84.68,53.51,
Slovakia,SVK,2003,78.52,34,73.72,35,66.67,73.68,57.39,81.58,69.83,96.75,94.84,96.09,86.11,93.45,57.08,83.58,64.76,83.69,72.28,65.60,79.45,90.42,70.55,84.68,51.59,
Slovakia,SVK,2002,77.45,37,73.27,35,66.67,73.68,56.45,77.00,68.45,96.67,92.91,96.09,86.11,92.95,51.99,83.42,64.76,83.69,70.97,64.63,79.45,90.42,70.70,84.68,49.73,
Slovakia,SVK,2001,77.42,37,72.65,36,66.67,73.68,56.17,78.46,68.75,96.62,92.91,96.09,86.11,92.93,56.47,77.83,64.76,83.30,70.59,63.83,79.07,90.42,70.38,84.68,47.54,
Slovakia,SVK,2000,75.73,42,72.19,35,66.67,52.63,59.02,76.38,63.68,96.62,92.91,96.09,86.11,92.93,56.47,77.83,64.76,83.30,70.59,63.22,78.42,90.42,70.23,84.68,46.20,
Slovakia,SVK,1999,75.50,40,71.49,34,66.67,52.63,59.16,66.60,61.26,96.34,92.91,96.09,86.11,92.86,53.18,88.29,64.76,83.30,72.38,62.98,78.14,90.42,68.84,84.68,43.90,
Slovakia,SVK,1998,71.56,46,70.84,37,66.67,52.63,59.16,66.60,61.26,94.52,89.31,87.02,70.57,85.36,53.18,88.29,56.88,73.89,68.06,63.02,77.48,90.42,67.41,84.68,42.02,
Slovakia,SVK,1997,69.60,48,70.03,40,66.67,52.63,59.16,66.60,61.26,91.97,89.31,82.60,61.14,81.25,54.23,82.19,56.88,71.81,66.28,62.32,77.77,90.42,66.14,84.68,38.84,
Slovakia,SVK,1996,71.20,47,69.58,40,66.67,73.68,59.16,66.60,66.53,91.97,87.53,82.60,61.14,80.81,54.23,82.19,56.88,71.81,66.28,61.32,77.67,90.42,66.16,84.68,37.21,
Slovakia,SVK,1995,71.35,46,68.65,40,66.67,73.68,59.16,66.60,66.53,91.97,89.25,82.60,61.14,81.24,54.23,82.19,56.88,71.81,66.28,60.20,76.93,90.42,64.40,84.68,35.29,
