Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Slovenia,SVN,2022,77.18,40,85.07,17,93.06,73.68,67.03,77.42,77.80,94.23,91.89,74.97,89.12,87.55,67.32,79.78,43.25,74.36,66.18,80.09,92.38,96.73,85.35,82.81,79.79,78.32
Slovenia,SVN,2021,77.18,38,85.07,17,93.06,73.68,67.03,77.42,77.80,94.23,91.89,74.97,89.12,87.55,67.32,79.78,43.25,74.36,66.18,80.09,92.38,96.73,85.35,82.81,79.79,78.32
Slovenia,SVN,2020,79.72,35,84.70,17,93.06,73.68,67.03,77.42,77.80,93.86,89.87,82.60,92.95,89.82,68.08,78.79,64.15,75.14,71.54,78.73,92.38,96.73,85.35,82.81,79.79,77.14
Slovenia,SVN,2019,83.54,28,84.07,22,93.06,73.68,67.84,85.43,80.00,91.44,93.44,93.61,95.65,93.54,68.54,80.74,71.96,87.14,77.10,79.63,94.24,96.73,85.35,75.90,79.79,76.87
Slovenia,SVN,2018,84.19,26,83.95,20,93.06,73.68,67.98,85.33,80.01,94.62,94.16,94.95,95.65,94.84,68.39,82.64,71.96,87.85,77.71,79.18,93.96,96.26,85.80,75.90,79.20,77.33
Slovenia,SVN,2017,84.15,24,83.81,21,93.06,73.68,67.03,84.81,79.64,94.51,94.16,95.57,96.68,95.23,68.23,82.08,71.96,88.06,77.58,78.46,93.31,97.20,86.26,75.90,78.77,76.81
Slovenia,SVN,2016,85.20,24,83.50,22,93.06,73.68,67.30,83.77,79.45,96.98,94.16,96.50,96.68,96.08,67.87,84.45,78.60,89.36,80.07,77.62,93.58,95.79,86.23,75.90,78.24,77.14
Slovenia,SVN,2015,85.20,24,82.76,23,93.06,73.68,67.71,84.08,79.63,97.60,94.30,97.53,96.48,96.48,65.75,83.70,78.60,89.95,79.50,77.07,92.83,94.39,85.64,75.90,76.68,76.81
Slovenia,SVN,2014,84.78,27,82.78,23,93.06,73.68,67.03,85.54,79.83,97.08,95.17,97.12,96.48,96.46,65.54,83.95,74.04,88.74,78.07,76.69,93.40,93.69,86.17,75.90,76.02,77.60
Slovenia,SVN,2013,83.52,26,82.26,23,93.06,73.68,63.91,79.81,77.62,96.93,94.90,95.88,95.85,95.89,65.61,82.26,74.04,86.33,77.06,76.22,91.99,92.52,85.06,75.90,77.36,76.74
