Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Sweden,SWE,2022,93.48,1,91.23,3,100.00,89.47,85.48,84.60,89.89,98.72,97.93,98.46,100.00,98.77,88.31,85.33,100.00,93.51,91.79,85.19,95.88,85.28,99.16,95.04,86.50,91.59
Sweden,SWE,2021,93.48,1,91.23,3,100.00,89.47,85.48,84.60,89.89,98.72,97.93,98.46,100.00,98.77,88.31,85.33,100.00,93.51,91.79,85.19,95.88,85.28,99.16,95.04,86.50,91.59
Sweden,SWE,2020,93.58,1,91.05,3,100.00,89.47,85.48,84.60,89.89,98.72,97.93,98.76,100.00,98.85,88.85,85.17,100.00,93.93,91.99,84.46,95.88,85.28,99.16,95.04,86.50,91.06
Sweden,SWE,2019,93.83,2,91.32,3,100.00,89.47,84.67,88.35,90.62,98.72,97.81,98.76,100.00,98.82,88.80,85.44,100.00,93.93,92.04,85.13,97.19,85.28,99.16,95.04,86.50,90.93
Sweden,SWE,2018,93.72,2,90.71,4,100.00,89.47,84.94,88.45,90.72,99.05,97.81,98.66,99.27,98.70,89.01,83.44,100.00,94.54,91.75,84.96,96.16,83.64,99.09,95.04,87.29,88.76
Sweden,SWE,2017,93.53,4,90.88,4,100.00,89.47,87.52,88.45,91.36,99.13,98.11,99.18,98.65,98.77,89.00,84.32,93.41,95.14,90.47,84.82,95.88,86.45,99.16,95.04,85.93,88.90
Sweden,SWE,2016,93.57,3,90.04,6,100.00,89.47,88.33,87.41,91.30,99.13,98.23,99.18,98.65,98.79,88.92,85.00,93.41,95.18,90.63,84.60,95.69,84.58,99.02,95.04,82.55,88.83
Sweden,SWE,2015,94.34,2,89.91,5,100.00,94.74,92.13,87.93,93.70,99.13,98.38,99.38,98.65,98.89,89.55,83.57,93.41,95.18,90.43,84.46,95.50,85.51,98.81,95.04,80.99,89.03
Sweden,SWE,2014,94.66,2,89.83,4,100.00,94.74,90.09,89.80,93.66,99.10,100.00,99.38,98.65,99.28,88.39,85.96,93.41,96.40,91.04,83.86,95.59,87.38,98.41,95.04,78.96,89.55
Sweden,SWE,2013,94.40,3,89.33,6,100.00,94.74,89.01,83.87,91.90,99.15,100.00,99.38,98.65,99.30,90.96,87.23,93.41,96.40,92.00,83.56,95.04,86.45,97.82,95.04,78.05,89.36
Sweden,SWE,2012,94.73,3,88.24,8,100.00,94.74,90.64,84.50,92.47,99.15,100.00,99.38,98.45,99.24,92.64,88.09,93.41,95.80,92.48,83.50,94.57,89.25,97.17,95.04,68.69,89.42
Sweden,SWE,2011,94.28,3,88.24,8,100.00,89.47,90.91,85.64,91.51,98.71,99.82,99.38,98.45,99.09,91.54,89.31,93.41,94.78,92.26,83.74,94.75,89.25,96.70,95.04,68.28,89.95
Sweden,SWE,2010,94.42,2,88.60,5,100.00,89.47,92.67,87.62,92.44,98.66,99.60,99.38,98.45,99.02,92.51,86.55,93.41,94.75,91.80,83.31,94.09,89.02,96.44,99.54,68.52,89.29
Sweden,SWE,2009,94.06,2,88.26,5,100.00,84.21,93.35,87.41,91.24,98.79,99.60,99.38,98.13,98.98,93.58,86.35,93.41,94.48,91.96,82.43,93.91,89.95,96.32,99.54,67.32,88.37
Sweden,SWE,2008,93.99,2,88.22,5,100.00,84.21,93.89,86.47,91.14,98.79,99.60,99.38,98.13,98.98,92.25,87.24,93.41,94.48,91.84,83.38,93.44,88.08,96.25,99.54,66.96,89.88
Sweden,SWE,2007,94.34,2,88.74,3,100.00,84.21,93.62,87.20,91.26,98.79,99.60,99.28,98.13,98.95,93.24,90.14,93.41,94.48,92.82,83.60,93.07,90.42,96.09,99.54,68.72,89.75
Sweden,SWE,2006,94.86,1,88.74,3,100.00,94.74,91.45,87.30,93.37,98.84,99.60,99.28,98.13,98.96,90.47,90.59,93.41,94.48,92.23,83.12,92.78,92.06,96.04,99.54,68.82,88.83
Sweden,SWE,2005,94.50,1,88.32,2,100.00,94.74,90.09,87.41,93.06,98.79,99.27,99.28,98.24,98.90,89.38,90.71,93.41,92.63,91.53,82.40,92.41,91.12,95.90,99.54,68.67,88.17
