Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Seychelles,SYC,2022,77.11,43,75.91,43,75.00,57.89,56.72,78.15,66.94,87.37,81.73,81.36,76.58,81.76,75.34,79.80,82.15,93.23,82.63,73.13,86.23,78.74,89.10,77.97,50.32,
Seychelles,SYC,2021,77.11,41,75.91,43,75.00,57.89,56.72,78.15,66.94,87.37,81.73,81.36,76.58,81.76,75.34,79.80,82.15,93.23,82.63,73.13,86.23,78.74,89.10,77.97,50.32,
Seychelles,SYC,2020,74.94,46,75.88,42,75.00,57.89,56.72,78.15,66.94,83.14,81.73,82.70,76.89,81.11,70.71,79.14,69.63,87.56,76.76,72.94,86.23,78.74,89.10,77.93,50.32,
Seychelles,SYC,2019,75.14,47,74.49,46,75.00,57.89,55.36,86.78,68.76,82.17,82.19,78.99,81.66,81.25,67.64,78.22,69.63,86.17,75.41,74.54,80.27,78.74,89.10,73.05,51.24,
Seychelles,SYC,2018,74.68,49,74.03,47,75.00,57.89,55.50,86.06,68.61,82.17,82.19,76.21,81.66,80.56,64.09,78.31,69.63,87.42,74.86,74.15,78.02,78.74,89.13,73.05,51.11,
Seychelles,SYC,2017,73.68,54,68.57,68,75.00,57.89,55.36,79.60,66.96,82.17,80.47,75.70,80.52,79.71,62.61,80.46,69.63,84.73,74.36,73.75,80.75,44.39,89.30,73.05,50.19,
Seychelles,SYC,2016,73.41,54,68.68,66,69.44,57.89,55.36,84.29,66.75,80.98,80.31,75.28,76.99,78.39,65.80,79.23,69.63,85.75,75.10,73.18,80.76,44.39,89.69,73.05,51.01,
Seychelles,SYC,2015,72.18,57,68.70,63,69.44,52.63,53.32,83.87,64.82,78.69,80.34,72.50,75.75,76.82,66.54,78.34,68.95,85.75,74.89,72.48,80.74,44.39,90.19,73.05,51.37,
Seychelles,SYC,2014,70.56,59,68.36,65,69.44,52.63,48.98,88.97,65.01,78.51,81.51,70.03,73.47,75.88,58.87,71.71,68.95,83.68,70.80,71.90,78.75,44.39,90.46,73.05,51.63,
Seychelles,SYC,2013,71.03,57,67.71,65,69.44,47.37,48.98,91.78,64.39,78.51,80.95,68.59,73.47,75.38,59.53,81.11,68.95,83.68,73.32,71.38,78.54,44.39,90.50,73.05,48.41,
Seychelles,SYC,2012,70.00,58,68.06,63,69.44,47.37,48.98,91.78,64.39,76.46,79.88,67.66,69.33,73.33,60.50,79.46,68.95,80.15,72.26,70.66,80.70,44.39,90.55,73.05,48.99,
Seychelles,SYC,2011,70.35,58,66.70,65,69.44,47.37,48.98,91.78,64.39,76.23,79.88,67.66,69.95,73.43,60.62,83.38,68.48,80.46,73.23,70.61,77.81,44.39,90.78,73.87,42.75,
Seychelles,SYC,2010,70.52,58,67.46,60,69.44,52.63,48.98,91.78,65.71,76.02,79.88,67.66,69.95,73.38,60.27,81.74,67.46,80.46,72.48,68.77,78.69,44.39,90.57,73.87,48.45,
Seychelles,SYC,2009,69.99,59,67.23,61,69.44,52.63,48.98,91.78,65.71,76.02,78.72,67.66,69.95,73.09,60.32,76.50,67.46,80.46,71.18,68.23,78.48,44.39,90.18,73.87,48.25,
Seychelles,SYC,2008,70.32,58,67.29,61,69.44,52.63,48.98,91.78,65.71,76.02,78.72,67.97,69.95,73.16,60.87,79.56,67.46,80.46,72.08,68.50,78.63,44.39,90.10,73.87,48.24,
Seychelles,SYC,2007,70.09,57,67.35,57,69.44,52.63,48.98,91.78,65.71,75.97,78.72,67.97,69.95,73.15,57.09,80.34,67.46,80.76,71.41,69.30,78.59,44.39,90.00,73.87,47.94,
