Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Syria,SYR,2022,17.34,171,60.82,111,25.00,0.00,18.72,25.39,17.28,51.12,14.09,2.99,9.64,19.46,8.82,10.47,27.08,14.78,15.29,,79.54,66.12,75.04,41.07,15.87,87.25
Syria,SYR,2021,17.34,171,60.82,111,25.00,0.00,18.72,25.39,17.28,51.12,14.09,2.99,9.64,19.46,8.82,10.47,27.08,14.78,15.29,,79.54,66.12,75.04,41.07,15.87,87.25
Syria,SYR,2020,16.64,172,61.34,108,25.00,0.00,18.72,25.39,17.28,51.48,14.02,3.81,9.12,19.61,9.63,9.56,19.29,13.60,13.02,,79.54,66.12,75.04,44.20,15.87,87.25
Syria,SYR,2019,16.98,172,61.04,110,18.06,0.00,19.00,44.02,20.27,50.70,13.69,3.40,3.32,17.78,10.13,9.12,19.29,13.11,12.91,,77.75,66.12,75.04,44.20,15.87,87.25
Syria,SYR,2018,16.48,171,60.05,116,18.06,0.00,19.00,42.98,20.01,50.36,13.97,3.30,3.32,17.74,11.25,8.84,13.95,12.80,11.71,,76.04,66.12,75.44,39.59,15.87,87.25
Syria,SYR,2017,16.77,171,59.92,112,18.06,0.00,18.72,43.29,20.02,50.55,14.33,3.60,3.42,17.97,10.97,11.33,13.95,13.04,12.32,,74.53,66.12,75.89,39.59,15.87,87.52
Syria,SYR,2016,16.19,171,59.81,114,18.06,0.00,19.27,40.37,19.42,50.62,13.10,3.09,3.42,17.56,10.38,5.35,18.73,11.92,11.59,,73.31,66.12,76.54,39.59,15.75,87.52
Syria,SYR,2015,16.94,171,59.83,112,18.06,0.00,19.81,47.14,21.25,50.62,12.53,2.88,3.11,17.29,12.99,4.18,18.73,13.21,12.28,,72.55,66.12,77.33,39.59,15.75,87.65
Syria,SYR,2014,17.33,171,60.23,109,18.06,0.00,22.80,42.98,20.96,50.86,12.53,3.19,2.59,17.29,14.86,8.74,18.73,12.67,13.75,,72.39,66.12,78.19,39.59,17.59,87.52
Syria,SYR,2013,16.54,172,60.87,105,18.06,10.53,5.56,37.15,17.82,50.39,12.53,2.78,1.76,16.87,18.23,10.11,18.73,12.67,14.94,,72.81,66.12,79.65,39.59,19.63,87.39
Syria,SYR,2012,20.36,170,63.53,95,18.06,21.05,23.88,34.13,24.28,51.62,16.13,4.74,3.83,19.08,21.31,10.08,26.21,13.28,17.72,,73.75,66.12,81.66,44.39,27.99,87.25
Syria,SYR,2011,24.29,168,64.39,85,18.06,21.05,23.74,52.86,28.93,51.85,18.75,5.15,6.11,20.47,29.21,23.65,26.21,14.83,23.48,,75.09,66.12,83.45,48.64,26.18,86.86
Syria,SYR,2010,28.04,163,64.71,74,12.50,21.05,23.07,58.90,28.88,52.58,28.68,3.81,6.11,22.80,29.92,48.08,32.63,19.11,32.43,,76.66,66.12,84.72,49.08,25.35,86.33
Syria,SYR,2009,30.29,162,65.09,69,12.50,42.11,22.66,59.11,34.09,52.56,28.89,3.91,6.11,22.87,30.09,54.08,32.63,18.80,33.90,,78.20,66.12,85.39,49.08,25.84,85.94
Syria,SYR,2008,29.70,162,65.12,69,12.50,31.58,25.10,57.23,31.60,52.56,28.89,3.91,6.11,22.87,29.57,57.53,32.63,18.80,34.63,,79.53,66.12,85.67,49.08,24.77,85.55
Syria,SYR,2007,29.47,162,65.68,64,12.50,31.58,27.14,53.38,31.15,52.79,28.89,3.91,6.11,22.92,28.41,57.51,32.63,18.80,34.34,,80.47,66.12,86.80,49.08,26.35,85.28
Syria,SYR,2006,29.33,162,65.50,63,12.50,31.58,23.88,55.36,30.83,53.32,28.84,3.91,6.11,23.05,27.88,58.76,32.63,17.12,34.10,,80.96,66.12,87.36,49.08,24.62,84.89
Syria,SYR,2005,29.36,162,65.14,61,12.50,31.58,24.15,59.63,31.96,53.32,28.84,3.81,6.11,23.02,25.53,55.05,32.63,19.14,33.09,,80.99,66.12,87.24,49.08,22.95,84.49
Syria,SYR,2004,28.76,163,64.62,62,12.50,31.58,24.42,46.31,28.70,53.19,27.80,5.77,6.11,23.22,26.68,58.61,32.63,19.53,34.36,,80.65,66.12,86.74,48.84,20.62,84.76
Syria,SYR,2003,28.61,164,64.07,61,12.50,31.58,24.56,36.32,26.24,53.30,29.13,5.77,6.11,23.58,26.18,65.68,32.63,19.53,36.01,,80.13,66.12,86.63,48.84,18.48,84.23
Syria,SYR,2002,29.09,162,64.25,58,6.94,31.58,24.29,36.32,24.78,52.88,29.83,5.77,6.11,23.65,33.14,70.01,32.63,19.53,38.83,,79.56,71.50,85.71,48.84,16.43,83.44
Syria,SYR,2001,29.16,160,63.98,58,6.94,31.58,24.29,52.65,28.87,53.17,29.83,6.59,6.11,23.93,25.81,60.74,32.63,19.53,34.68,,79.01,71.50,85.57,48.84,15.64,83.31
Syria,SYR,2000,29.06,160,63.52,58,6.94,31.58,24.42,52.65,28.90,52.59,29.83,5.87,6.11,23.60,25.81,60.74,32.63,19.53,34.68,,78.53,71.50,84.76,48.84,14.85,82.65
Syria,SYR,1999,24.72,165,63.33,60,6.94,31.58,16.15,24.56,19.81,51.68,24.00,2.27,3.11,20.26,25.75,63.50,32.63,14.47,34.09,,78.10,71.50,83.98,48.84,14.66,82.92
Syria,SYR,1998,24.69,165,63.10,60,6.94,31.58,16.15,24.56,19.81,51.89,23.39,2.27,3.11,20.16,25.75,63.50,32.63,14.47,34.09,,77.69,71.50,83.03,48.84,14.47,83.05
Syria,SYR,1997,24.39,165,62.55,60,6.94,31.58,16.15,24.56,19.81,51.91,23.02,2.27,3.11,20.08,28.70,57.35,32.63,14.47,33.29,,77.27,71.50,82.76,46.27,14.28,83.18
